date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,ORLY,1373.36,1394.38,1357.4015,1389.79,92.6526666667,374726,tiingo
2025-04-14,ORLY,1396.8,1421.345,1394.045,1414.2,94.28,447286,tiingo
2025-04-15,ORLY,1418.27,1428.71,1392.0,1397.93,93.1953333333,362243,tiingo
2025-04-16,ORLY,1402.79,1408.55,1361.6,1364.36,90.9573333333,397041,tiingo
2025-04-17,ORLY,1378.52,1398.77,1370.68,1390.9,92.7266666667,429000,tiingo
2025-04-21,ORLY,1392.0,1396.805,1347.5156,1368.5,91.2333333333,319466,tiingo
2025-04-22,ORLY,1377.03,1397.66,1374.11,1393.54,92.9026666667,399996,tiingo
2025-04-23,ORLY,1401.08,1405.9,1371.98,1380.5,92.0333333333,597426,tiingo
2025-04-24,ORLY,1358.88,1365.53,1333.14,1352.17,90.1446666667,1108842,tiingo
2025-04-25,ORLY,1350.95,1359.44,1328.71,1347.0,89.8,532206,tiingo
2025-04-28,ORLY,1352.48,1373.1759,1352.48,1370.16,91.344,492900,tiingo
2025-04-29,ORLY,1362.22,1402.435,1362.22,1399.23,93.282,404987,tiingo
2025-04-30,ORLY,1395.67,1417.51,1384.0,1415.2,94.3466666667,418675,tiingo
2025-05-01,ORLY,1405.0,1413.85,1387.0968,1407.68,93.8453333333,351403,tiingo
2025-05-02,ORLY,1423.39,1438.27,1402.51,1406.36,93.7573333333,285442,tiingo
2025-05-05,ORLY,1400.76,1404.21,1385.04,1387.14,92.476,335576,tiingo
2025-05-06,ORLY,1385.05,1392.08,1379.93,1386.64,92.4426666667,378690,tiingo
2025-05-07,ORLY,1386.27,1395.82,1374.555,1378.09,91.8726666667,338377,tiingo
2025-05-08,ORLY,1380.0,1385.48,1358.205,1360.15,90.6766666667,297472,tiingo
2025-05-09,ORLY,1360.215,1365.02,1347.6,1359.34,90.6226666667,271962,tiingo
2025-05-12,ORLY,1373.48,1373.48,1308.41,1339.61,89.3073333333,573782,tiingo
2025-05-13,ORLY,1343.72,1344.77,1315.41,1320.8,88.0533333333,695784,tiingo
2025-05-14,ORLY,1312.0,1331.63,1312.0,1325.73,88.382,423263,tiingo
2025-05-15,ORLY,1328.85,1370.13,1328.85,1370.13,91.342,446625,tiingo
2025-05-16,ORLY,1373.18,1382.44,1365.04,1381.66,92.1106666667,322490,tiingo
2025-05-19,ORLY,1379.0,1396.7899,1378.78,1393.9,92.9266666667,310212,tiingo
2025-05-20,ORLY,1384.99,1398.58,1384.7,1386.22,92.4146666667,254001,tiingo
2025-05-21,ORLY,1375.6,1389.22,1364.87,1370.49,91.366,240109,tiingo
2025-05-22,ORLY,1379.49,1382.65,1356.49,1364.79,90.986,305583,tiingo
2025-05-23,ORLY,1360.87,1381.56,1358.62,1374.37,91.6246666667,287391,tiingo
2025-05-27,ORLY,91.66666,92.606,90.40134,90.75867,90.75867,6570000,twelve_data
2025-05-28,ORLY,90.73333,91.58533,90.42667,90.504,90.504,4368000,twelve_data
2025-05-29,ORLY,90.412,90.71533,89.59866,90.13734,90.13734,4503000,twelve_data
2025-05-30,ORLY,90.344,91.52934,90.194,91.16666,91.16666,10789500,twelve_data
2025-06-02,ORLY,1357.15,1373.5099,1351.75,1370.68,91.3786666667,584266,tiingo
2025-06-03,ORLY,90.96667,91.87267,90.16666,91.47134,91.47134,6961500,twelve_data
2025-06-04,ORLY,1372.07,1378.5761,1347.51,1366.59,91.106,306301,tiingo
2025-06-05,ORLY,90.86266,91.67067,90.59067,91.45333,91.45333,3990000,twelve_data
2025-06-06,ORLY,1378.78,1394.41,1367.375,1377.72,91.848,333777,tiingo
2025-06-09,ORLY,91.66666,91.748,88.82,89.87334,89.87334,5583000,twelve_data
2025-06-10,ORLY,90.0,92.12,89.61,91.71,91.71,5204000,twelve_data
2025-06-11,ORLY,91.71,91.87,89.53,90.010002,90.010002,5804100,twelve_data
2025-06-12,ORLY,90.050003,91.34,90.0,91.050003,91.050003,4604000,twelve_data
2025-06-13,ORLY,90.7,91.64,89.4,89.91,89.91,4020300,twelve_data
2025-06-16,ORLY,89.91,90.28,87.66,88.12,88.12,6005500,twelve_data
2025-06-17,ORLY,87.91,89.58,87.7,88.8,88.8,5671900,twelve_data
2025-06-18,ORLY,89.18,89.41,88.089996,88.32,88.32,3862700,twelve_data
2025-06-20,ORLY,88.92,89.83,88.37,89.69,89.69,9218800,twelve_data
2025-06-23,ORLY,90.010002,91.34,89.93,91.26,91.26,5008700,twelve_data
2025-06-24,ORLY,90.92,91.3199,88.94,89.18,89.18,4188305,tiingo
2025-06-25,ORLY,89.18,89.36,87.46,87.84,87.84,4525400,twelve_data
2025-06-26,ORLY,87.93,88.56,86.94,88.23,88.23,5528200,twelve_data
2025-06-27,ORLY,88.18,89.76,87.82,89.16,89.16,5843800,twelve_data
2025-06-30,ORLY,89.52,90.35,88.98,90.13,90.13,5368100,twelve_data
2025-07-01,ORLY,90.26,91.77,90.17,90.5,90.5,4547105,tiingo
2025-07-02,ORLY,90.07,90.35,88.91,89.32,89.32,3868557,tiingo
2025-07-03,ORLY,89.35,91.49,89.15,91.33,91.33,3187200,twelve_data
2025-07-07,ORLY,91.099998,92.86,90.77,92.67,92.67,4637900,twelve_data
2025-07-08,ORLY,92.15,92.82,90.94,91.64,91.64,4045944,tiingo
2025-07-09,ORLY,91.69,92.74,90.77,92.58,92.58,4128900,twelve_data
2025-07-10,ORLY,92.21,93.5,92.21,92.38,92.38,4635000,twelve_data
