date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,AMAT,146.88,147.7,142.14,144.53,143.0483625507,6835897,tiingo
2025-04-15,AMAT,144.97,147.045,144.24,145.45,143.9589312461,5259919,tiingo
2025-04-16,AMAT,137.82,141.08,134.35,138.19,136.7733565411,9279103,tiingo
2025-04-17,AMAT,138.99,139.65,136.94,137.46,136.0508400762,6494838,tiingo
2025-04-21,AMAT,135.13,136.015,132.8,135.555,134.1653690276,8395304,tiingo
2025-04-22,AMAT,137.18,139.08,136.32,138.3,136.8822288851,5222697,tiingo
2025-04-23,AMAT,144.845,147.83,142.74,143.58,142.1081013978,7994300,tiingo
2025-04-24,AMAT,147.61,150.4,145.35,150.17,148.630544553,7609178,tiingo
2025-04-25,AMAT,148.2,152.61,147.87,151.55,149.9963975961,4805247,tiingo
2025-04-28,AMAT,150.79,151.87,147.51,150.79,149.2441886738,7052725,tiingo
2025-04-29,AMAT,149.0,151.065,147.905,149.55,148.0169004321,5721316,tiingo
2025-04-30,AMAT,145.97,151.04,144.71,150.71,149.1650087872,7273648,tiingo
2025-05-01,AMAT,151.64,152.28,148.74,148.96,147.4329487688,6731978,tiingo
2025-05-02,AMAT,152.79,156.695,152.685,155.1,153.510005062,6083227,tiingo
2025-05-05,AMAT,154.11,156.64,153.845,154.61,153.0250282569,4069314,tiingo
2025-05-06,AMAT,152.002,154.48,151.9,153.03,151.4612254974,3471702,tiingo
2025-05-07,AMAT,153.355,156.2,151.51,155.81,154.2127265552,5500190,tiingo
2025-05-08,AMAT,158.03,158.8,155.81,156.0,154.4007787858,4824625,tiingo
2025-05-09,AMAT,156.93,158.0,154.65,155.61,154.0147768388,3884590,tiingo
2025-05-12,AMAT,166.44,169.7999,165.65,167.99,166.2678642835,11724095,tiingo
2025-05-13,AMAT,168.87,174.1799,168.47,173.03,171.2561971366,8980217,tiingo
2025-05-14,AMAT,173.445,175.28,173.05,174.14,172.3548180625,7069732,tiingo
2025-05-15,AMAT,171.75,176.38,171.2,174.75,172.9585646975,12811605,tiingo
2025-05-16,AMAT,168.43,169.47,161.92,165.57,163.8726727151,16540365,tiingo
2025-05-19,AMAT,162.54,166.0,162.37,165.94,164.2388796905,7465699,tiingo
2025-05-20,AMAT,165.05,165.94,164.23,165.73,164.0310324883,5372424,tiingo
2025-05-21,AMAT,163.54,166.29,161.669,162.23,160.5669124514,5658555,tiingo
2025-05-22,AMAT,160.69,163.3,160.28,160.52,159.329726724,6355688,tiingo
2025-05-23,AMAT,156.635,158.41,155.66,157.51,156.3420462017,5733447,tiingo
2025-05-27,AMAT,160.625,162.48,159.17,161.83,160.6300129313,8470355,tiingo
2025-05-28,AMAT,161.905,163.6696,160.88,161.59,160.3917925575,6727191,tiingo
2025-05-29,AMAT,165.46,165.54,158.45,159.48,158.2974384372,6846250,tiingo
2025-05-30,AMAT,159.039993,159.23,153.47,156.75,156.75,15273600,twelve_data
2025-06-02,AMAT,155.79,157.62,155.43,157.27,156.1038258278,5875258,tiingo
2025-06-03,AMAT,156.93,161.95,156.36,161.74,160.5406802911,6355432,tiingo
