date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,FAST,75.21,81.31,74.75,80.64,39.2734794583,7562081,tiingo
2025-04-14,FAST,80.73,81.885,79.912,81.3,39.594914186,5291102,tiingo
2025-04-15,FAST,81.4,82.42,81.1,81.65,39.7653719962,3137657,tiingo
2025-04-16,FAST,81.39,81.81,79.85,80.45,39.1809452185,4048740,tiingo
2025-04-17,FAST,81.345,82.06,80.66,81.58,39.7312804341,3498014,tiingo
2025-04-21,FAST,81.06,81.4525,79.666918,80.29,39.1030216482,3089964,tiingo
2025-04-22,FAST,81.01,81.84,80.535,81.44,39.6630973101,2965566,tiingo
2025-04-23,FAST,82.115,82.4015,79.79,80.19,39.0543194167,4073807,tiingo
2025-04-24,FAST,80.34,82.2,80.14,82.1,39.9845320378,3310994,tiingo
2025-04-25,FAST,81.58,81.97,80.545,80.73,39.5316012851,3196616,tiingo
2025-04-28,FAST,80.51,80.89,78.99,80.11,39.2280017212,3550601,tiingo
2025-04-29,FAST,79.52,80.6396,79.36,80.28,39.3112467629,2693825,tiingo
2025-04-30,FAST,80.13,81.24,78.85,80.97,39.649123697,4508932,tiingo
2025-05-01,FAST,80.63,81.329,80.14,80.71,39.5218077508,3896046,tiingo
2025-05-02,FAST,81.35,82.36,80.75,82.12,40.2122519204,2679311,tiingo
2025-05-05,FAST,81.88,83.08,81.57,82.42,40.3591549352,3475055,tiingo
2025-05-06,FAST,81.12,81.79,78.47,78.5,38.4396222084,4192270,tiingo
2025-05-07,FAST,78.71,79.07,78.09,78.5,38.4396222084,3781695,tiingo
2025-05-08,FAST,79.08,80.505,78.75,79.29,38.826466814,2984746,tiingo
2025-05-09,FAST,79.33,79.92,78.14,78.6,38.48858988,1900742,tiingo
2025-05-12,FAST,79.79,80.18,78.22,80.15,39.2475887898,4618844,tiingo
2025-05-13,FAST,80.69,80.73,79.95,79.97,39.1594469809,3290638,tiingo
2025-05-14,FAST,79.7,80.64,78.8336,80.51,39.4238724076,3171786,tiingo
2025-05-15,FAST,80.53,81.97,80.19,81.88,40.0947295085,2250993,tiingo
2025-05-16,FAST,81.87,83.11,81.6,83.03,40.657857732,2544701,tiingo
2025-05-19,FAST,82.58,83.43,82.27,83.16,40.7215157051,2136525,tiingo
2025-05-20,FAST,82.85,83.15,81.74,81.92,40.1143165772,1697834,tiingo
2025-05-21,FAST,81.43,82.4496,81.15,81.46,39.8890652878,2202944,tiingo
2025-05-22,FAST,40.86,41.12,40.14,40.715,39.8743749863,4417395,tiingo
2025-05-23,FAST,40.395,40.93,40.2964,40.65,39.8107170132,3872478,tiingo
2025-05-27,FAST,41.23,41.72,41.0,41.64,41.64,5039200,twelve_data
2025-05-28,FAST,41.82,42.0,41.37,41.47,41.47,2920000,twelve_data
2025-05-29,FAST,41.71,41.71,40.65,41.2,41.2,3328200,twelve_data
2025-05-30,FAST,41.13,41.61,41.060001,41.34,41.34,7660300,twelve_data
2025-06-02,FAST,41.14,41.29,40.345,40.91,40.0653489056,4389321,tiingo
2025-06-03,FAST,40.85,41.22,40.73,41.19,41.19,4176600,twelve_data
2025-06-04,FAST,41.11,41.54,40.63,40.88,40.0359683026,4870085,tiingo
2025-06-05,FAST,41.099998,41.41,40.81,41.34,41.34,3445200,twelve_data
2025-06-06,FAST,41.725,42.16,41.66,42.06,41.1916053524,4408089,tiingo
2025-06-09,FAST,42.25,42.3,41.77,42.13,42.13,4706700,twelve_data
2025-06-10,FAST,42.13,42.74,42.049999,42.72,42.72,4536100,twelve_data
2025-06-11,FAST,42.54,42.75,42.24,42.65,42.65,5574100,twelve_data
2025-06-12,FAST,42.5,43.099998,42.27,42.86,42.86,4355600,twelve_data
2025-06-13,FAST,42.57,42.95,42.080002,42.17,42.17,6447100,twelve_data
2025-06-16,FAST,42.45,42.68,42.07,42.24,42.24,3615700,twelve_data
2025-06-17,FAST,42.09,42.3,41.35,41.55,41.55,4790000,twelve_data
2025-06-18,FAST,41.66,41.74,41.07,41.49,41.49,6250900,twelve_data
2025-06-20,FAST,41.7,41.91,40.75,40.94,40.94,10470500,twelve_data
2025-06-23,FAST,40.84,41.34,40.36,41.3,41.3,5746700,twelve_data
2025-06-24,FAST,41.37,41.555,40.41,41.53,40.6725480335,7588832,tiingo
2025-06-25,FAST,41.58,41.59,41.07,41.12,41.12,4161600,twelve_data
2025-06-26,FAST,41.3,41.4,40.88,41.3,41.3,5698000,twelve_data
2025-06-27,FAST,41.4,42.0,41.23,41.96,41.96,10642400,twelve_data
