date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,PAYX,146.88,149.537,146.0392,149.07,142.1020831746,1720053,tiingo
2025-04-15,PAYX,148.82,149.84,147.44,147.62,140.7198599197,1154280,tiingo
2025-04-16,PAYX,147.54,148.2348,144.54,145.57,138.7656822146,1559013,tiingo
2025-04-17,PAYX,146.3,146.8099,144.59,144.9,138.1269997451,2148167,tiingo
2025-04-21,PAYX,144.06,144.51,138.165,140.39,133.8278087937,2653710,tiingo
2025-04-22,PAYX,142.01,143.8788,141.45,143.29,136.5922553035,1903453,tiingo
2025-04-23,PAYX,143.87,145.59,142.71,143.22,136.5255272843,2870752,tiingo
2025-04-24,PAYX,143.0,144.47,140.58,144.21,137.4692521272,1602823,tiingo
2025-04-25,PAYX,143.96,143.96,141.93,143.21,136.5159947101,1394964,tiingo
2025-04-28,PAYX,143.21,144.52,142.32,144.16,137.4215892564,2228957,tiingo
2025-04-29,PAYX,144.16,147.21,143.25,146.41,139.566418445,2130974,tiingo
2025-04-30,PAYX,144.73,147.325,141.93,147.12,140.2432312112,2500114,tiingo
2025-05-01,PAYX,146.34,147.53,144.3001,146.61,139.7570699284,1785017,tiingo
2025-05-02,PAYX,148.25,150.552,147.495,149.81,142.8074936633,1460429,tiingo
2025-05-05,PAYX,149.81,150.785,148.87,149.45,142.4643209931,1345614,tiingo
2025-05-06,PAYX,148.85,149.4,147.735,149.02,142.0544203037,1291788,tiingo
2025-05-07,PAYX,149.51,151.09,149.05,150.32,143.293654946,1610354,tiingo
2025-05-08,PAYX,151.53,152.8,150.53,151.33,144.2564449374,1295307,tiingo
2025-05-09,PAYX,151.17,152.05,150.79,151.65,144.5614873108,1120255,tiingo
2025-05-12,PAYX,153.275,153.275,150.1,151.69,145.6291356181,2435072,tiingo
2025-05-13,PAYX,151.82,152.495,151.18,151.26,145.2163165244,1456490,tiingo
2025-05-14,PAYX,150.46,152.29,149.47,152.01,145.9363498273,1823496,tiingo
2025-05-15,PAYX,152.56,154.51,152.43,154.43,148.2596572846,1549931,tiingo
2025-05-16,PAYX,154.185,156.27,153.665,155.98,149.7477261105,1415547,tiingo
2025-05-19,PAYX,155.19,158.25,154.91,158.19,151.869424243,1628420,tiingo
2025-05-20,PAYX,157.58,158.23,156.86,157.67,151.370201153,1466983,tiingo
2025-05-21,PAYX,156.67,157.51,155.63,156.22,149.9781367674,1217481,tiingo
2025-05-22,PAYX,156.19,157.01,155.27,156.18,149.9397349913,1034413,tiingo
2025-05-23,PAYX,155.04,156.56,154.1666,156.09,149.8533309949,1085447,tiingo
2025-05-27,PAYX,157.5,159.25,156.88,158.97,158.97,1759800,twelve_data
2025-05-28,PAYX,159.39,159.75,156.97,156.99001,156.99001,1484000,twelve_data
2025-05-29,PAYX,157.050003,157.89999,156.21001,157.42,157.42,1402400,twelve_data
2025-05-30,PAYX,157.81,158.81,156.95,157.91,151.6006118099,1993759,tiingo
2025-06-02,PAYX,157.1,157.57,155.48,157.5,151.2069936043,1417437,tiingo
2025-06-03,PAYX,157.080002,158.36,156.48,158.25,158.25,1459500,twelve_data
2025-06-04,PAYX,157.95,159.74,157.52,159.33,152.9638748634,1271111,tiingo
2025-06-05,PAYX,159.14999,159.92999,158.53,159.31,159.31,958800,twelve_data
2025-06-06,PAYX,160.59,161.24,159.39,159.78,153.3958948451,1005815,tiingo
2025-06-09,PAYX,159.13,159.38,155.92,156.97,156.97,1488000,twelve_data
2025-06-10,PAYX,156.81,157.50999,154.17999,155.31,155.31,1462900,twelve_data
2025-06-11,PAYX,155.57001,155.57001,153.44,154.039993,154.039993,1653500,twelve_data
2025-06-12,PAYX,154.24001,154.25999,151.39,153.49001,153.49001,1492700,twelve_data
2025-06-13,PAYX,152.57001,153.92,152.10001,153.22,153.22,2525400,twelve_data
2025-06-16,PAYX,153.92,154.89999,153.25999,153.67999,153.67999,1665100,twelve_data
2025-06-17,PAYX,153.67,154.28999,151.92999,152.52,152.52,1567100,twelve_data
2025-06-18,PAYX,152.52,152.84,150.10001,150.32001,150.32001,2910200,twelve_data
2025-06-20,PAYX,150.32001,150.73,148.60001,149.12,149.12,3483500,twelve_data
2025-06-23,PAYX,149.67999,151.35001,148.81,151.25,151.25,2337900,twelve_data
2025-06-24,PAYX,151.3,152.57,150.19,152.25,146.1667604842,4296451,tiingo
2025-06-25,PAYX,145.27,146.0,136.88,137.94,137.94,9294200,twelve_data
2025-06-26,PAYX,138.5,141.28999,138.10001,141.0099945,141.0099945,3931500,twelve_data
2025-06-27,PAYX,141.21001,144.56,140.83,143.94,143.94,3850000,twelve_data
2025-06-30,PAYX,143.99001,146.0,142.94,145.46001,145.46001,4050200,twelve_data
2025-07-01,PAYX,145.69,148.75999,145.23,147.42,147.42,3666900,twelve_data
2025-07-02,PAYX,146.66,146.66,143.27,145.96001,145.96001,3702000,twelve_data
2025-07-03,PAYX,146.3,147.25999,145.56,147.13,147.13,1540000,twelve_data
2025-07-07,PAYX,147.23,147.76,145.27,145.67,139.849668307,3436130,tiingo
2025-07-08,PAYX,145.27,146.17999,143.35001,144.91,144.91,3500000,twelve_data
2025-07-09,PAYX,145.13,146.11,144.16,145.94,145.94,2514400,twelve_data
2025-07-10,PAYX,145.0099945,146.10001,144.71001,145.31,145.31,2792900,twelve_data
2025-07-11,PAYX,145.17999,145.44,142.78999,143.28999,143.28999,1910300,twelve_data
2025-07-14,PAYX,143.10001,144.5,142.60001,144.31,144.31,2416000,twelve_data
2025-07-15,PAYX,143.63,143.8,140.64,140.68,135.0590467318,2034557,tiingo
2025-07-16,PAYX,140.76,142.52,140.22,142.25,136.5663164458,1760779,tiingo
2025-07-17,PAYX,142.25,143.75999,142.10001,143.28999,143.28999,1834500,twelve_data
2025-07-18,PAYX,144.17,144.17,142.92999,143.46001,143.46001,2487300,twelve_data
2025-07-21,PAYX,142.38,143.55,142.070007,142.66,142.66,1439900,twelve_data
2025-07-22,PAYX,142.91,145.49001,142.91,144.58,144.58,1585600,twelve_data
2025-07-23,PAYX,144.44,145.7,143.91,145.24001,145.24001,1873300,twelve_data
2025-07-24,PAYX,144.85,146.66,144.03,146.4,141.6145308688,1698664,tiingo
2025-07-25,PAYX,146.93,148.1,145.89,147.99,143.152557536,1294648,tiingo
2025-07-28,PAYX,148.039993,148.11,146.0,146.25999,146.25999,1447000,twelve_data
2025-07-29,PAYX,146.73,147.35,145.04,147.29,142.4754388775,2112142,tiingo
2025-07-30,PAYX,146.69,148.0,145.49,145.91,141.1405478078,1750314,tiingo
2025-07-31,PAYX,144.78999,146.83,144.070007,144.33,144.33,2420700,twelve_data
2025-08-01,PAYX,143.12,143.58,138.37,139.34,139.34,4235400,twelve_data
2025-08-04,PAYX,139.44,140.25,138.62,139.42999,139.42999,2389400,twelve_data
2025-08-05,PAYX,139.67,139.95,138.75999,139.17999,139.17999,1976700,twelve_data
2025-08-06,PAYX,139.60001,139.69,138.22,139.080002,139.080002,2018000,twelve_data
2025-08-07,PAYX,140.050003,141.059998,139.42,140.52,140.52,1885100,twelve_data
2025-08-08,PAYX,140.3,141.89,140.25999,141.19,141.19,1368000,twelve_data
2025-08-11,PAYX,141.10001,141.59,138.39,138.60001,138.60001,2521900,twelve_data
2025-08-12,PAYX,138.59,138.73,134.81,134.99001,134.99001,3123400,twelve_data
2025-08-13,PAYX,135.039993,138.81,134.83,138.61,138.61,2584200,twelve_data
2025-08-14,PAYX,138.38,138.89,137.25,137.49001,137.49001,1425000,twelve_data
2025-08-15,PAYX,138.0,138.94,136.92,138.25,138.25,2672200,twelve_data
2025-08-18,PAYX,138.33,139.070007,137.23,137.57001,137.57001,1966100,twelve_data
2025-08-19,PAYX,137.75999,139.60001,137.48,139.0099945,139.0099945,2117000,twelve_data
2025-08-20,PAYX,139.88,140.77,138.44,138.88,138.88,2274300,twelve_data
2025-08-21,PAYX,138.28,138.71,137.665,138.41,133.8857050379,1609648,tiingo
2025-08-22,PAYX,139.17,141.1868,138.835,140.81,136.2072547243,2066288,tiingo
2025-08-25,PAYX,140.41,140.56,138.24001,138.5,138.5,1707700,twelve_data
2025-08-26,PAYX,138.17999,139.0,137.60001,138.039993,138.039993,3317500,twelve_data
2025-08-27,PAYX,138.21001,139.34,137.73,138.64999,138.64999,1852700,twelve_data
2025-08-28,PAYX,138.75,139.21001,137.88,138.72,138.72,1681400,twelve_data
2025-08-29,PAYX,138.86,139.53,138.38,139.46001,139.46001,1715800,twelve_data
2025-09-02,PAYX,138.69,139.059998,135.21001,135.96001,135.96001,2059200,twelve_data
2025-09-03,PAYX,135.22,136.039993,134.34,135.63,135.63,1549200,twelve_data
2025-09-04,PAYX,135.53,137.385,134.785,137.32,132.8313345554,1995637,tiingo
2025-09-05,PAYX,137.72,138.19,133.7213,135.44,131.012787301,1898288,tiingo
2025-09-08,PAYX,135.63,136.050003,134.58,135.42999,135.42999,2097700,twelve_data
2025-09-09,PAYX,135.1,135.7857,134.07,134.41,130.0164555606,1388162,tiingo
2025-09-10,PAYX,133.89999,135.050003,132.44,133.070007,133.070007,1860500,twelve_data
2025-09-11,PAYX,132.88,135.76,132.66,135.46,131.0321335484,1699037,tiingo
2025-09-12,PAYX,135.089996,135.97,134.67999,135.11,135.11,1305400,twelve_data
2025-09-15,PAYX,135.34,135.78,131.7677,131.97,127.6562133795,2195109,tiingo
2025-09-16,PAYX,131.96001,132.39999,130.24001,131.62,131.62,2991400,twelve_data
2025-09-17,PAYX,132.28,134.14,132.15,132.46,128.1301964405,3784668,tiingo
2025-09-18,PAYX,131.84,132.87,130.94,131.11,131.11,3656200,twelve_data
2025-09-19,PAYX,131.77,131.96001,129.33,130.0,130.0,7782900,twelve_data
2025-09-22,PAYX,128.60001,130.88,128.23,130.39999,130.39999,4327300,twelve_data
2025-09-23,PAYX,129.72,130.64,128.8,129.3,129.3,3847200,twelve_data
2025-09-24,PAYX,128.94,130.029999,128.17999,128.27,128.27,3547400,twelve_data
2025-09-25,PAYX,128.91,129.3,126.13,126.69,122.5488040695,3168925,tiingo
2025-09-26,PAYX,127.16,128.63,126.71,128.21001,128.21001,3571300,twelve_data
2025-09-29,PAYX,128.6,130.32,128.29,128.53,124.328658829,4663023,tiingo
2025-09-30,PAYX,121.61,126.84,119.02,126.76,122.6165159353,6937462,tiingo
2025-10-01,PAYX,126.76,127.0,122.25,124.010002,124.010002,4875200,twelve_data
2025-10-02,PAYX,123.63,123.77,121.83,123.42,123.42,2709200,twelve_data
2025-10-03,PAYX,123.46,124.88,122.84,124.61,120.5367943413,1970507,tiingo
2025-10-06,PAYX,124.96,124.96,123.26,124.37,124.37,2936000,twelve_data
2025-10-07,PAYX,124.12,127.06,123.75,127.02,122.8680171513,2437492,tiingo
2025-10-08,PAYX,126.75,126.85,125.49,126.59,122.4520728325,2273699,tiingo
2025-10-09,PAYX,127.14,127.14,124.55,125.21,125.21,2325100,twelve_data
2025-10-10,PAYX,125.81,126.34,124.93,125.55,125.55,2711800,twelve_data
2025-10-13,PAYX,125.69,127.72,125.25,127.42,127.42,2867500,twelve_data
2025-10-14,PAYX,127.55,129.2,127.080002,128.59,128.59,2444100,twelve_data
2025-10-15,PAYX,128.28,129.24001,127.34,127.52,127.52,2546000,twelve_data
