date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,TMUS,257.63,260.12,255.6335,258.67,253.0042998442,3987472,tiingo
2025-04-14,TMUS,259.5,265.17,258.52,262.64,256.8873441492,3845543,tiingo
2025-04-15,TMUS,264.47,267.96,263.1801,266.71,260.8681981345,3130509,tiingo
2025-04-16,TMUS,266.225,267.27,258.955,259.64,253.9530537424,3362700,tiingo
2025-04-17,TMUS,259.72,265.398,259.09,262.04,256.3004860679,3489567,tiingo
2025-04-21,TMUS,260.39,261.74,250.87,253.48,247.9279774404,3656346,tiingo
2025-04-22,TMUS,253.14,259.32,253.0,258.3,252.6424040274,4762504,tiingo
2025-04-23,TMUS,254.0,262.605,252.67,259.35,253.6694056698,4562348,tiingo
2025-04-24,TMUS,259.75,263.79,258.07,262.18,256.4374196202,5047162,tiingo
2025-04-25,TMUS,243.15,243.81,230.64,232.77,227.6715926653,13561361,tiingo
2025-04-28,TMUS,231.69,237.32,231.54,236.77,231.5839798744,5825856,tiingo
2025-04-29,TMUS,236.71,241.91,235.42,241.59,236.2984064614,3900819,tiingo
2025-04-30,TMUS,244.73,247.55,241.72,246.95,241.5410053216,4440537,tiingo
2025-05-01,TMUS,245.27,247.1,242.4,247.0,241.5899101617,3603405,tiingo
2025-05-02,TMUS,247.73,250.22,246.23,248.88,243.4287321499,2801204,tiingo
2025-05-05,TMUS,248.8,249.37,246.5,248.3,242.8614360046,2311541,tiingo
2025-05-06,TMUS,247.51,254.16,247.19,253.8,248.2409684171,2903164,tiingo
2025-05-07,TMUS,252.71,253.72,250.28,251.26,245.7566025394,4042219,tiingo
2025-05-08,TMUS,252.18,252.635,247.44,247.49,242.0691775948,3521037,tiingo
2025-05-09,TMUS,247.49,248.1599,243.67,243.81,238.4697813624,3278600,tiingo
2025-05-12,TMUS,238.82,240.33,236.0,240.32,235.0562235225,5373060,tiingo
2025-05-13,TMUS,239.26,240.275,235.9,237.34,232.1414950517,4712771,tiingo
2025-05-14,TMUS,233.84,235.55,232.24,235.29,230.136396607,4169040,tiingo
2025-05-15,TMUS,237.12,242.44,236.42,240.16,234.8997280341,5215015,tiingo
2025-05-16,TMUS,240.52,243.32,238.635,242.66,237.3449700398,4402168,tiingo
2025-05-19,TMUS,243.0,246.02,242.91,244.25,238.9001439554,4237952,tiingo
2025-05-20,TMUS,245.12,245.63,239.12,241.21,235.9267296765,4788058,tiingo
2025-05-21,TMUS,241.21,243.23,239.01,240.76,235.4865861155,4110215,tiingo
2025-05-22,TMUS,241.53,242.06,239.44,240.82,235.5452719236,3200637,tiingo
2025-05-23,TMUS,241.01,243.35,238.58,242.88,237.5601513363,4174024,tiingo
2025-05-27,TMUS,243.79,245.885,242.22,243.36,238.0296378014,3717748,tiingo
2025-05-28,TMUS,243.1,243.51,241.06,241.51,236.2201587172,2468609,tiingo
2025-05-29,TMUS,241.82,241.82,236.74,239.3,234.0585647842,3127730,tiingo
2025-05-30,TMUS,239.58,243.32001,238.42999,242.2,242.2,8313500,twelve_data
2025-06-02,TMUS,239.57,243.37,238.9,243.06,238.5999901963,2579028,tiingo
2025-06-03,TMUS,241.97,244.43,241.43,243.88,239.4049436727,3630852,tiingo
2025-06-04,TMUS,244.48,245.2,241.95,241.96,237.5201745573,3414332,tiingo
2025-06-05,TMUS,241.89,246.26,241.16,244.9,240.4062272652,2855732,tiingo
2025-06-06,TMUS,246.88,247.55,244.52,245.86,241.3486118229,2022635,tiingo
2025-06-09,TMUS,244.66,244.92,237.87,237.95,233.5837557279,4538561,tiingo
2025-06-10,TMUS,237.0,237.77,234.67,236.98,232.6315546644,3767187,tiingo
2025-06-11,TMUS,236.31,236.49,229.81,230.94,226.7023851557,6709614,tiingo
