date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,CHTR,335.9,343.38,335.48,340.4,340.4,1253669,tiingo
2025-04-15,CHTR,341.18,350.0485,339.68,343.18,343.18,1041961,tiingo
2025-04-16,CHTR,340.79,343.985,330.14,332.5,332.5,1000415,tiingo
2025-04-17,CHTR,335.21,342.22,334.07,338.96,338.96,934327,tiingo
2025-04-21,CHTR,335.28,337.995,319.65,322.43,322.43,1219408,tiingo
2025-04-22,CHTR,325.75,331.7,325.355,331.34,331.34,1161133,tiingo
2025-04-23,CHTR,336.52,345.05,335.68,337.51,337.51,1572395,tiingo
2025-04-24,CHTR,323.36,339.22,318.43,335.33,335.33,2171705,tiingo
2025-04-25,CHTR,359.5,374.21,356.45,373.65,373.65,2702319,tiingo
2025-04-28,CHTR,373.65,385.48,372.88,376.87,376.87,1929741,tiingo
2025-04-29,CHTR,378.785,387.54,378.6346,386.33,386.33,1543457,tiingo
2025-04-30,CHTR,387.26,392.91,377.6,391.86,391.86,1445879,tiingo
2025-05-01,CHTR,388.3,392.565,382.67,383.0,383.0,1442758,tiingo
2025-05-02,CHTR,386.17,387.48,383.2,385.0,385.0,1740813,tiingo
2025-05-05,CHTR,385.07,399.94,382.94,394.24,394.24,1311408,tiingo
2025-05-06,CHTR,392.365,402.835,390.5,402.01,402.01,1145247,tiingo
2025-05-07,CHTR,403.29,407.87,400.87,404.14,404.14,1113985,tiingo
2025-05-08,CHTR,404.78,408.83,403.56,404.41,404.41,1055832,tiingo
2025-05-09,CHTR,404.61,405.39,400.53,401.73,401.73,902743,tiingo
2025-05-12,CHTR,410.0,410.99,399.47,402.52,402.52,1064139,tiingo
2025-05-13,CHTR,402.0,413.21,392.18,411.13,411.13,1540686,tiingo
2025-05-14,CHTR,407.03,414.45,407.03,413.86,413.86,1078759,tiingo
2025-05-15,CHTR,413.57,423.175,412.58,419.57,419.57,1281949,tiingo
2025-05-16,CHTR,423.6,437.06,419.45,427.25,427.25,3625442,tiingo
2025-05-19,CHTR,425.96,430.83,415.47,418.63,418.63,1821588,tiingo
2025-05-20,CHTR,421.89,427.39,418.56,423.49,423.49,1236253,tiingo
2025-05-21,CHTR,421.22,424.25,413.57,415.44,415.44,1355799,tiingo
2025-05-22,CHTR,417.2,418.365,409.58,409.93,409.93,1425505,tiingo
2025-05-23,CHTR,404.23,408.96,401.995,406.36,406.36,1146397,tiingo
2025-05-27,CHTR,409.70999,412.48999,407.45001,411.13,411.13,1570700,twelve_data
2025-05-28,CHTR,409.42999,413.32001,406.17999,407.38,407.38,788000,twelve_data
2025-05-29,CHTR,407.59,407.59,392.029999,395.81,395.81,1488200,twelve_data
2025-05-30,CHTR,395.51,397.34,388.06,396.27,396.27,1829863,tiingo
2025-06-02,CHTR,391.025,395.88,384.68,394.78,394.78,1251218,tiingo
2025-06-03,CHTR,391.79999,393.20001,382.17001,390.79999,390.79999,1578600,twelve_data
2025-06-04,CHTR,392.41,395.24,388.74,388.77,388.77,878049,tiingo
2025-06-05,CHTR,388.81,393.98999,388.81,391.26999,391.26999,942200,twelve_data
2025-06-06,CHTR,394.89,399.45,393.72,396.45,396.45,816225,tiingo
2025-06-09,CHTR,395.39001,398.60999,394.059998,394.56,394.56,806200,twelve_data
2025-06-10,CHTR,396.28,406.91,395.75,406.76999,406.76999,1078000,twelve_data
2025-06-11,CHTR,406.75,408.60999,397.91,399.79001,399.79001,1014200,twelve_data
