date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,REGN,548.63,555.53,533.26,554.18,550.4208375331,1171115,tiingo
2025-04-14,REGN,560.44,574.72,555.3901,571.06,567.186335634,946329,tiingo
2025-04-15,REGN,568.55,575.2,553.0,557.91,554.1255358694,838663,tiingo
2025-04-16,REGN,557.0,561.83,544.5,549.28,545.5540756436,875713,tiingo
2025-04-17,REGN,548.07,564.205,545.0001,563.16,559.3399236081,827805,tiingo
2025-04-21,REGN,556.04,570.35,552.965,561.49,557.6812516988,745717,tiingo
2025-04-22,REGN,565.5,587.1,565.14,585.49,581.5184527901,1036812,tiingo
2025-04-23,REGN,595.87,603.77,584.45,587.85,583.8624442308,791945,tiingo
2025-04-24,REGN,590.93,601.28,586.81,599.76,595.6916552724,1317237,tiingo
2025-04-25,REGN,598.33,602.79,585.78,602.64,598.5521194033,964394,tiingo
2025-04-28,REGN,603.36,614.83,601.19,610.86,606.7163607771,1175409,tiingo
2025-04-29,REGN,561.75,579.98,542.44,568.91,565.0509197029,2660427,tiingo
2025-04-30,REGN,579.26,600.2,566.985,598.76,594.6984385602,1679703,tiingo
2025-05-01,REGN,589.77,593.935,578.5,590.0,585.9978601619,1190516,tiingo
2025-05-02,REGN,600.0,615.609,599.08,605.61,601.5019730384,1606580,tiingo
2025-05-05,REGN,606.89,611.04,601.805,603.58,599.4857431127,1124294,tiingo
2025-05-06,REGN,601.01,606.87,557.64,558.52,554.7313980638,1510947,tiingo
2025-05-07,REGN,561.79,568.1302,556.3602,560.93,557.12505034,1141095,tiingo
2025-05-08,REGN,547.88,552.5742,520.5,547.67,543.9549967371,2709295,tiingo
2025-05-09,REGN,549.0,552.84,527.13,527.78,524.1999163326,1499188,tiingo
2025-05-12,REGN,543.82,577.985,535.29,575.63,571.7253360085,1898394,tiingo
2025-05-13,REGN,571.45,575.05,558.45,574.16,570.2653074416,1149899,tiingo
2025-05-14,REGN,576.35,580.56,567.585,571.36,567.4843006476,1664485,tiingo
2025-05-15,REGN,576.13,585.26,564.9075,584.99,581.0218444341,1302126,tiingo
2025-05-16,REGN,588.23,595.19,581.49,594.32,590.2885563583,936922,tiingo
2025-05-19,REGN,588.48,598.56,586.6803,596.54,592.4934974593,666332,tiingo
2025-05-20,REGN,595.01,615.4454,595.01,614.79,611.4937331625,1102197,tiingo
2025-05-21,REGN,613.055,617.52,597.9192,604.62,601.3782607796,1089468,tiingo
2025-05-22,REGN,603.2,605.5,592.725,596.85,593.6499205225,867228,tiingo
2025-05-23,REGN,586.85,591.64,582.37,588.34,585.18554786,656257,tiingo
2025-05-27,REGN,603.090027,608.16998,590.79999,603.26001,603.26001,876100,twelve_data
2025-05-28,REGN,603.26001,606.0,590.15002,591.84998,591.84998,1008300,twelve_data
2025-05-29,REGN,597.059998,605.72998,591.02002,605.39001,605.39001,756700,twelve_data
2025-05-30,REGN,517.65997,519.78003,485.0,490.28,490.28,6313100,twelve_data
2025-06-02,REGN,491.09,502.5633,481.58,490.81,488.1784660998,2944263,tiingo
2025-06-03,REGN,490.79001,501.10999,485.34,487.85999,487.85999,2141600,twelve_data
2025-06-04,REGN,491.71,499.9,482.99,484.93,482.3299923917,1870674,tiingo
2025-06-05,REGN,486.0,491.76999,476.48999,483.070007,483.070007,1791100,twelve_data
2025-06-06,REGN,485.54,499.88,485.0001,493.22,490.5755446094,1497999,tiingo
2025-06-09,REGN,498.0,518.27002,494.42001,517.59998,517.59998,1983100,twelve_data
2025-06-10,REGN,520.0,529.98999,518.15997,523.53003,523.53003,1175000,twelve_data
2025-06-11,REGN,525.77002,528.37,516.099976,518.59998,518.59998,963100,twelve_data
2025-06-12,REGN,517.22998,525.21997,512.96997,521.84003,521.84003,873200,twelve_data
2025-06-13,REGN,518.25,529.54999,514.97998,529.23999,529.23999,951500,twelve_data
2025-06-16,REGN,532.88,538.20001,520.21997,522.67999,522.67999,1325800,twelve_data
2025-06-17,REGN,519.27002,523.01001,508.70001,508.85999,508.85999,890400,twelve_data
2025-06-18,REGN,508.51001,519.16998,503.25,513.58002,513.58002,841000,twelve_data
