date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,PLTR,95.8,97.33,91.46,92.62,92.62,122836852,tiingo
2025-04-15,PLTR,93.53,98.99,93.05,98.4,98.4,118457651,tiingo
2025-04-16,PLTR,96.28,97.3,89.62,92.71,92.71,121997637,tiingo
2025-04-17,PLTR,94.71,95.11,92.27,93.78,93.78,83991760,tiingo
2025-04-21,PLTR,92.84,96.475,89.31,90.8,90.8,83831145,tiingo
2025-04-22,PLTR,93.015,96.3399,91.3503,93.99,93.99,91185377,tiingo
2025-04-23,PLTR,98.86,103.76,97.83,100.82,100.82,112909507,tiingo
2025-04-24,PLTR,101.53,108.0,100.9101,107.78,107.78,103190699,tiingo
2025-04-25,PLTR,108.05,112.88,106.55,112.78,112.78,103933839,tiingo
2025-04-28,PLTR,113.78,114.86,108.87,114.65,114.65,111082860,tiingo
2025-04-29,PLTR,113.98,117.23,113.24,116.08,116.08,79709007,tiingo
2025-04-30,PLTR,111.61,118.78,110.54,118.44,118.44,109461682,tiingo
2025-05-01,PLTR,120.04,120.19,116.0,116.2,116.2,90677568,tiingo
2025-05-02,PLTR,118.66,124.42,118.63,124.28,124.28,103094298,tiingo
2025-05-05,PLTR,123.7,125.255,121.36,123.77,123.77,135961250,tiingo
2025-05-06,PLTR,112.71,113.91,105.3201,108.86,108.86,201193359,tiingo
2025-05-07,PLTR,107.97,111.85,107.0,110.48,110.48,95713676,tiingo
2025-05-08,PLTR,112.28,120.38,112.07,119.15,119.15,126966207,tiingo
2025-05-09,PLTR,118.97,119.16,114.9,117.3,117.3,81005270,tiingo
2025-05-12,PLTR,120.78,120.935,115.01,118.46,118.46,94257341,tiingo
2025-05-13,PLTR,119.92,130.6,119.31,128.1,128.1,147155359,tiingo
2025-05-14,PLTR,129.01,133.49,127.5593,130.18,130.18,96611470,tiingo
2025-05-15,PLTR,128.37,130.1999,125.74,128.12,128.12,69502967,tiingo
2025-05-16,PLTR,129.23,130.33,126.76,129.52,129.52,57003724,tiingo
