date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,MDLZ,66.59,67.685,66.04,67.05,64.886454681,8840636,tiingo
2025-04-14,MDLZ,66.7,68.6,66.52,68.3,66.0961201299,6728396,tiingo
2025-04-15,MDLZ,68.5,68.605,66.875,67.03,64.8671000338,5782521,tiingo
2025-04-16,MDLZ,67.245,67.76,66.13,66.48,64.3348472363,6266548,tiingo
2025-04-17,MDLZ,66.48,67.85,66.37,67.32,65.147742418,10777622,tiingo
2025-04-21,MDLZ,67.3,67.865,66.91,67.76,65.573544656,7637263,tiingo
2025-04-22,MDLZ,67.98,69.09,67.8,68.29,66.0864428063,6720597,tiingo
2025-04-23,MDLZ,67.73,68.54,66.875,67.38,65.2058063595,6369537,tiingo
2025-04-24,MDLZ,66.94,66.94,65.48,65.52,63.4058241715,8276951,tiingo
2025-04-25,MDLZ,65.89,65.9,64.61,65.59,63.4735654366,6454708,tiingo
2025-04-28,MDLZ,65.59,65.74,64.77,65.1,62.9993765806,6661004,tiingo
2025-04-29,MDLZ,65.07,65.715,64.29,65.65,63.5316293782,8193968,tiingo
2025-04-30,MDLZ,68.07,68.86,67.395,68.13,65.9316056289,15854758,tiingo
2025-05-01,MDLZ,67.21,68.205,66.9,67.87,65.6799952155,9414163,tiingo
2025-05-02,MDLZ,68.395,68.58,67.11,67.75,65.5638673324,7395184,tiingo
2025-05-05,MDLZ,67.76,67.93,67.0,67.8,65.6122539504,6310804,tiingo
2025-05-06,MDLZ,67.75,67.94,67.16,67.51,65.3316115662,5436101,tiingo
2025-05-07,MDLZ,67.575,67.676,66.91,67.18,65.0122598877,6841638,tiingo
2025-05-08,MDLZ,67.015,67.6,66.725,67.22,65.050969182,7143949,tiingo
2025-05-09,MDLZ,66.86,67.11,66.31,66.37,64.2283966768,5136308,tiingo
2025-05-12,MDLZ,66.2,66.66,65.355,65.83,63.7058212028,7069947,tiingo
2025-05-13,MDLZ,65.38,65.44,63.46,64.14,62.0703535159,10361723,tiingo
2025-05-14,MDLZ,63.89,64.07,63.43,63.54,61.4897141004,7455549,tiingo
2025-05-15,MDLZ,63.96,65.179,63.8,65.14,63.038085875,7310129,tiingo
2025-05-16,MDLZ,65.34,65.39,64.33,65.32,63.2122776997,8015152,tiingo
2025-05-19,MDLZ,65.24,65.815,65.0,65.72,63.5993706433,6356240,tiingo
2025-05-20,MDLZ,65.81,66.3,65.655,65.87,63.7445304972,6235651,tiingo
2025-05-21,MDLZ,65.97,65.97,65.02,65.26,63.1542137581,6250403,tiingo
2025-05-22,MDLZ,65.0,65.8,64.94,65.49,63.3767922007,6956908,tiingo
2025-05-23,MDLZ,65.58,66.43,65.12,66.14,64.0058182342,6737551,tiingo
2025-05-27,MDLZ,66.25,66.99,66.029999,66.9,66.9,6600500,twelve_data
2025-05-28,MDLZ,67.010002,67.16,66.48,66.62,66.62,4550200,twelve_data
2025-05-29,MDLZ,66.6,67.62,66.46,67.47,67.47,6967400,twelve_data
2025-05-30,MDLZ,67.7,68.0,67.31,67.49,67.49,12140800,twelve_data
2025-06-02,MDLZ,67.165,67.565,66.66,67.51,65.3316115662,5004767,tiingo
2025-06-03,MDLZ,67.19,67.29,66.83,67.040001,67.040001,5156100,twelve_data
2025-06-04,MDLZ,67.14,67.275,66.19,66.63,64.4800070901,5978038,tiingo
2025-06-05,MDLZ,66.71,66.81,65.77,66.37,66.37,6266000,twelve_data
2025-06-06,MDLZ,66.62,66.8,65.85,66.15,64.0154955578,6279459,tiingo
2025-06-09,MDLZ,65.98,66.85,65.66,66.7,66.7,4182000,twelve_data
2025-06-10,MDLZ,66.7,67.5,66.45,67.24,67.24,4827900,twelve_data
2025-06-11,MDLZ,66.86,67.22,66.82,66.95,66.95,6854400,twelve_data
2025-06-12,MDLZ,67.010002,68.14,66.5,68.12,68.12,6146800,twelve_data
2025-06-13,MDLZ,67.97,68.43,66.84,66.93,66.93,6528800,twelve_data
2025-06-16,MDLZ,67.050003,67.58,66.62,67.21,67.21,5516000,twelve_data
2025-06-17,MDLZ,66.99,67.19,65.9,66.35,66.35,7817700,twelve_data
2025-06-18,MDLZ,66.39,66.96,65.99,66.35,66.35,7003100,twelve_data
2025-06-20,MDLZ,67.26,68.71,66.79,68.31,68.31,12997700,twelve_data
2025-06-23,MDLZ,68.42,68.8,67.8,68.5,68.5,4783400,twelve_data
2025-06-24,MDLZ,68.5,68.61,67.93,68.43,66.2219253366,6374631,tiingo
2025-06-25,MDLZ,68.019997,68.43,67.12,67.28,67.28,5384700,twelve_data
2025-06-26,MDLZ,67.69,68.32,67.35,67.75,67.75,6805800,twelve_data
2025-06-27,MDLZ,67.63,67.85,67.21,67.78,67.78,9119500,twelve_data
2025-06-30,MDLZ,67.4,67.7,66.78,67.44,67.44,9028300,twelve_data
2025-07-01,MDLZ,67.55,69.42,67.49,68.96,67.1999090006,12038672,tiingo
2025-07-02,MDLZ,68.98,69.805,68.59,69.56,67.7845949838,8959644,tiingo
2025-07-03,MDLZ,69.47,69.52,68.8,68.99,68.99,3342900,twelve_data
2025-07-07,MDLZ,68.96,69.029999,68.029999,68.82,68.82,7336000,twelve_data
2025-07-08,MDLZ,68.49,68.55,67.85,68.19,66.4495619888,6727767,tiingo
2025-07-09,MDLZ,68.3,68.35,66.15,66.85,66.85,11457400,twelve_data
2025-07-10,MDLZ,66.55,67.39,65.9,67.15,67.15,7360000,twelve_data
2025-07-11,MDLZ,66.75,67.36,66.005,67.18,65.4653405838,6171073,tiingo
2025-07-14,MDLZ,67.18,67.66,67.019997,67.64,67.64,5324800,twelve_data
2025-07-15,MDLZ,67.4,67.53,66.7,66.74,66.74,5092700,twelve_data
2025-07-16,MDLZ,66.8,67.52,66.49,67.47,67.47,5336200,twelve_data
2025-07-17,MDLZ,68.3,69.85,68.26,69.8,69.8,9140000,twelve_data
2025-07-18,MDLZ,69.89,70.5,69.38,69.81,69.81,10412200,twelve_data
2025-07-21,MDLZ,69.85,70.5,69.21,69.42,69.42,6118100,twelve_data
2025-07-22,MDLZ,69.45,71.0,69.24,70.75,70.75,6728700,twelve_data
2025-07-23,MDLZ,70.75,71.15,69.77,70.17,70.17,5627400,twelve_data
2025-07-24,MDLZ,70.07,70.54,69.9,70.18,70.18,6015200,twelve_data
2025-07-25,MDLZ,70.25,70.61,69.86,70.58,70.58,4520800,twelve_data
2025-07-28,MDLZ,70.21,70.23,69.19,69.58,69.58,7984000,twelve_data
2025-07-29,MDLZ,69.58,70.33,69.28,69.71,69.71,7926100,twelve_data
2025-07-30,MDLZ,67.51,67.95,65.03,65.1,63.4384291754,22047724,tiingo
2025-07-31,MDLZ,64.74,65.65,64.17,64.69,64.69,12174500,twelve_data
2025-08-01,MDLZ,65.37,66.29,63.92,63.93,63.93,10650300,twelve_data
2025-08-04,MDLZ,63.97,64.28,63.33,63.53,63.53,8291500,twelve_data
2025-08-05,MDLZ,63.565,63.69,62.17,62.3,60.7098945872,9070016,tiingo
2025-08-06,MDLZ,62.7,62.8,61.99,62.07,62.07,7727900,twelve_data
2025-08-07,MDLZ,62.080002,62.64,61.83,62.4,62.4,6067300,twelve_data
2025-08-08,MDLZ,62.39,62.58,61.49,61.83,61.83,6419700,twelve_data
2025-08-11,MDLZ,62.080002,62.28,60.26,61.56,61.56,13278900,twelve_data
2025-08-12,MDLZ,61.55,61.81,61.15,61.39,61.39,7373300,twelve_data
2025-08-13,MDLZ,61.44,62.295,61.19,62.19,60.602702157,7656716,tiingo
2025-08-14,MDLZ,62.060001,62.2,61.36,61.46,61.46,5695700,twelve_data
2025-08-15,MDLZ,61.68,62.35,61.32,62.080002,62.080002,5849700,twelve_data
2025-08-18,MDLZ,62.029999,62.35,61.64,61.84,61.84,5063900,twelve_data
2025-08-19,MDLZ,61.92,62.71,61.77,62.66,62.66,5990300,twelve_data
2025-08-20,MDLZ,63.23,64.089996,62.7,63.17,63.17,6805400,twelve_data
2025-08-21,MDLZ,62.92,63.0099983,62.31,62.94,62.94,5687300,twelve_data
2025-08-22,MDLZ,63.35,63.92,62.91,63.41,63.41,6390600,twelve_data
2025-08-25,MDLZ,63.19,63.23,61.88,61.96,61.96,5851900,twelve_data
2025-08-26,MDLZ,61.82,62.11,61.46,62.049999,62.049999,8456900,twelve_data
2025-08-27,MDLZ,61.69,61.85,61.31,61.76,61.76,6463800,twelve_data
2025-08-28,MDLZ,61.76,61.97,61.02,61.28,61.28,7242500,twelve_data
2025-08-29,MDLZ,61.28,61.65,61.01,61.44,59.871844678,5866856,tiingo
2025-09-02,MDLZ,61.58,62.060001,61.2,61.79,61.79,7815300,twelve_data
2025-09-03,MDLZ,61.36,61.77,59.37,61.3,59.7354179486,10559689,tiingo
2025-09-04,MDLZ,61.4,61.55,60.885,60.9,59.3456272932,4612686,tiingo
2025-09-05,MDLZ,61.029999,62.51,60.95,61.74,61.74,6149600,twelve_data
2025-09-08,MDLZ,61.59,61.97,61.0,61.94,61.94,6540800,twelve_data
2025-09-09,MDLZ,61.84,62.86,61.72,62.57,62.57,5785000,twelve_data
2025-09-10,MDLZ,62.29,62.47,61.37,62.27,62.27,6678900,twelve_data
2025-09-11,MDLZ,62.325,63.2,62.0,62.05,60.4662754276,6423925,tiingo
2025-09-12,MDLZ,61.975,62.47,61.685,61.98,60.3980620629,4853627,tiingo
2025-09-15,MDLZ,62.0,62.68,61.565,61.6,60.0277609402,6760463,tiingo
2025-09-16,MDLZ,61.62,62.95,61.46,62.7,62.7,8403200,twelve_data
2025-09-17,MDLZ,62.69,63.6,62.62,62.83,62.83,7039900,twelve_data
2025-09-18,MDLZ,62.27,63.36,62.11,63.25,61.635647394,6596217,tiingo
2025-09-19,MDLZ,63.6,64.029999,62.98,63.71,63.71,17133800,twelve_data
