date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,CTAS,203.23,207.72,200.13,206.04,203.7329879343,2116153,tiingo
2025-04-14,CTAS,206.72,210.58,206.07,209.62,207.2729029839,2183278,tiingo
2025-04-15,CTAS,210.13,211.915,207.67,208.2,205.8688026011,1843902,tiingo
2025-04-16,CTAS,207.34,208.39,202.94,204.72,202.4277678602,1967671,tiingo
2025-04-17,CTAS,205.97,207.51,204.59,205.76,203.4561230701,1712169,tiingo
2025-04-21,CTAS,204.49,204.6,197.314,200.41,198.1660265576,1405339,tiingo
2025-04-22,CTAS,202.46,206.57,201.67,205.84,203.535227317,1565065,tiingo
2025-04-23,CTAS,207.22,210.35,206.06,207.69,205.364513027,1786522,tiingo
2025-04-24,CTAS,207.28,210.33,205.1113,209.75,207.4014473851,1507105,tiingo
2025-04-25,CTAS,209.43,209.91,206.32,208.4,206.0665632184,1172851,tiingo
2025-04-28,CTAS,208.23,209.0,205.78,208.28,205.947906848,1716181,tiingo
2025-04-29,CTAS,207.15,209.545,206.73,209.26,206.9169338727,1380396,tiingo
2025-04-30,CTAS,208.37,212.0,205.595,211.68,209.309837342,2053655,tiingo
2025-05-01,CTAS,210.33,210.88,206.78,209.55,207.2036867678,1439760,tiingo
2025-05-02,CTAS,211.3,214.1799,209.99,211.55,209.1812929407,1373143,tiingo
2025-05-05,CTAS,211.0,212.54,210.1,211.82,209.4482697741,1069170,tiingo
2025-05-06,CTAS,210.75,213.66,209.86,213.31,210.9215863729,1351427,tiingo
2025-05-07,CTAS,213.33,216.2,212.98,215.11,212.7014319285,1970000,tiingo
2025-05-08,CTAS,216.25,218.2,214.82,214.96,212.5531114656,1542063,tiingo
2025-05-09,CTAS,215.17,215.4764,214.0,214.74,212.3355747865,965225,tiingo
2025-05-12,CTAS,218.01,218.01,212.67,216.99,214.5603817311,1913414,tiingo
2025-05-13,CTAS,217.395,218.26,215.22,215.33,212.9189686075,1395035,tiingo
2025-05-14,CTAS,214.36,214.89,212.84,214.19,211.791733089,1330297,tiingo
2025-05-15,CTAS,214.37,218.7099,214.25,218.49,216.4292195645,1376758,tiingo
2025-05-16,CTAS,218.49,220.93,217.26,220.85,218.7669602307,1431482,tiingo
2025-05-19,CTAS,220.85,223.3,220.0,223.03,220.9263986428,1137237,tiingo
2025-05-20,CTAS,219.17,223.01,218.9,222.87,220.7679077502,1400360,tiingo
2025-05-21,CTAS,221.17,222.77,220.65,221.05,218.9650738465,1298007,tiingo
2025-05-22,CTAS,220.39,222.93,219.9,221.66,219.5693203747,1210405,tiingo
2025-05-23,CTAS,220.0,223.065,219.0101,222.29,220.1933782644,1296336,tiingo
2025-05-27,CTAS,224.42999,226.16,223.34,225.88,225.88,1603800,twelve_data
2025-05-28,CTAS,226.0099945,226.87,224.89,225.080002,225.080002,994900,twelve_data
2025-05-29,CTAS,225.10001,225.95,223.21001,224.75,224.75,974200,twelve_data
2025-05-30,CTAS,225.48,227.8,224.42999,226.5,226.5,2393600,twelve_data
2025-06-02,CTAS,225.0,226.72,223.6544,226.69,224.5518778117,1135169,tiingo
2025-06-03,CTAS,226.48,227.77,225.039993,227.58,227.58,1390900,twelve_data
2025-06-04,CTAS,228.25,228.66,226.82,227.37,225.2254641053,1302916,tiingo
2025-06-05,CTAS,227.57001,228.12,226.12,226.89999,226.89999,1286000,twelve_data
2025-06-06,CTAS,228.78,229.24,226.99,227.66,225.5127288482,1010279,tiingo
2025-06-09,CTAS,226.94,227.17,222.67,224.60001,224.60001,1154500,twelve_data
2025-06-10,CTAS,224.16,224.38,221.039993,222.22,222.22,2099700,twelve_data
2025-06-11,CTAS,221.94,222.64,219.82001,221.72,221.72,1520800,twelve_data
2025-06-12,CTAS,221.53,223.61,220.97,223.57001,223.57001,1466900,twelve_data
2025-06-13,CTAS,221.99001,224.78999,221.45,221.98,221.98,1252900,twelve_data
