date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,MCHP,36.915,38.92,35.475,38.71,37.4164997971,20661982,tiingo
2025-04-14,MCHP,39.925,40.31,38.25,38.88,37.5808192227,9921386,tiingo
2025-04-15,MCHP,39.09,39.61,38.31,38.73,37.4358314942,6704904,tiingo
2025-04-16,MCHP,37.25,38.4,36.32,37.95,36.6818953061,14564704,tiingo
2025-04-17,MCHP,38.68,38.71,37.58,38.56,37.2715120686,7777927,tiingo
2025-04-21,MCHP,37.595,39.53,37.41,39.43,38.1124408938,16395603,tiingo
2025-04-22,MCHP,40.15,41.0544,39.58,40.29,38.9437038704,11719641,tiingo
2025-04-23,MCHP,42.77,43.37,41.631,41.93,40.5289030352,10228313,tiingo
2025-04-24,MCHP,44.12,47.325,44.12,47.12,45.5454784406,20418787,tiingo
2025-04-25,MCHP,46.27,47.5,46.07,46.89,45.3231639236,7677830,tiingo
2025-04-28,MCHP,46.66,47.85,45.9,47.01,45.4391541064,7084699,tiingo
2025-04-29,MCHP,45.81,46.72,45.5045,45.92,44.3855766128,8287470,tiingo
2025-04-30,MCHP,44.535,46.24,44.17,46.08,44.5402301898,10848348,tiingo
2025-05-01,MCHP,47.03,47.2,45.6,45.98,44.4435717042,8677153,tiingo
2025-05-02,MCHP,47.16,48.53,47.112,47.91,46.3090804773,9444032,tiingo
2025-05-05,MCHP,47.225,48.33,46.84,47.78,46.183424446,8196286,tiingo
2025-05-06,MCHP,47.0,47.7,46.68,47.24,45.6614686234,6499340,tiingo
2025-05-07,MCHP,47.66,48.4,46.92,48.08,46.4733999029,9566091,tiingo
2025-05-08,MCHP,48.93,50.26,48.56,49.14,47.4979798509,11279063,tiingo
2025-05-09,MCHP,55.745,58.06,53.83,55.33,53.4811401129,21360894,tiingo
2025-05-12,MCHP,59.99,62.49,59.34,60.96,58.9230128553,20947308,tiingo
2025-05-13,MCHP,60.95,63.12,60.6,62.3,60.2182365631,10992812,tiingo
2025-05-14,MCHP,62.0,62.075,60.26,60.65,58.6233715498,10608076,tiingo
2025-05-15,MCHP,60.315,61.355,59.3,60.8,58.7683592783,8416678,tiingo
2025-05-16,MCHP,60.67,61.22,60.1317,61.21,59.1646590694,6589290,tiingo
2025-05-19,MCHP,59.63,61.05,59.39,60.57,58.5460447612,8220223,tiingo
2025-05-20,MCHP,60.0,60.915,59.79,60.8,58.7683592783,6145534,tiingo
2025-05-21,MCHP,59.82,61.41,58.88,59.25,57.2701527506,7244242,tiingo
2025-05-22,MCHP,59.25,59.78,57.56,58.05,56.5500470325,11530576,tiingo
2025-05-23,MCHP,55.99,56.32,54.54,56.19,54.738107541,10093907,tiingo
2025-05-27,MCHP,57.42,59.52,56.75,58.68,58.68,11214300,twelve_data
2025-05-28,MCHP,58.86,59.09,57.4,57.46,57.46,8292900,twelve_data
2025-05-29,MCHP,59.040001,59.59,57.38,58.11,58.11,6573900,twelve_data
2025-05-30,MCHP,58.24,58.63,56.62,58.040001,58.040001,10845600,twelve_data
2025-06-02,MCHP,57.685,60.29,57.43,60.0,58.4496610155,9310240,tiingo
2025-06-03,MCHP,60.42,64.080002,59.89,63.84,63.84,16323000,twelve_data
2025-06-04,MCHP,64.35,65.28,63.05,64.67,62.9989929645,9193257,tiingo
2025-06-05,MCHP,65.0,66.37,63.63,64.37,64.37,11875600,twelve_data
2025-06-06,MCHP,65.69,66.055,65.09,65.25,63.5640063543,8884601,tiingo
2025-06-09,MCHP,66.029999,68.61,65.91,68.050003,68.050003,11974600,twelve_data
2025-06-10,MCHP,68.46,70.57,67.66,69.59,69.59,12064800,twelve_data
2025-06-11,MCHP,70.23,71.010002,68.84,69.6,69.6,12731500,twelve_data
2025-06-12,MCHP,68.69,69.19,67.69,67.93,67.93,7700300,twelve_data
2025-06-13,MCHP,66.54,67.33,65.5,65.73,65.73,9841200,twelve_data
2025-06-16,MCHP,66.75,68.36,66.48,68.19,68.19,9211800,twelve_data
