date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,LRCX,68.64,69.36,66.91,67.86,67.3660189404,9944994,tiingo
2025-04-15,LRCX,68.09,69.5425,67.95,68.44,67.94179688,10674214,tiingo
2025-04-16,LRCX,65.24,66.82,62.95,65.14,64.6658189475,17845300,tiingo
2025-04-17,LRCX,65.34,65.38,63.48,63.76,63.2958645393,13847742,tiingo
2025-04-21,LRCX,62.36,62.67,61.14,62.39,61.935837337,14302862,tiingo
2025-04-22,LRCX,62.965,64.02,62.56,63.48,63.0179027753,10857329,tiingo
2025-04-23,LRCX,66.81,68.01,66.34,66.73,66.2442446786,18214735,tiingo
2025-04-24,LRCX,69.67,71.21,67.5501,70.9,70.3838895207,18159373,tiingo
2025-04-25,LRCX,70.33,72.285,70.29,71.42,70.9001042252,9751468,tiingo
2025-04-28,LRCX,70.95,71.94,70.04,71.57,71.049012313,10255024,tiingo
2025-04-29,LRCX,70.89,71.66,70.22,70.9,70.3838895207,8583787,tiingo
2025-04-30,LRCX,68.89,71.84,68.525,71.67,71.1482843716,11233869,tiingo
2025-05-01,LRCX,72.18,73.5298,71.4,71.73,71.2078476067,14147596,tiingo
2025-05-02,LRCX,74.25,75.49,73.69,74.52,73.9775380406,13339390,tiingo
2025-05-05,LRCX,73.875,74.9,73.78,73.91,73.3719784834,6960773,tiingo
2025-05-06,LRCX,72.59,73.875,72.59,73.16,72.6274380442,6892727,tiingo
2025-05-07,LRCX,73.445,75.295,72.91,75.06,74.5136071568,9987702,tiingo
2025-05-08,LRCX,76.1,76.42,74.82,74.9,74.3547718632,10469426,tiingo
2025-05-09,LRCX,75.69,76.3,74.65,75.36,74.8114233325,7036956,tiingo
2025-05-12,LRCX,80.665,82.55,80.665,82.25,81.6512681675,17456944,tiingo
2025-05-13,LRCX,82.36,85.78,82.25,85.25,84.6294299243,11920152,tiingo
2025-05-14,LRCX,85.14,86.04,84.33,84.97,84.3514681604,8654510,tiingo
2025-05-15,LRCX,84.23,85.26,83.5,84.79,84.172778455,9058033,tiingo
2025-05-16,LRCX,84.41,84.46,82.53,84.43,83.8153990441,10100366,tiingo
2025-05-19,LRCX,82.7,84.45,82.54,83.82,83.2098394869,9222315,tiingo
2025-05-20,LRCX,83.53,84.35,83.05,84.29,83.6764181621,6913293,tiingo
2025-05-21,LRCX,83.21,84.78,82.23,82.79,82.1873372837,8082654,tiingo
2025-05-22,LRCX,82.64,83.82,82.05,82.56,81.959011549,6241631,tiingo
2025-05-23,LRCX,80.12,81.385,79.775,81.06,80.4699306706,8276670,tiingo
2025-05-27,LRCX,83.04,84.115,82.305,83.94,83.3289659572,9530217,tiingo
2025-05-28,LRCX,83.975,85.025,83.58,84.0,83.3885291923,9464088,tiingo
2025-05-29,LRCX,85.85,86.26,83.61,84.16,83.547364486,8239828,tiingo
2025-05-30,LRCX,83.67,83.81,79.49,80.79,80.2018961125,19191607,tiingo
2025-06-02,LRCX,80.585,82.53,80.425,82.48,81.8795939022,8246254,tiingo
2025-06-03,LRCX,82.07,84.01,81.95,83.66,83.0510041932,8920692,tiingo
2025-06-04,LRCX,84.21,85.04,83.49,84.77,84.1529240432,7992220,tiingo
2025-06-05,LRCX,85.5,86.34,84.34,84.91,84.2919049252,10917372,tiingo
2025-06-06,LRCX,86.26,87.58,85.858,86.35,85.7214225685,7877822,tiingo
2025-06-09,LRCX,87.1,89.33,87.02,88.3,87.6572277105,14496238,tiingo
2025-06-10,LRCX,88.785,91.37,88.34,91.0,90.3375732917,11118929,tiingo
2025-06-11,LRCX,91.385,91.99,89.87,90.95,90.2879372624,10646545,tiingo
2025-06-12,LRCX,90.62,91.9,90.49,91.66,90.9927688782,5989729,tiingo
2025-06-13,LRCX,88.77,91.23,88.18,89.52,88.868346825,10979027,tiingo
2025-06-16,LRCX,90.95,93.58,90.855,93.41,92.730029903,11642113,tiingo
2025-06-17,LRCX,93.34,95.015,92.55,92.66,91.9854894638,10229506,tiingo
2025-06-18,LRCX,93.045,93.6,91.8,92.24,91.7968725525,9373893,tiingo
2025-06-20,LRCX,93.05,93.43,87.75,90.49,90.0552796756,22925170,tiingo
2025-06-23,LRCX,91.37,92.76,90.29,91.61,91.1698991169,12551325,tiingo
2025-06-24,LRCX,93.23,95.77,93.23,95.63,95.1705867541,12838791,tiingo
2025-06-25,LRCX,96.25,97.37,95.32,96.02,95.5587131667,8690475,tiingo
2025-06-26,LRCX,96.28,96.925,95.835,96.84,96.374773829,9477473,tiingo
2025-06-27,LRCX,97.035,98.02,96.39,97.2,96.7330443637,10780969,tiingo
2025-06-30,LRCX,97.55,97.67,96.85,97.34,96.8723717938,8218267,tiingo
2025-07-01,LRCX,96.59,97.315,94.49,96.81,96.3449179511,9760336,tiingo
2025-07-02,LRCX,95.85,98.95,95.2,98.83,98.3552137291,11023029,tiingo
2025-07-03,LRCX,98.83,99.5,98.655,98.81,98.3353098105,5028931,tiingo
2025-07-07,LRCX,98.36,98.92,97.7099,98.14,97.6685285376,7239587,tiingo
2025-07-08,LRCX,98.825,100.285,98.22,99.83,99.3504096587,9570186,tiingo
2025-07-09,LRCX,99.8,101.085,98.91,99.81,99.3305057401,7323033,tiingo
2025-07-10,LRCX,100.92,101.65,100.18,101.06,100.5745006522,6572420,tiingo
2025-07-11,LRCX,100.33,102.025,100.27,101.73,101.2412819251,6203800,tiingo
2025-07-14,LRCX,100.57,101.0,98.78,99.62,99.1414185135,12938072,tiingo
2025-07-15,LRCX,101.54,102.19,100.61,101.07,100.5844526115,9190586,tiingo
