date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,META,556.175,557.77,528.28,531.48,529.8454583522,14130928,tiingo
2025-04-15,META,532.105,537.94,517.5,521.52,519.9160898619,15558659,tiingo
2025-04-16,META,508.51,513.37,495.63,502.31,500.76516931,18735075,tiingo
2025-04-17,META,505.25,507.3,498.0133,501.48,499.9377219358,14593508,tiingo
2025-04-21,META,491.325,493.5,479.8,484.66,483.1694510517,16165982,tiingo
2025-04-22,META,491.87,506.88,486.36,500.28,498.7414124792,17399408,tiingo
2025-04-23,META,528.525,535.3376,516.52,520.27,518.6699341779,18173910,tiingo
2025-04-24,META,518.73,533.9,517.5,533.15,531.510322346,13910011,tiingo
2025-04-25,META,546.8,549.86,536.25,547.27,545.5868969527,17098921,tiingo
2025-04-28,META,555.64,558.4899,540.59,549.74,548.0493005843,15178995,tiingo
2025-04-29,META,546.0,556.5699,544.12,554.44,552.7348459562,11835036,tiingo
2025-04-30,META,538.4,549.1,529.5,549.0,547.3115764193,29243971,tiingo
2025-05-01,META,592.075,592.95,570.5,572.21,570.4501951601,31159033,tiingo
2025-05-02,META,583.455,604.34,578.33,597.02,595.1838931764,24739260,tiingo
2025-05-05,META,591.22,603.21,588.05,599.27,597.4269734077,13887724,tiingo
2025-05-06,META,592.525,596.03,586.58,587.31,585.503755823,10600650,tiingo
2025-05-07,META,590.36,603.075,586.67,596.81,594.9745390215,13160976,tiingo
2025-05-08,META,606.285,611.2959,596.62,598.01,596.1708484782,14622805,tiingo
2025-05-09,META,603.72,606.97,591.7062,592.49,590.6678249776,10427286,tiingo
2025-05-12,META,630.92,640.3896,621.03,639.43,637.4634632237,21965085,tiingo
2025-05-13,META,645.545,660.92,642.83,656.03,654.0124107074,18570821,tiingo
2025-05-14,META,661.21,662.67,654.31,659.36,657.3321694496,12348179,tiingo
2025-05-15,META,654.275,657.31,638.58,643.88,641.8997774588,14341835,tiingo
2025-05-16,META,637.955,640.44,626.15,640.34,638.3706645617,18518972,tiingo
2025-05-19,META,628.25,643.0,627.8,640.43,638.4603877709,9592374,tiingo
2025-05-20,META,636.01,639.3536,632.26,637.1,635.1406290287,6743473,tiingo
2025-05-21,META,631.79,646.61,630.17,635.5,633.5455497532,11464569,tiingo
2025-05-22,META,634.05,643.25,630.71,636.57,634.6122590187,8228443,tiingo
2025-05-23,META,624.0,632.445,622.65,627.06,625.1315065747,8454067,tiingo
2025-05-27,META,635.41,643.08,632.75,642.32,640.3445751651,9508367,tiingo
2025-05-28,META,642.6,650.88,642.5472,643.58,641.6007000946,9042874,tiingo
2025-05-29,META,651.645,653.32,639.5,645.05,643.066179179,8883436,tiingo
2025-05-30,META,642.5,649.40997,632.78003,647.48999,647.48999,16241000,twelve_data
2025-06-02,META,644.39,673.26,644.2616,670.9,668.8366787245,15766258,tiingo
2025-06-03,META,671.445,675.58,665.03,666.85,664.7991343083,11585031,tiingo
2025-06-04,META,669.32,689.0,668.57,687.95,685.8342422544,14031931,tiingo
2025-06-05,META,691.66,694.38,682.25,684.62,682.5144835122,13120335,tiingo
2025-06-06,META,696.17,702.806,691.87,697.71,695.5642258352,11727961,tiingo
2025-06-09,META,698.46,705.19,693.94,694.06,691.9254512379,12773221,tiingo
2025-06-10,META,701.345,703.23,691.56,702.4,700.2398019616,10850146,tiingo
2025-06-11,META,703.705,708.8707,691.99,694.14,692.0052052017,9582508,tiingo
2025-06-12,META,693.3,695.38,687.0,693.36,691.2276040548,7322730,tiingo
2025-06-13,META,687.95,694.57,681.01,682.87,680.7698655546,9274441,tiingo
2025-06-16,META,699.33002,707.15002,693.51001,702.12,702.12,13720300,twelve_data
2025-06-17,META,702.0,705.96997,696.059998,697.22998,697.22998,10066100,twelve_data
2025-06-18,META,698.18,701.59,694.9,695.77,694.1488440835,10068255,tiingo
2025-06-20,META,700.75,701.8197,678.67,682.35,680.7601129115,22538640,tiingo
2025-06-23,META,683.69,699.05,678.75,698.53,696.9024132367,11080055,tiingo
2025-06-24,META,704.885,713.19,702.11,712.2,710.5405619045,13823180,tiingo
2025-06-25,META,713.32001,716.58002,705.38,708.67999,708.67999,9320400,twelve_data
2025-06-26,META,714.355,728.22,711.05,726.09,724.3981979686,13964793,tiingo
2025-06-27,META,726.52002,735.42999,725.85999,733.63,733.63,18775700,twelve_data
2025-06-30,META,744.54999,747.90002,734.25,738.090027,738.090027,15402100,twelve_data
2025-07-01,META,736.875,737.7499,715.37,719.22,717.5442051853,13431248,tiingo
2025-07-02,META,715.33002,720.29999,712.79999,713.57001,713.57001,9336700,twelve_data
2025-07-03,META,726.60999,729.030029,714.41998,719.01001,719.01001,8601700,twelve_data
2025-07-07,META,717.6,727.0,713.51,718.35,716.6762323001,9457080,tiingo
2025-07-08,META,721.57,722.9099,714.81,720.67,718.9908266607,7770693,tiingo
2025-07-09,META,722.715,737.53,722.715,732.78,731.072610155,11417963,tiingo
2025-07-10,META,731.55,735.7999,719.6,727.24,725.5455184491,9922249,tiingo
2025-07-11,META,722.495,725.16,709.7,717.51,715.8381895143,10873880,tiingo
2025-07-14,META,717.59998,728.0,716.54999,720.91998,720.91998,8939400,twelve_data
2025-07-15,META,723.90002,724.46997,709.82001,710.39001,710.39001,11529500,twelve_data
2025-07-16,META,713.37,713.96997,699.27002,702.90997,702.90997,13067600,twelve_data
2025-07-17,META,704.39001,705.90002,697.10999,701.40997,701.40997,11803300,twelve_data
2025-07-18,META,702.19,704.71002,691.65002,704.28003,704.28003,12779800,twelve_data
2025-07-21,META,706.8,717.0,705.76,712.965,711.3037794415,9404391,tiingo
2025-07-22,META,716.19,716.59998,701.40997,704.81,704.81,8921100,twelve_data
2025-07-23,META,706.37,714.63,704.92999,713.58002,713.58002,8771600,twelve_data
2025-07-24,META,717.05,723.6239,714.0,714.8,713.1345038604,10920836,tiingo
2025-07-25,META,716.91998,720.65002,711.90002,712.67999,712.67999,8271700,twelve_data
2025-07-28,META,715.2,724.7352,712.68,717.63,715.9579099123,8715743,tiingo
2025-07-29,META,720.0,724.47,699.91,700.0,698.3689881117,13267032,tiingo
2025-07-30,META,708.09,708.5,691.2001,695.21,693.5901488931,27077286,tiingo
2025-07-31,META,775.20001,784.75,765.51001,773.44,773.44,38831100,twelve_data
2025-08-01,META,760.72998,766.0,745.31,750.01001,750.01001,19028700,twelve_data
2025-08-04,META,760.0,776.84998,758.40997,776.37,776.37,15801700,twelve_data
2025-08-05,META,776.45001,783.13,763.0,763.46002,763.46002,11640300,twelve_data
2025-08-06,META,770.0,773.64001,760.46002,771.98999,771.98999,9733900,twelve_data
2025-08-07,META,773.49,775.0,759.55,761.83,760.0549231616,9019691,tiingo
2025-08-08,META,762.75,769.90002,758.58002,769.29999,769.29999,7320800,twelve_data
2025-08-11,META,770.075,773.4584,764.67,765.87,764.085509893,7611964,tiingo
2025-08-12,META,773.0,793.67,772.43,790.0,788.1592865832,14579765,tiingo
2025-08-13,META,791.15,795.4561,778.23,780.08,778.2624003517,8811750,tiingo
2025-08-14,META,777.88,787.81,772.51,782.13,780.3076238169,8116193,tiingo
2025-08-15,META,784.15,796.25,780.82,785.23,783.4004007642,13375361,tiingo
2025-08-18,META,775.090027,775.81,756.56,767.37,767.37,16513700,twelve_data
2025-08-19,META,767.12,767.16998,749.35999,751.47998,751.47998,12286700,twelve_data
2025-08-20,META,747.57001,750.20001,731.0,747.71997,747.71997,11898200,twelve_data
2025-08-21,META,744.71002,745.5,733.10999,739.099976,739.099976,8876300,twelve_data
2025-08-22,META,739.23,756.9,734.39,754.79,753.0313264812,10612667,tiingo
2025-08-25,META,754.82,758.88,750.13,753.3,751.5447982065,6861158,tiingo
2025-08-26,META,750.8,754.87,747.94,754.1,752.3429341929,7601800,tiingo
2025-08-27,META,752.3,754.1499,742.84,747.38,745.638591907,8315435,tiingo
2025-08-28,META,744.0,753.0548,740.795,751.11,749.3599009437,7467955,tiingo
2025-08-29,META,745.28003,747.14001,735.34998,738.70001,738.70001,9070500,twelve_data
2025-09-02,META,726.039978,736.0,721.72998,735.10999,735.10999,9350900,twelve_data
2025-09-03,META,736.0,740.25,733.9893,737.05,735.3326609825,7650495,tiingo
2025-09-04,META,748.57,761.16,745.82,748.65,746.9056327855,11439078,tiingo
