date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,ADP,292.21,301.39,290.295,299.54,292.2238422148,2188071,tiingo
2025-04-14,ADP,299.65,304.31,298.72,301.56,294.1945044344,1806247,tiingo
2025-04-15,ADP,301.56,303.27,297.8,298.06,290.7799906875,1763342,tiingo
2025-04-16,ADP,297.955,299.2,292.255,294.14,286.955735291,1406472,tiingo
2025-04-17,ADP,295.88,296.1,292.96,293.28,286.1167404846,1667101,tiingo
2025-04-21,ADP,290.77,293.235,280.3396,284.85,277.8926402313,2315588,tiingo
2025-04-22,ADP,288.32,295.51,286.76,292.89,285.7362660956,1725162,tiingo
2025-04-23,ADP,294.35,297.6,291.73,293.54,286.3703900772,1636120,tiingo
2025-04-24,ADP,293.035,294.86,288.96,294.55,287.355721187,1686259,tiingo
2025-04-25,ADP,293.09,294.2,288.75,291.76,284.6338659431,1481993,tiingo
2025-04-28,ADP,291.65,294.21,290.4,293.57,286.3996573379,1669235,tiingo
2025-04-29,ADP,292.4,296.02,292.37,295.77,288.5459231217,1618330,tiingo
2025-04-30,ADP,290.74,301.36,288.34,300.6,293.2579520924,3342317,tiingo
2025-05-01,ADP,299.21,300.32,293.725,298.69,291.394603162,1667514,tiingo
2025-05-02,ADP,301.02,305.06,300.085,303.57,296.1554109005,1720851,tiingo
2025-05-05,ADP,303.3,305.745,301.45,303.96,296.5358852895,1232849,tiingo
2025-05-06,ADP,303.23,304.19,300.925,303.33,295.921272815,1006759,tiingo
2025-05-07,ADP,303.41,306.2,302.38,305.18,297.7260872241,2013032,tiingo
2025-05-08,ADP,306.9,309.67,305.19,307.09,299.5894361546,1164272,tiingo
2025-05-09,ADP,307.09,308.71,305.82,307.72,300.204048629,851726,tiingo
2025-05-12,ADP,311.82,312.14,305.21,309.38,301.8235037204,1682981,tiingo
2025-05-13,ADP,310.085,310.86,308.18,308.19,300.6625690465,1215499,tiingo
2025-05-14,ADP,306.66,309.98,305.51,309.41,301.8527709811,1163118,tiingo
2025-05-15,ADP,309.96,315.95,309.96,315.85,308.1354762754,1696989,tiingo
2025-05-16,ADP,316.44,319.5,314.39,319.37,311.5695015295,1489162,tiingo
2025-05-19,ADP,318.72,323.17,317.37,322.96,315.0718170584,1530564,tiingo
