date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,TTWO,214.0,216.0,210.99,212.95,212.95,1220645,tiingo
2025-04-15,TTWO,212.75,215.3488,211.95,214.6,214.6,1267466,tiingo
2025-04-16,TTWO,213.8,215.8513,209.17,211.4,211.4,1228698,tiingo
2025-04-17,TTWO,213.67,214.8,211.46,212.77,212.77,1060193,tiingo
2025-04-21,TTWO,210.84,211.34,202.41,205.16,205.16,1744437,tiingo
2025-04-22,TTWO,208.13,211.7547,207.065,209.97,209.97,1493048,tiingo
2025-04-23,TTWO,212.07,215.9679,211.0,213.3,213.3,1713559,tiingo
2025-04-24,TTWO,213.8,224.575,213.3,222.69,222.69,2966631,tiingo
2025-04-25,TTWO,222.65,225.49,222.28,225.38,225.38,1534579,tiingo
2025-04-28,TTWO,227.25,228.995,223.59,225.55,225.55,2071652,tiingo
2025-04-29,TTWO,225.2,231.23,225.2,230.71,230.71,1621173,tiingo
2025-04-30,TTWO,227.0,234.09,225.4,233.32,233.32,2234204,tiingo
2025-05-01,TTWO,234.12,238.0,233.42,235.17,235.17,2175085,tiingo
2025-05-02,TTWO,214.45,224.7165,211.0,219.5,219.5,8968333,tiingo
2025-05-05,TTWO,218.5,225.82,217.74,225.32,225.32,2828645,tiingo
2025-05-06,TTWO,223.51,232.21,222.235,231.84,231.84,2811998,tiingo
2025-05-07,TTWO,232.11,232.935,225.34,226.34,226.34,2786959,tiingo
2025-05-08,TTWO,227.11,227.98,224.39,225.45,225.45,1774222,tiingo
2025-05-09,TTWO,225.45,227.49,223.05,226.55,226.55,1524677,tiingo
2025-05-12,TTWO,226.08,227.89,219.41,226.25,226.25,2080542,tiingo
2025-05-13,TTWO,225.86,228.3017,224.307,226.16,226.16,2116863,tiingo
2025-05-14,TTWO,225.71,229.67,224.89,229.5,229.5,2140245,tiingo
2025-05-15,TTWO,228.75,233.76,228.395,232.34,232.34,3081518,tiingo
2025-05-16,TTWO,236.58,240.78,226.11,226.74,226.74,4381389,tiingo
2025-05-19,TTWO,226.74,235.72,225.45,234.66,234.66,2189996,tiingo
2025-05-20,TTWO,233.02,237.62,232.539,237.5,237.5,1729504,tiingo
2025-05-21,TTWO,228.03,231.64,226.67,226.76,226.76,6081064,tiingo
2025-05-22,TTWO,228.03,228.4,223.12,226.01,226.01,4751087,tiingo
2025-05-23,TTWO,225.92,226.16,224.0001,224.99,224.99,1863014,tiingo
2025-05-27,TTWO,226.0,227.5,224.0,226.27,226.27,2372263,tiingo
2025-05-28,TTWO,226.34,229.88,226.34,228.33,228.33,2077566,tiingo
2025-05-29,TTWO,228.66,228.66,223.72,225.39,225.39,2137661,tiingo
2025-05-30,TTWO,225.4,226.95,224.26,226.28,226.28,3647903,tiingo
2025-06-02,TTWO,226.1,227.63,222.12,227.6,227.6,2472701,tiingo
2025-06-03,TTWO,227.0,229.85,224.0,229.65,229.65,1832336,tiingo
2025-06-04,TTWO,229.52,230.3999,227.2,229.18,229.18,1757466,tiingo
2025-06-05,TTWO,229.55,232.78,228.8301,231.03,231.03,2340468,tiingo
2025-06-06,TTWO,232.98,233.2,230.47,232.72,232.72,1497156,tiingo
2025-06-09,TTWO,232.27,234.33,230.39,233.5,233.5,1426462,tiingo
2025-06-10,TTWO,233.47,235.615,231.895,234.91,234.91,1596829,tiingo
2025-06-11,TTWO,234.33,235.67,232.24,234.74,234.74,1277678,tiingo
2025-06-12,TTWO,234.115,237.39,233.61,234.46,234.46,1441152,tiingo
2025-06-13,TTWO,232.93,235.8,229.59,230.23,230.23,2011518,tiingo
2025-06-16,TTWO,230.95,240.435,230.67,238.6,238.6,2220138,tiingo
2025-06-17,TTWO,238.61,239.56,236.15,237.52,237.52,1713236,tiingo
2025-06-18,TTWO,237.7,242.09,235.67,238.5,238.5,2510636,tiingo
