date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,APP,258.295,263.0,239.0,249.95,249.95,8966853,tiingo
2025-04-14,APP,258.94,262.08,234.39,236.07,236.07,7438408,tiingo
2025-04-15,APP,235.6,248.18,230.5201,245.47,245.47,6784576,tiingo
2025-04-16,APP,234.525,241.95,224.4,229.81,229.81,7300828,tiingo
2025-04-17,APP,231.39,239.95,226.1001,238.22,238.22,5285999,tiingo
2025-04-21,APP,233.53,238.4953,222.0201,228.13,228.13,5778158,tiingo
2025-04-22,APP,232.0,243.56,227.05,237.71,237.71,6342282,tiingo
2025-04-23,APP,255.505,267.9999,250.1,252.35,252.35,7302645,tiingo
2025-04-24,APP,253.725,275.92,252.0001,267.88,267.88,6773109,tiingo
2025-04-25,APP,272.3,278.88,266.505,276.83,276.83,5770373,tiingo
2025-04-28,APP,278.64,286.8284,273.5,284.98,284.98,6313779,tiingo
2025-04-29,APP,286.5,291.39,281.27,288.88,288.88,4797093,tiingo
2025-04-30,APP,247.91,273.81,246.0,269.31,269.31,9277913,tiingo
2025-05-01,APP,282.0,288.25,276.8,279.49,279.49,5912172,tiingo
2025-05-02,APP,291.99,309.342,286.845,307.58,307.58,6997990,tiingo
2025-05-05,APP,299.19,306.79,295.41,301.84,301.84,4444645,tiingo
2025-05-06,APP,294.645,307.27,290.96,304.62,304.62,4539519,tiingo
2025-05-07,APP,300.55,304.52,292.87,303.46,303.46,11732107,tiingo
2025-05-08,APP,344.0,357.64,335.1301,339.51,339.51,14355299,tiingo
2025-05-09,APP,343.045,351.375,328.52,328.54,328.54,7760053,tiingo
2025-05-12,APP,350.56,358.67,343.37,347.9,347.9,7826646,tiingo
2025-05-13,APP,348.53,380.7,347.7,370.1,370.1,9729218,tiingo
2025-05-14,APP,373.49,379.5799,368.45,376.54,376.54,6324282,tiingo
2025-05-15,APP,373.94,378.23,361.44,366.61,366.61,6322226,tiingo
2025-05-16,APP,369.26,373.73,358.0,362.34,362.34,4740227,tiingo
2025-05-19,APP,355.27,375.84,354.01,370.63,370.63,6224325,tiingo
2025-05-20,APP,371.4482,371.4482,360.8637,363.055,363.055,5533494,tiingo
2025-05-21,APP,359.68,374.57,358.0,358.35,358.35,7567122,tiingo
2025-05-22,APP,360.52,367.47,350.817,351.47,351.47,5329383,tiingo
2025-05-23,APP,341.72,356.55,340.2,354.29,354.29,5318795,tiingo
2025-05-27,APP,362.0,384.36,355.16,380.91,380.91,7683415,tiingo
2025-05-28,APP,381.38,392.87,375.1201,390.26,390.26,6778341,tiingo
2025-05-29,APP,400.095,402.903,381.43,384.23,384.23,5144707,tiingo
2025-05-30,APP,386.87,394.23999,372.53,393.0,393.0,7840300,twelve_data
2025-06-02,APP,392.31,402.25,381.6001,401.91,401.91,6202125,tiingo
2025-06-03,APP,401.91,408.0,390.41,398.51,398.51,4651336,tiingo
2025-06-04,APP,398.39,417.45,398.21,416.52,416.52,4804645,tiingo
2025-06-05,APP,414.17,428.99,406.78,414.14,414.14,5986157,tiingo
2025-06-06,APP,421.0,426.52,413.2301,417.89,417.89,5495450,tiingo
2025-06-09,APP,401.25,404.5,382.85,383.6,383.6,7829239,tiingo
2025-06-10,APP,390.0,396.77,374.68,383.61,383.61,4949317,tiingo
2025-06-11,APP,386.3,387.95,377.9,383.43,383.43,3598466,tiingo
2025-06-12,APP,380.5,384.1,362.45,380.58,380.58,6527801,tiingo
2025-06-13,APP,372.78,381.0,360.749,364.49,364.49,4351715,tiingo
2025-06-16,APP,367.79001,377.01001,364.48999,370.67999,370.67999,3544900,twelve_data
2025-06-17,APP,370.95001,371.0,358.70999,360.45001,360.45001,2960000,twelve_data
2025-06-18,APP,360.66,361.8899,338.6501,344.37,344.37,5816331,tiingo
2025-06-20,APP,344.23,344.76,321.68,324.7,324.7,8731808,tiingo
2025-06-23,APP,324.36,336.04,320.0,335.4,335.4,5498923,tiingo
2025-06-24,APP,346.915,352.39,341.93,349.48,349.48,5302973,tiingo
2025-06-25,APP,355.39999,358.237,336.67001,338.79999,338.79999,4109500,twelve_data
2025-06-26,APP,342.41,347.95,328.94,347.45,347.45,5305922,tiingo
2025-06-27,APP,348.48999,348.82999,332.10001,333.78,333.78,18537800,twelve_data
2025-06-30,APP,341.32001,361.758,340.049988,350.079987,350.079987,8204900,twelve_data
2025-07-01,APP,347.0,358.53,331.0,336.69,336.69,5379761,tiingo
2025-07-02,APP,342.53,348.54999,333.20499,336.0,336.0,4127400,twelve_data
2025-07-03,APP,332.0,343.5,325.57999,341.64001,341.64001,3525800,twelve_data
2025-07-07,APP,341.87,346.78,338.22,345.0,345.0,3158411,tiingo
2025-07-08,APP,352.14,359.0,341.5,344.75,344.75,3023104,tiingo
2025-07-09,APP,350.27,362.64,344.75,352.74,352.74,4234855,tiingo
2025-07-10,APP,359.355,359.355,334.5257,346.32,346.32,5626851,tiingo
2025-07-11,APP,342.0,345.93,332.32,335.1,335.1,3584592,tiingo
2025-07-14,APP,342.9,362.53,342.1101,355.9,355.9,6338812,tiingo
2025-07-15,APP,348.0,354.37601,345.41,352.95999,352.95999,3389500,twelve_data
2025-07-16,APP,355.57999,358.56,348.70999,355.5,355.5,3703500,twelve_data
2025-07-17,APP,356.59,369.39999,351.0,363.78,363.78,4602400,twelve_data
2025-07-18,APP,372.59,375.495,361.0,364.45999,364.45999,4836500,twelve_data
2025-07-21,APP,360.60001,375.5,359.39999,366.17001,366.17001,4582400,twelve_data
2025-07-22,APP,363.3,364.905,343.0,350.0,350.0,4775224,tiingo
2025-07-23,APP,352.98,363.68,349.21,362.12,362.12,3626130,tiingo
2025-07-24,APP,363.82,364.78,355.0,359.94,359.94,2673274,tiingo
2025-07-25,APP,360.0,369.79001,357.028992,364.14001,364.14001,2883700,twelve_data
2025-07-28,APP,366.5,371.6953,362.17,370.96,370.96,2822983,tiingo
2025-07-29,APP,373.95999,379.23001,359.45999,361.63,361.63,3270300,twelve_data
2025-07-30,APP,362.53,366.79999,358.54999,363.31,363.31,2247100,twelve_data
2025-07-31,APP,380.0,397.92001,377.51999,390.70001,390.70001,7940700,twelve_data
2025-08-01,APP,377.45999,385.92001,366.47,379.17001,379.17001,6336300,twelve_data
2025-08-04,APP,383.01001,395.56,368.18799,395.01001,395.01001,4986200,twelve_data
