date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,AMGN,282.5,287.9,277.1,285.98,275.2365205415,3467087,tiingo
2025-04-14,AMGN,286.77,295.18,285.21,293.92,282.8782366514,2492955,tiingo
2025-04-15,AMGN,294.305,296.17,292.14,295.3,284.2063938594,2593614,tiingo
2025-04-16,AMGN,294.74,294.75,281.03,282.64,272.021995125,2656374,tiingo
2025-04-17,AMGN,277.04,278.68,268.5,277.29,266.8729798621,4371880,tiingo
2025-04-21,AMGN,277.29,278.2525,270.36,273.68,263.3985976006,1803577,tiingo
2025-04-22,AMGN,275.7,278.73,274.49,278.4,267.9412802251,2080977,tiingo
2025-04-23,AMGN,279.91,283.6,276.42,277.9,267.4600638453,2679621,tiingo
2025-04-24,AMGN,278.47,282.26,274.42,279.84,269.3271833986,2260455,tiingo
2025-04-25,AMGN,279.47,282.19,276.44,280.84,270.2896161581,1994615,tiingo
2025-04-28,AMGN,280.63,284.1,280.0,283.09,272.4550898668,2082462,tiingo
2025-04-29,AMGN,281.12,289.9,279.06,288.56,277.7195970609,2147733,tiingo
2025-04-30,AMGN,289.44,292.0,286.09,290.92,279.9909383731,2612306,tiingo
2025-05-01,AMGN,287.04,287.8814,282.07,283.78,273.1191684708,2942685,tiingo
2025-05-02,AMGN,291.5,291.605,275.195,281.22,270.6553406066,4537310,tiingo
2025-05-05,AMGN,281.57,281.97,276.09,280.06,269.5389186057,2781413,tiingo
2025-05-06,AMGN,277.09,277.61,268.81,270.44,260.28031546,3253439,tiingo
2025-05-07,AMGN,272.03,276.68,270.44,275.84,265.4774523609,2366836,tiingo
2025-05-08,AMGN,269.45,274.78,266.025,272.05,261.8298322027,3618364,tiingo
2025-05-09,AMGN,270.66,273.475,265.66,265.86,255.8723734218,3328886,tiingo
2025-05-12,AMGN,266.47,276.09,262.99,274.76,264.4380249807,4216761,tiingo
2025-05-13,AMGN,273.83,273.915,268.53,270.45,260.2899397876,2660741,tiingo
2025-05-14,AMGN,269.84,270.34,261.43,262.28,252.4268641431,3933026,tiingo
2025-05-15,AMGN,265.3,271.69,264.15,271.69,261.4833564093,3995104,tiingo
2025-05-16,AMGN,270.66,272.54,267.73,272.41,264.4668979635,2589330,tiingo
2025-05-19,AMGN,272.58,276.0,271.995,275.85,267.8065922809,2189559,tiingo
2025-05-20,AMGN,275.91,276.9,274.28,275.01,266.991085529,2188611,tiingo
2025-05-21,AMGN,274.18,275.59,270.5136,271.34,263.4280976962,2559862,tiingo
2025-05-22,AMGN,271.34,272.44,269.1,271.9,263.9717688641,1919809,tiingo
2025-05-23,AMGN,269.48,272.52,269.1283,271.66,263.738766935,2532123,tiingo
2025-05-27,AMGN,273.7,279.63,273.115,279.45,271.3016212177,2917522,tiingo
2025-05-28,AMGN,279.02,281.34,276.62,278.4,270.2822377778,3863818,tiingo
2025-05-29,AMGN,279.22,283.82,278.4,283.54,275.2723624264,2802379,tiingo
2025-05-30,AMGN,282.61,288.81,281.04,288.18,279.7770663894,5439225,tiingo
2025-06-02,AMGN,285.64,289.45,284.775,288.47,280.058610387,2394373,tiingo
2025-06-03,AMGN,285.52,291.76,283.04,289.57,281.1265358955,2320446,tiingo
2025-06-04,AMGN,290.19,293.21,286.89,287.01,278.6411819849,2338424,tiingo
2025-06-05,AMGN,286.33,291.3599,284.99,287.1,278.7285577083,2522678,tiingo
2025-06-06,AMGN,289.8,293.57,289.01,290.33,281.8643753377,1996270,tiingo
2025-06-09,AMGN,290.47,291.66,287.5391,289.98,281.5245808578,1967217,tiingo
2025-06-10,AMGN,290.0,295.64,289.79,293.43,284.8739835888,2441506,tiingo
2025-06-11,AMGN,293.21,294.665,291.15,291.81,283.3012205673,1828333,tiingo
2025-06-12,AMGN,294.21,297.44,292.68,297.29,288.6214312822,2160004,tiingo
2025-06-13,AMGN,294.73,299.49,294.07,295.22,286.6117896435,2191296,tiingo
2025-06-16,AMGN,296.31,298.77,292.46,295.56,286.9418757098,2047619,tiingo
2025-06-17,AMGN,294.41,295.8,289.625,290.05,281.5925397537,2515461,tiingo
2025-06-18,AMGN,290.79,291.87,286.6,289.63,281.1847863778,2026814,tiingo
2025-06-20,AMGN,292.17,294.55,288.54,289.33,280.8935339664,6801395,tiingo
2025-06-23,AMGN,290.075,290.66,267.83,272.44,264.4960232047,5764884,tiingo
2025-06-24,AMGN,273.13,280.01,269.01,277.49,269.3987721299,3687106,tiingo
2025-06-25,AMGN,275.8,280.54,273.13,280.35,272.1753784519,2740255,tiingo
2025-06-26,AMGN,280.0,286.17,277.75,279.11,270.9715351514,2998396,tiingo
2025-06-27,AMGN,278.57,281.32,275.7,277.13,269.0492692362,2894455,tiingo
2025-06-30,AMGN,278.85,280.04,276.58,279.21,271.0686192885,2963945,tiingo
2025-07-01,AMGN,280.01,293.98,278.98,290.52,282.0488351983,3502984,tiingo
2025-07-02,AMGN,291.03,297.91,289.5,296.85,288.1942610788,2287002,tiingo
2025-07-03,AMGN,297.0,298.99,295.51,298.24,289.5437305849,1518529,tiingo
2025-07-07,AMGN,297.88,298.0,291.38,292.95,284.4079797306,2144498,tiingo
2025-07-08,AMGN,291.96,298.68,291.2514,297.0,288.3398872845,1534162,tiingo
2025-07-09,AMGN,298.51,301.66,291.77,296.52,287.8738834262,2098070,tiingo
2025-07-10,AMGN,296.19,302.38,295.165,300.37,291.6116227059,1925839,tiingo
2025-07-11,AMGN,298.23,299.91,294.0,295.27,286.6603317121,1619942,tiingo
2025-07-14,AMGN,293.86,297.14,292.84,297.03,288.3690125256,1202396,tiingo
2025-07-15,AMGN,297.19,297.53,291.94,292.51,283.9808095272,1593010,tiingo
2025-07-16,AMGN,292.51,299.34,292.33,299.02,290.3009868546,1881075,tiingo
2025-07-17,AMGN,297.59,299.95,296.28,298.25,289.5534389986,1725609,tiingo
2025-07-18,AMGN,300.93,301.0,293.75,294.76,286.1652026127,1967676,tiingo
2025-07-21,AMGN,294.75,297.0932,293.6,295.87,287.2428365349,2025210,tiingo
2025-07-22,AMGN,296.465,306.8,295.86,305.69,296.7764988013,2520791,tiingo
2025-07-23,AMGN,307.81,309.49,305.99,309.22,300.2035688421,1782753,tiingo
2025-07-24,AMGN,309.23,311.28,307.35,308.55,299.5531051233,1531263,tiingo
2025-07-25,AMGN,308.58,309.03,304.45,306.58,297.6405476218,1451453,tiingo
2025-07-28,AMGN,305.815,306.0,300.1,301.29,292.5047967675,1948079,tiingo
2025-07-29,AMGN,301.115,304.07,297.78,303.56,294.7086066804,1406569,tiingo
2025-07-30,AMGN,304.33,305.5699,299.66,301.37,292.5824640772,1550405,tiingo
2025-07-31,AMGN,298.44,302.96,293.63,295.1,286.495288679,2252661,tiingo
2025-08-01,AMGN,297.06,298.52,292.59,296.88,288.2233863199,2411088,tiingo
2025-08-04,AMGN,297.3,302.33,296.295,301.94,293.1358436588,2316346,tiingo
2025-08-05,AMGN,300.73,302.1,297.02,300.08,291.3300787082,2664113,tiingo
2025-08-06,AMGN,295.51,298.54,281.65,284.67,276.369413176,4576216,tiingo
2025-08-07,AMGN,287.35,289.25,281.69,284.7,276.3985384171,2588880,tiingo
2025-08-08,AMGN,283.49,288.4925,283.49,288.23,279.8256084579,1803383,tiingo
2025-08-11,AMGN,289.74,291.735,284.72,285.09,276.777166552,1856770,tiingo
2025-08-12,AMGN,285.48,286.26,282.6,284.98,276.6703740011,2200356,tiingo
2025-08-13,AMGN,285.32,289.58,284.69,289.33,280.8935339664,1785036,tiingo
2025-08-14,AMGN,288.88,291.54,287.41,290.29,281.8255416829,1932645,tiingo
2025-08-15,AMGN,292.03,296.99,290.58,296.47,287.8253413577,2168335,tiingo
2025-08-18,AMGN,296.93,298.14,292.2975,292.62,284.0876020781,1744072,tiingo
2025-08-19,AMGN,292.41,296.99,292.11,295.55,286.9321672961,1858568,tiingo
2025-08-20,AMGN,296.25,301.47,295.8,296.45,287.8059245302,1723712,tiingo
2025-08-21,AMGN,295.9,299.9,294.49,295.76,287.136043984,1843705,tiingo
2025-08-22,AMGN,295.49,297.8851,293.3501,293.72,287.4661300503,1644256,tiingo
2025-08-25,AMGN,292.61,294.6,287.56,288.47,282.3279127591,1734403,tiingo
2025-08-26,AMGN,287.77,289.89,286.53,289.58,283.4142787007,1750527,tiingo
2025-08-27,AMGN,288.84,290.25,286.6501,287.97,281.8385587314,1401085,tiingo
2025-08-28,AMGN,287.23,287.23,284.87,285.61,279.5288077205,1886704,tiingo
2025-08-29,AMGN,285.8,288.2999,285.16,287.71,281.584094637,1302804,tiingo
2025-09-02,AMGN,287.49,288.74,284.7101,286.92,280.8109152731,1948379,tiingo
2025-09-03,AMGN,284.085,286.93,280.38,283.85,277.8062815429,2579374,tiingo
2025-09-04,AMGN,284.76,284.76,278.7538,280.1,274.1361263349,2622357,tiingo
2025-09-05,AMGN,279.8,285.29,279.0,283.64,277.6007528512,2299366,tiingo
2025-09-08,AMGN,281.05,282.43,277.32,280.19,274.2242100599,2453044,tiingo
2025-09-09,AMGN,279.5,282.08,278.78,279.97,274.0088942877,1733376,tiingo
2025-09-10,AMGN,280.0,280.31,275.16,278.51,272.5799805267,2150683,tiingo
2025-09-11,AMGN,278.52,282.9,278.0,282.73,276.7101285208,2233208,tiingo
2025-09-12,AMGN,281.04,282.9399,276.07,276.39,270.5051194491,2143693,tiingo
2025-09-15,AMGN,276.07,277.24,271.61,274.4,268.5574904188,2563109,tiingo
2025-09-16,AMGN,275.89,277.59,271.725,273.085,267.2704893258,2157395,tiingo
2025-09-17,AMGN,274.14,277.8,273.0,274.71,268.860889916,1749080,tiingo
2025-09-18,AMGN,274.7,276.5,273.9701,275.83,269.9570429381,3322536,tiingo
2025-09-19,AMGN,278.64,286.148,277.37,285.41,279.3330661094,8735065,tiingo
2025-09-22,AMGN,284.13,287.2,281.7125,286.0,279.9105038621,3050778,tiingo
2025-09-23,AMGN,283.96,287.26,283.96,286.81,280.703257387,2342112,tiingo
2025-09-24,AMGN,285.47,286.7,278.0,279.22,273.2748632461,2374569,tiingo
2025-09-25,AMGN,279.0,281.05,270.64,271.18,265.4060504802,2802669,tiingo
2025-09-26,AMGN,274.34,275.5,269.77,272.98,267.16772498,1812192,tiingo
2025-09-29,AMGN,273.095,274.52,270.67,273.97,268.1366459549,1769344,tiingo
2025-09-30,AMGN,274.14,284.815,274.02,282.2,276.1914132514,3508730,tiingo
2025-10-01,AMGN,284.45,301.66,283.0,298.5,292.1443545554,4835353,tiingo
2025-10-02,AMGN,298.31,300.5,295.46,297.4,291.0677756944,2123343,tiingo
2025-10-03,AMGN,297.72,301.54,295.63,297.89,291.5473426416,2518707,tiingo
2025-10-06,AMGN,297.62,297.62,293.03,294.12,287.8576132725,1957330,tiingo
2025-10-07,AMGN,293.275,295.85,290.2101,295.54,289.2473787112,1504255,tiingo
2025-10-08,AMGN,295.79,297.625,292.285,294.62,288.3469673002,2940781,tiingo
2025-10-09,AMGN,294.13,296.63,293.7,295.43,289.1397208251,1369162,tiingo
2025-10-10,AMGN,296.16,297.0899,289.58,290.13,283.9525681312,2660454,tiingo
2025-10-13,AMGN,291.745,296.13,289.4414,292.405,286.1791289573,1838558,tiingo
2025-10-14,AMGN,291.745,296.87,290.97,293.85,287.5933620975,1975949,tiingo
2025-10-15,AMGN,292.815,298.21,292.43,297.32,290.9894790499,2502083,tiingo
2025-10-16,AMGN,298.07,302.265,294.44,295.81,289.5116298862,1715049,tiingo
2025-10-17,AMGN,295.24,299.37,293.14,298.81,292.4477540526,1959530,tiingo
2025-10-20,AMGN,299.48,303.66,297.75,303.33,296.8715144633,1613514,tiingo
2025-10-21,AMGN,302.6,303.85,298.03,301.14,294.7281438218,1533558,tiingo
2025-10-22,AMGN,301.29,302.815,295.6,295.98,289.6780102556,1698899,tiingo
