date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,EXC,45.21,46.19,44.69,46.0,43.9904054793,9451356,tiingo
2025-04-14,EXC,45.83,46.995,45.695,46.86,44.8128347991,8091540,tiingo
2025-04-15,EXC,46.53,47.09,46.43,46.74,44.6980772196,7445059,tiingo
2025-04-16,EXC,46.89,47.49,46.33,46.51,44.4781251922,8354160,tiingo
2025-04-17,EXC,46.88,47.925,46.72,47.26,45.1953600641,7496332,tiingo
2025-04-21,EXC,47.48,47.48,45.71,46.23,44.2103575067,6867977,tiingo
2025-04-22,EXC,46.75,47.525,46.585,47.37,45.300554512,7382051,tiingo
2025-04-23,EXC,46.94,47.24,46.24,46.8,44.7554560093,8389724,tiingo
2025-04-24,EXC,46.64,46.735,46.24,46.33,44.3059888229,6241652,tiingo
2025-04-25,EXC,46.33,46.395,45.9,46.22,44.200794375,6271451,tiingo
2025-04-28,EXC,46.38,46.635,45.83,46.48,44.4494357973,7142524,tiingo
2025-04-29,EXC,46.46,46.915,46.24,46.85,44.8032716675,4245143,tiingo
2025-04-30,EXC,47.05,47.25,46.11,46.9,44.8510873256,7678895,tiingo
2025-05-01,EXC,46.63,47.13,46.49,46.6,44.5641933768,5583156,tiingo
2025-05-02,EXC,46.91,46.95,46.08,46.48,44.4494357973,5880746,tiingo
2025-05-05,EXC,46.4,46.48,45.5595,46.0,43.9904054793,3902897,tiingo
2025-05-06,EXC,45.99,46.61,45.87,46.29,44.2677362964,6446667,tiingo
2025-05-07,EXC,46.335,46.735,46.16,46.34,44.3155519545,6131359,tiingo
2025-05-08,EXC,46.11,46.32,45.03,45.1,43.1297236329,6328901,tiingo
2025-05-09,EXC,45.15,45.325,44.8,45.21,43.2349180808,4695341,tiingo
2025-05-12,EXC,44.31,44.5,43.34,43.61,42.0873422857,9911028,tiingo
2025-05-13,EXC,43.59,43.77,42.895,42.97,41.4696880994,9604451,tiingo
2025-05-14,EXC,42.67,42.7199,41.705,42.25,40.7748271399,12273006,tiingo
2025-05-15,EXC,42.63,43.54,42.5034,43.43,41.9136270458,8463815,tiingo
2025-05-16,EXC,43.1,44.12,43.02,44.09,42.5505829254,7844097,tiingo
2025-05-19,EXC,43.87,44.43,43.66,44.39,42.8401083252,6429481,tiingo
2025-05-20,EXC,44.31,44.62,44.225,44.26,42.7146473186,6025603,tiingo
2025-05-21,EXC,44.14,44.47,44.01,44.19,42.647091392,6893480,tiingo
2025-05-22,EXC,44.14,44.17,43.17,43.42,41.9039761991,6790458,tiingo
2025-05-23,EXC,43.9,43.9,42.99,43.67,42.1452473657,9679465,tiingo
2025-05-27,EXC,43.83,44.15,43.525,43.91,42.3768676855,8395537,tiingo
2025-05-28,EXC,43.73,43.84,43.09,43.28,41.7688643459,4359167,tiingo
2025-05-29,EXC,43.12,43.83,43.01,43.7,42.1741999056,5312396,tiingo
2025-05-30,EXC,43.81,43.98,43.48,43.82,42.2900100656,20942227,tiingo
2025-06-02,EXC,43.58,43.81,43.27,43.79,42.2610575256,4312983,tiingo
2025-06-03,EXC,43.79,43.89,42.9,43.46,41.9425795858,7448071,tiingo
2025-06-04,EXC,43.46,43.52,42.73,42.75,41.2573694729,5537479,tiingo
2025-06-05,EXC,42.75,43.085,42.49,42.86,41.3635287862,5805177,tiingo
2025-06-06,EXC,42.95,43.03,42.36,42.62,41.1319084663,7264655,tiingo
2025-06-09,EXC,42.4,42.68,42.11,42.2,40.7265729066,8034397,tiingo
2025-06-10,EXC,42.28,42.92,42.145,42.92,41.4214338661,6366118,tiingo
2025-06-11,EXC,42.77,43.04,42.56,42.88,41.3828304795,6526354,tiingo
2025-06-12,EXC,43.03,43.74,43.0,43.64,42.1162948257,7719846,tiingo
2025-06-13,EXC,43.57,43.69,43.135,43.25,41.7399118059,5163867,tiingo
2025-06-16,EXC,43.25,43.49,42.441,42.68,41.1898135463,4796162,tiingo
2025-06-17,EXC,42.75,42.75,42.26,42.39,40.9099389931,3676742,tiingo
2025-06-18,EXC,42.51,42.55,42.1815,42.37,40.8906372998,4343242,tiingo
2025-06-20,EXC,42.52,42.87,42.3301,42.6,41.112606773,12634993,tiingo
2025-06-23,EXC,42.9,43.29,42.76,43.2,41.6916575726,5131452,tiingo
2025-06-24,EXC,43.05,43.3,42.86,43.1,41.595149106,4835567,tiingo
