date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,EA,139.39,143.44,137.935,142.93,142.1866914501,3116908,tiingo
2025-04-14,EA,143.16,146.21,142.506,145.5,144.7433261456,2600586,tiingo
2025-04-15,EA,145.66,146.29,144.49,145.61,144.8527540898,2277480,tiingo
2025-04-16,EA,145.49,145.78,142.69,142.97,142.2264834298,2215855,tiingo
2025-04-17,EA,143.27,146.09,142.97,145.61,144.8527540898,1761862,tiingo
2025-04-21,EA,145.02,145.02,141.04,141.93,141.1918919577,2712343,tiingo
2025-04-22,EA,144.1,146.755,143.38,145.87,145.1114019578,2361100,tiingo
2025-04-23,EA,146.09,146.47,142.83,143.73,142.982531044,2412022,tiingo
2025-04-24,EA,144.8,146.62,143.37,146.19,145.4297377954,2274743,tiingo
2025-04-25,EA,146.57,147.25,145.42,146.6,145.8376055873,1836660,tiingo
2025-04-28,EA,146.67,147.44,145.49,146.72,145.9569815264,2761820,tiingo
2025-04-29,EA,146.12,147.135,145.62,145.97,145.210881907,2233528,tiingo
2025-04-30,EA,145.49,146.05,143.45,145.09,144.3354583537,2802044,tiingo
2025-05-01,EA,145.18,146.93,143.98,145.1,144.3454063486,3328770,tiingo
2025-05-02,EA,149.0,154.915,147.85,151.1,150.3142033031,5109195,tiingo
2025-05-05,EA,151.33,155.34,150.72,154.74,153.9352734555,4308783,tiingo
2025-05-06,EA,152.845,155.77,152.26,154.54,153.736313557,3011753,tiingo
2025-05-07,EA,158.005,160.7037,153.6716,155.5,154.6913210697,5444708,tiingo
2025-05-08,EA,155.87,156.7,153.2,155.66,154.8504889885,3982804,tiingo
2025-05-09,EA,155.67,156.2,153.07,153.3,152.5027621864,2921878,tiingo
2025-05-12,EA,153.34,153.8,148.39,149.27,148.493720232,3736226,tiingo
2025-05-13,EA,148.23,150.365,148.23,149.06,148.2848123386,3582884,tiingo
2025-05-14,EA,148.07,148.96,146.53,147.23,146.4643292675,2759480,tiingo
2025-05-15,EA,147.74,150.62,147.63,149.57,148.7921600797,3711161,tiingo
2025-05-16,EA,149.79,151.73,149.2,151.54,150.7519150798,3934769,tiingo
2025-05-19,EA,149.7,152.205,149.04,150.48,149.6974276178,4010139,tiingo
2025-05-20,EA,150.62,151.94,149.97,151.92,151.1299388869,2172108,tiingo
2025-05-21,EA,150.72,151.52,150.31,150.5,149.7173236077,2880389,tiingo
2025-05-22,EA,151.16,151.41,146.47,146.63,145.867449572,4574625,tiingo
2025-05-23,EA,146.87,147.925,146.46,146.89,146.1260974401,2108705,tiingo
2025-05-27,EA,147.54,147.94,146.235,146.91,146.1459934299,4489658,tiingo
2025-05-28,EA,146.96,147.85,146.39,146.88,146.3051613487,2280566,tiingo
2025-05-29,EA,146.88,147.105,141.19,142.84,142.2809725425,3517092,tiingo
2025-05-30,EA,143.19,144.07,141.61,143.78,143.2172937004,5555324,tiingo
2025-06-02,EA,143.61,146.2,143.51,145.88,145.3090750105,3418176,tiingo
2025-06-03,EA,145.23,146.27,144.6671,146.24,145.6676660923,2863817,tiingo
2025-06-04,EA,146.06,148.95,145.7301,148.46,147.878977763,2928015,tiingo
2025-06-05,EA,148.9,148.97,146.87,147.88,147.3012476869,2610254,tiingo
2025-06-06,EA,148.17,150.92,148.0,149.57,148.9846335983,2783787,tiingo
2025-06-09,EA,149.01,149.44,146.025,146.92,146.3450048022,3042708,tiingo
2025-06-10,EA,147.05,148.0,145.7,147.16,146.5840655234,4231274,tiingo
2025-06-11,EA,147.0,147.71,145.545,147.68,147.1020304192,1749588,tiingo
2025-06-12,EA,147.63,150.08,147.33,150.05,149.4627550407,1926340,tiingo
2025-06-13,EA,149.05,150.3,148.29,148.48,147.8988994897,1703905,tiingo
