date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,WDAY,230.0,234.265,227.87,232.34,232.34,2579150,tiingo
2025-04-15,WDAY,233.0,235.96,228.1308,233.32,233.32,1467179,tiingo
2025-04-16,WDAY,232.16,235.0,224.3,227.71,227.71,1961949,tiingo
2025-04-17,WDAY,228.09,228.595,220.28,221.02,221.02,1894925,tiingo
2025-04-21,WDAY,218.91,218.91,210.75,214.1,214.1,2125518,tiingo
2025-04-22,WDAY,215.67,221.59,215.0,220.99,220.99,1959091,tiingo
2025-04-23,WDAY,226.0,230.76,223.72,224.87,224.87,1655915,tiingo
2025-04-24,WDAY,227.84,237.53,227.55,236.87,236.87,1685555,tiingo
2025-04-25,WDAY,236.86,239.81,235.79,239.53,239.53,1103399,tiingo
2025-04-28,WDAY,239.36,241.31,236.995,239.82,239.82,898523,tiingo
2025-04-29,WDAY,239.82,244.235,238.25,243.39,243.39,1135000,tiingo
2025-04-30,WDAY,241.84,245.52,238.73,245.0,245.0,1434472,tiingo
2025-05-01,WDAY,247.05,250.3732,245.65,246.61,246.61,1531801,tiingo
2025-05-02,WDAY,249.95,251.165,248.0,248.68,248.68,1302175,tiingo
2025-05-05,WDAY,247.86,251.75,247.2378,248.34,248.34,808261,tiingo
2025-05-06,WDAY,246.66,250.77,245.766,247.79,247.79,905128,tiingo
2025-05-07,WDAY,248.36,251.22,245.95,250.58,250.58,1117888,tiingo
2025-05-08,WDAY,252.41,260.34,251.76,257.98,257.98,1804498,tiingo
2025-05-09,WDAY,258.53,260.0,256.36,259.18,259.18,1325422,tiingo
2025-05-12,WDAY,265.64,266.86,260.93,266.57,266.57,2062261,tiingo
2025-05-13,WDAY,266.76,270.69,266.04,270.02,270.02,1470926,tiingo
2025-05-14,WDAY,268.8,271.66,268.5901,271.17,271.17,1225267,tiingo
2025-05-15,WDAY,271.17,276.0,270.58,274.71,274.71,1699395,tiingo
2025-05-16,WDAY,273.77,274.26,271.53,273.05,273.05,2328982,tiingo
2025-05-19,WDAY,270.57,274.01,268.84,273.3,273.3,1553644,tiingo
2025-05-20,WDAY,271.56,274.65,270.21,273.84,273.84,1354910,tiingo
2025-05-21,WDAY,270.63,274.11,268.22,268.54,268.54,1590526,tiingo
2025-05-22,WDAY,268.45,273.8,267.565,272.07,272.07,4188295,tiingo
2025-05-23,WDAY,241.595,247.47,237.0,238.01,238.01,9914999,tiingo
2025-05-27,WDAY,241.23,242.845,238.25,239.3,239.3,4740683,tiingo
2025-05-28,WDAY,239.18,242.94,237.88,239.9,239.9,2721664,tiingo
2025-05-29,WDAY,241.155,243.91,239.52,241.76,241.76,2991353,tiingo
2025-05-30,WDAY,241.31,248.88,241.2,247.71,247.71,3491558,tiingo
2025-06-02,WDAY,246.265,248.74,243.5,247.75,247.75,2034574,tiingo
2025-06-03,WDAY,247.75,251.42,245.94,251.12,251.12,1528667,tiingo
2025-06-04,WDAY,250.74,253.0,248.945,249.48,249.48,1262469,tiingo
2025-06-05,WDAY,249.48,250.82,246.72,250.1,250.1,1736720,tiingo
2025-06-06,WDAY,251.66,253.78,250.15,252.72,252.72,1393177,tiingo
2025-06-09,WDAY,252.72,253.43,250.54,252.9,252.9,1225350,tiingo
2025-06-10,WDAY,252.74,257.09,252.29,252.73,252.73,1894927,tiingo
2025-06-11,WDAY,253.57,256.425,250.5,251.36,251.36,1680196,tiingo
2025-06-12,WDAY,251.93,253.5377,250.08,250.69,250.69,1965806,tiingo
2025-06-13,WDAY,247.41,249.67,243.99,244.54,244.54,2199298,tiingo
2025-06-16,WDAY,245.97,247.79,243.62,245.65,245.65,1825699,tiingo
2025-06-17,WDAY,245.65,246.53,242.38,242.7,242.7,1818620,tiingo
2025-06-18,WDAY,242.465,243.48,236.44,236.88,236.88,2473058,tiingo
2025-06-20,WDAY,238.66,241.33,237.26,238.19,238.19,5155642,tiingo
2025-06-23,WDAY,236.89,238.385,234.13,236.58,236.58,1750946,tiingo
2025-06-24,WDAY,240.0,240.39,237.5725,239.19,239.19,2478178,tiingo
