date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,MSFT,393.22,394.65,384.21,387.81,384.018357801,19251172,tiingo
2025-04-15,MSFT,388.505,391.89,384.1599,385.73,381.9586940889,17199890,tiingo
2025-04-16,MSFT,380.67,381.61,368.0,371.61,367.9767461965,21967826,tiingo
2025-04-17,MSFT,373.745,374.3215,366.89,367.78,364.1841923418,21120192,tiingo
2025-04-21,MSFT,362.815,364.48,355.67,359.12,355.6088616939,20807279,tiingo
2025-04-22,MSFT,363.375,367.77,359.8602,366.82,363.2335783208,19484993,tiingo
2025-04-23,MSFT,376.06,380.39,373.02,374.39,370.7295659656,20545526,tiingo
2025-04-24,MSFT,375.695,388.45,375.19,387.3,383.5133441024,22232289,tiingo
2025-04-25,MSFT,387.0,392.16,384.6,391.85,388.0188584728,18973165,tiingo
2025-04-28,MSFT,391.955,392.74,386.638,391.16,387.3356046452,16579430,tiingo
2025-04-29,MSFT,391.3,395.1,390.38,394.04,390.1874467082,14973976,tiingo
2025-04-30,MSFT,390.3,396.66,384.44,395.26,391.3955186933,36461075,tiingo
2025-05-01,MSFT,431.11,436.99,424.9,425.4,421.2408380613,58938100,tiingo
2025-05-02,MSFT,431.74,439.44,429.985,435.28,431.0242406943,30757434,tiingo
2025-05-05,MSFT,432.87,439.5,432.11,436.17,431.9055391096,20136053,tiingo
2025-05-06,MSFT,432.2,437.73,431.17,433.31,429.0735015053,15104204,tiingo
2025-05-07,MSFT,433.84,438.12,431.1103,433.35,429.1131104228,23307241,tiingo
2025-05-08,MSFT,437.93,443.67,435.66,438.17,433.8859849867,23491330,tiingo
2025-05-09,MSFT,440.0,440.74,435.88,438.73,434.4405098323,15324233,tiingo
2025-05-12,MSFT,445.94,449.37,439.78,449.26,444.8675573753,22821935,tiingo
2025-05-13,MSFT,447.78,450.6733,445.36,449.14,444.7487306226,23618819,tiingo
2025-05-14,MSFT,448.14,453.9,448.14,452.94,448.5115777891,19902796,tiingo
2025-05-15,MSFT,450.765,456.19,450.4301,453.13,449.5216051865,21992323,tiingo
2025-05-16,MSFT,452.05,454.36,448.73,454.27,450.652527063,23849781,tiingo
2025-05-19,MSFT,450.875,459.585,450.8,458.87,455.2158960385,21336509,tiingo
2025-05-20,MSFT,455.59,458.34,454.3201,458.17,454.5214703248,15441808,tiingo
2025-05-21,MSFT,454.57,457.78,451.814,452.57,448.9660646155,19216906,tiingo
2025-05-22,MSFT,454.95,460.25,453.9,454.86,451.2378287359,18025612,tiingo
2025-05-23,MSFT,449.98,453.69,448.91,450.18,446.5950968218,16883509,tiingo
2025-05-27,MSFT,456.48,460.95,456.115,460.69,457.021402894,20974293,tiingo
2025-05-28,MSFT,461.22,462.52,456.93,457.36,453.7179205704,17086261,tiingo
2025-05-29,MSFT,461.55,461.72,455.3105,458.68,455.0274090591,13982211,tiingo
2025-05-30,MSFT,459.72,461.67999,455.54001,460.35999,460.35999,34770500,twelve_data
