date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,LITE,53.29,53.8299,50.63,51.27,51.27,4624183,tiingo
2025-04-14,LITE,54.92,55.65,51.41,52.36,52.36,3458967,tiingo
2025-04-15,LITE,52.6,54.1529,52.5743,52.69,52.69,1897029,tiingo
2025-04-16,LITE,50.25,52.62,50.25,52.21,52.21,2058879,tiingo
2025-04-17,LITE,52.25,52.455,50.69,52.0,52.0,1094101,tiingo
2025-04-21,LITE,50.27,50.6931,49.13,50.07,50.07,1474068,tiingo
2025-04-22,LITE,51.35,52.3899,50.46,51.64,51.64,1504146,tiingo
2025-04-23,LITE,55.025,60.28,55.025,55.17,55.17,2604021,tiingo
2025-04-24,LITE,55.285,59.195,55.0,58.77,58.77,2235980,tiingo
2025-04-25,LITE,58.82,61.1,57.88,60.0,60.0,1466997,tiingo
2025-04-28,LITE,59.58,60.76,58.86,60.08,60.08,1771308,tiingo
2025-04-29,LITE,59.76,60.82,59.24,59.96,59.96,1048005,tiingo
2025-04-30,LITE,57.49,59.25,56.8,59.04,59.04,1611212,tiingo
2025-05-01,LITE,61.865,64.41,61.45,61.52,61.52,2560469,tiingo
2025-05-02,LITE,63.35,64.59,62.305,62.86,62.86,2509471,tiingo
2025-05-05,LITE,61.49,63.83,61.49,63.17,63.17,1819982,tiingo
2025-05-06,LITE,60.87,64.6,60.5,64.42,64.42,4884607,tiingo
2025-05-07,LITE,66.17,67.06,60.38,66.24,66.24,5554591,tiingo
2025-05-08,LITE,67.815,68.25,64.89,65.66,65.66,4051990,tiingo
2025-05-09,LITE,66.07,66.83,63.98,64.87,64.87,2324314,tiingo
2025-05-12,LITE,70.75,72.15,69.26,71.73,71.73,3730073,tiingo
2025-05-13,LITE,71.8,75.25,71.375,74.51,74.51,2888007,tiingo
2025-05-14,LITE,74.94,78.6,74.82,78.29,78.29,4938323,tiingo
2025-05-15,LITE,76.87,79.0,76.55,77.76,77.76,2523974,tiingo
2025-05-16,LITE,77.98,78.93,75.76,77.95,77.95,2352670,tiingo
2025-05-19,LITE,75.88,77.95,75.75,77.87,77.87,1178277,tiingo
2025-05-20,LITE,77.02,77.43,76.28,77.11,77.11,1028381,tiingo
2025-05-21,LITE,76.93,78.49,75.18,75.95,75.95,1718973,tiingo
2025-05-22,LITE,75.7,76.9,75.29,75.88,75.88,1237269,tiingo
2025-05-23,LITE,73.89,75.9,73.59,75.77,75.77,1133215,tiingo
2025-05-27,LITE,77.395,79.68,76.68,78.37,78.37,1438625,tiingo
2025-05-28,LITE,78.64,79.2,76.875,77.9,77.9,1531254,tiingo
2025-05-29,LITE,80.0,80.0,75.12,75.41,75.41,1750124,tiingo
2025-05-30,LITE,74.06,74.49,71.04,72.28,72.28,3313876,tiingo
2025-06-02,LITE,73.0,76.26,72.29,75.86,75.86,1800604,tiingo
2025-06-03,LITE,76.12,79.35,75.62,77.65,77.65,1851083,tiingo
2025-06-04,LITE,83.755,84.0389,79.495,80.28,80.28,4865066,tiingo
2025-06-05,LITE,82.01,84.99,81.1045,81.64,81.64,3464178,tiingo
2025-06-06,LITE,83.0,83.45,80.435,81.46,81.46,1694845,tiingo
2025-06-09,LITE,82.27,83.37,80.6645,82.11,82.11,1273953,tiingo
2025-06-10,LITE,83.74,83.74,80.39,81.96,81.96,2069118,tiingo
2025-06-11,LITE,83.67,84.2,81.04,82.36,82.36,1799952,tiingo
2025-06-12,LITE,82.35,86.42,82.0,85.5,85.5,1997168,tiingo
2025-06-13,LITE,83.2,84.5,81.93,82.465,82.465,1667313,tiingo
2025-06-16,LITE,83.42,88.21,83.42,85.78,85.78,2361119,tiingo
2025-06-17,LITE,84.64,87.13,83.59,86.345,86.345,1870621,tiingo
2025-06-18,LITE,87.35,90.2,86.5746,88.46,88.46,2434918,tiingo
2025-06-20,LITE,90.345,90.65,88.0818,89.66,89.66,2105111,tiingo
2025-06-23,LITE,88.88,89.89,86.63,89.16,89.16,1537467,tiingo
2025-06-24,LITE,90.26,92.525,89.61,91.81,91.81,2091108,tiingo
2025-06-25,LITE,92.93,93.36,91.225,91.77,91.77,1381456,tiingo
2025-06-26,LITE,92.53,94.94,92.4,94.71,94.71,1709082,tiingo
2025-06-27,LITE,94.695,95.4299,92.77,94.75,94.75,2785251,tiingo
2025-06-30,LITE,95.0,96.68,94.26,95.06,95.06,2980461,tiingo
2025-07-01,LITE,92.97,93.61,88.74,91.49,91.49,2937934,tiingo
2025-07-02,LITE,90.14,91.29,88.37,91.24,91.24,3004630,tiingo
2025-07-03,LITE,91.14,93.675,90.965,92.75,92.75,1019464,tiingo
2025-07-07,LITE,91.66,92.475,89.82,91.08,91.08,1561252,tiingo
2025-07-08,LITE,92.9,94.08,90.66,91.31,91.31,1714750,tiingo
2025-07-09,LITE,91.46,91.765,89.016,90.44,90.44,2333878,tiingo
2025-07-10,LITE,90.795,92.78,88.93,92.62,92.62,2149321,tiingo
2025-07-11,LITE,92.19,94.15,91.925,92.99,92.99,1403220,tiingo
2025-07-14,LITE,92.75,93.86,90.98,92.24,92.24,1840776,tiingo
2025-07-15,LITE,95.85,98.55,94.321,98.14,98.14,3303475,tiingo
2025-07-16,LITE,98.1,99.68,95.18,99.63,99.63,2048955,tiingo
2025-07-17,LITE,99.63,103.02,99.29,102.64,102.64,2921879,tiingo
2025-07-18,LITE,103.49,103.9,100.41,102.22,102.22,1800633,tiingo
2025-07-21,LITE,102.22,105.47,100.53,103.84,103.84,3612152,tiingo
2025-07-22,LITE,103.13,103.48,97.5514,99.63,99.63,3131157,tiingo
2025-07-23,LITE,101.6696,104.61,99.92,102.13,102.13,2827329,tiingo
2025-07-24,LITE,102.52,103.65,101.8,102.85,102.85,1186609,tiingo
