date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,NVDA,108.5,111.5499,107.48,110.93,110.7773090835,313417265,tiingo
2025-04-14,NVDA,114.11,114.29,109.07,110.71,110.5576119051,264705049,tiingo
2025-04-15,NVDA,110.97,113.615,110.5,112.2,112.0455609769,228966900,tiingo
2025-04-16,NVDA,104.55,106.79,100.45,104.49,104.346173498,397016870,tiingo
2025-04-17,NVDA,104.45,104.47,100.05,101.49,101.3503028836,292517465,tiingo
2025-04-21,NVDA,98.77,99.44,95.04,96.91,96.776607079,288501136,tiingo
2025-04-22,NVDA,98.78,99.811,97.28,98.89,98.7538816845,241004784,tiingo
2025-04-23,NVDA,104.52,104.8,102.02,102.71,102.5686236001,247525971,tiingo
2025-04-24,NVDA,103.475,106.54,103.11,106.43,106.2835031619,220815041,tiingo
2025-04-25,NVDA,106.85,111.92,105.73,111.01,110.8571989665,251064672,tiingo
2025-04-28,NVDA,109.69,110.3699,106.02,108.73,108.5803372996,207708479,tiingo
2025-04-29,NVDA,107.67,110.1999,107.44,109.02,108.8699381257,170444263,tiingo
2025-04-30,NVDA,104.47,108.92,104.08,108.92,108.7700757718,235044611,tiingo
2025-05-01,NVDA,113.08,114.94,111.3,111.61,111.4563730894,236121507,tiingo
2025-05-02,NVDA,114.18,115.4,113.37,114.5,114.3423951145,190194778,tiingo
2025-05-05,NVDA,112.905,114.665,112.66,113.82,113.6633311086,133163241,tiingo
2025-05-06,NVDA,111.48,114.74,110.822,113.54,113.383716518,158525621,tiingo
2025-05-07,NVDA,113.045,117.68,112.2818,117.06,116.8988713721,207827821,tiingo
2025-05-08,NVDA,118.25,118.68,115.85,117.37,117.2084446689,198428122,tiingo
2025-05-09,NVDA,117.35,118.23,115.21,116.65,116.4894357215,132972189,tiingo
2025-05-12,NVDA,121.97,123.0,120.28,123.0,122.8306951886,225023345,tiingo
2025-05-13,NVDA,124.98,131.2189,124.47,129.93,129.7511563077,330430105,tiingo
2025-05-14,NVDA,133.195,135.435,131.68,135.34,135.1537096489,281180830,tiingo
2025-05-15,NVDA,134.295,136.3,132.66,134.83,134.6444116445,226632563,tiingo
2025-05-16,NVDA,136.22,136.35,133.46,135.4,135.2136270612,226542451,tiingo
2025-05-19,NVDA,132.39,135.87,132.39,135.57,135.3833930627,193154571,tiingo
2025-05-20,NVDA,134.29,134.58,132.62,134.38,134.1950310523,161514247,tiingo
2025-05-21,NVDA,133.06,137.4,130.59,131.8,131.618582324,270608738,tiingo
2025-05-22,NVDA,132.23,134.25,131.55,132.83,132.6471645683,187343954,tiingo
2025-05-23,NVDA,130.0,132.68,129.16,131.29,131.1092843196,198821324,tiingo
2025-05-27,NVDA,134.15,135.66,133.31,135.5,135.313489415,192953613,tiingo
2025-05-28,NVDA,136.025,137.25,134.79,134.81,134.6244391737,304021146,tiingo
2025-05-29,NVDA,142.245,143.49,137.91,139.19,138.9984102707,370615167,tiingo
2025-05-30,NVDA,138.72,139.62,132.92,135.13,135.13,333170900,twelve_data
2025-06-02,NVDA,135.49,138.12,135.4,137.38,137.1909016667,197663116,tiingo
2025-06-03,NVDA,138.78,142.0,137.95,141.22,141.0256160531,225578783,tiingo
2025-06-04,NVDA,142.19,142.39,139.545,141.92,141.7246525298,167120819,tiingo
2025-06-05,NVDA,142.17,144.0,138.83,139.99,139.7973091012,232410759,tiingo
2025-06-06,NVDA,142.51,143.27,141.51,141.72,141.5249278221,153986153,tiingo
2025-06-09,NVDA,143.19,145.0,141.94,142.63,142.4336752418,185114494,tiingo
2025-06-10,NVDA,142.69,144.29,141.525,143.96,143.7618445475,155881897,tiingo
2025-06-11,NVDA,144.61,144.99,141.87,142.83,142.6433861848,167694044,tiingo
2025-06-12,NVDA,141.97,145.0,141.85,145.0,144.8105509823,162364991,tiingo
2025-06-13,NVDA,142.48,143.58,140.855,141.97,141.7845098135,180820565,tiingo
2025-06-16,NVDA,143.35001,146.17999,143.2,144.69,144.69,183133700,twelve_data
2025-06-17,NVDA,144.49001,145.22,143.78,144.12,144.12,139108000,twelve_data
2025-06-18,NVDA,144.005,145.65,143.12,145.48,145.2899238407,161494121,tiingo
2025-06-20,NVDA,145.45,146.2,142.65,143.85,143.662053509,242956157,tiingo
2025-06-23,NVDA,142.5,144.78,142.03,144.17,143.9816354146,154308941,tiingo
2025-06-24,NVDA,145.56,147.96,145.5,147.9,147.7067620019,187566121,tiingo
2025-06-25,NVDA,149.27,154.45,149.25999,154.31,154.31,269146500,twelve_data
2025-06-26,NVDA,155.975,156.715,154.0,155.02,154.8174594019,198145746,tiingo
2025-06-27,NVDA,156.039993,158.71001,155.25999,157.75,157.75,263234500,twelve_data
2025-06-30,NVDA,158.39999,158.66,155.96001,157.99001,157.99001,194580300,twelve_data
2025-07-01,NVDA,156.29,157.2,151.49,153.3,153.0997066592,213143621,tiingo
2025-07-02,NVDA,152.98,157.60001,152.97,157.25,157.25,171224100,twelve_data
2025-07-03,NVDA,158.37,160.98,157.77,159.34,159.34,143716100,twelve_data
2025-07-07,NVDA,158.2,159.31,157.342,158.24,158.0332523271,140138975,tiingo
2025-07-08,NVDA,159.33,160.22,158.39,160.0,159.790952808,138133025,tiingo
2025-07-09,NVDA,161.22,164.42,161.16,162.88,162.6671899586,183656443,tiingo
2025-07-10,NVDA,164.32,164.5,161.61,164.1,163.8855959737,167704075,tiingo
2025-07-11,NVDA,163.715,167.89,163.47,164.92,164.7045246069,193633263,tiingo
2025-07-14,NVDA,165.37,165.49,162.02,164.07,163.8556351701,136975754,tiingo
2025-07-15,NVDA,171.19,172.39999,169.2,170.7,170.7,230627400,twelve_data
2025-07-16,NVDA,171.059998,171.75,168.89999,171.37,171.37,158831500,twelve_data
2025-07-17,NVDA,172.020004,174.16,170.83,173.0,173.0,160841100,twelve_data
2025-07-18,NVDA,173.64,174.25,171.25999,172.41,172.41,146456400,twelve_data
2025-07-21,NVDA,172.75,173.38,171.0,171.38,171.38,123126100,twelve_data
2025-07-22,NVDA,171.34,171.39,164.58,167.03,166.811767797,193114327,tiingo
2025-07-23,NVDA,169.53,171.26,167.97,170.78,170.5568682535,154082197,tiingo
2025-07-24,NVDA,172.44,173.83,171.3,173.74,173.5130008804,128984628,tiingo
2025-07-25,NVDA,173.61,174.72,172.96001,173.5,173.5,122316800,twelve_data
2025-07-28,NVDA,174.02,177.0,173.97,176.75,176.5190681801,140023521,tiingo
2025-07-29,NVDA,177.96001,179.38,175.020004,175.50999,175.50999,154077500,twelve_data
2025-07-30,NVDA,176.50999,179.89,176.039993,179.27,179.27,174312200,twelve_data
2025-07-31,NVDA,182.89999,183.3,175.92999,177.87,177.87,221685400,twelve_data
2025-08-01,NVDA,174.089996,176.53999,170.89,173.72,173.72,204529000,twelve_data
2025-08-04,NVDA,175.16,180.2,174.52,180.0,180.0,148174600,twelve_data
2025-08-05,NVDA,179.62,180.25999,175.89999,178.25999,178.25999,156407600,twelve_data
2025-08-06,NVDA,176.33,179.89999,176.25,179.42,179.42,137192300,twelve_data
2025-08-07,NVDA,181.57,183.88,178.795,180.77,180.5338158694,151878365,tiingo
2025-08-08,NVDA,181.55,183.3,180.4,182.7,182.4612942377,123396679,tiingo
2025-08-11,NVDA,182.050003,183.84,180.25,182.059998,182.059998,138323200,twelve_data
2025-08-12,NVDA,182.96001,184.48,179.46001,183.16,183.16,145485700,twelve_data
2025-08-13,NVDA,182.615,183.97,179.35,181.59,181.3527445026,179871724,tiingo
2025-08-14,NVDA,179.75,183.020004,179.46001,182.020004,182.020004,129554000,twelve_data
2025-08-15,NVDA,181.88,181.9,178.0417,180.45,180.2142339638,156602161,tiingo
2025-08-18,NVDA,180.60001,182.94,180.59,182.0099945,182.0099945,132008000,twelve_data
2025-08-19,NVDA,182.43,182.5,175.49,175.64,175.410518445,185229219,tiingo
2025-08-20,NVDA,175.165,176.0,168.801,175.4,175.1708320158,215142725,tiingo
2025-08-21,NVDA,174.85,176.9,173.81,174.98,174.7513807647,140040850,tiingo
2025-08-22,NVDA,172.61,178.59,171.2,177.99,177.7574480644,172789427,tiingo
2025-08-25,NVDA,178.35001,181.91,176.57001,179.81,179.81,163012800,twelve_data
2025-08-26,NVDA,180.055,182.39,178.81,181.77,181.5325093245,168688186,tiingo
2025-08-27,NVDA,181.98,182.49,179.1,181.6,181.3627314371,235518949,tiingo
2025-08-28,NVDA,180.82,184.47,176.41,180.17,179.9345997964,281787824,tiingo
2025-08-29,NVDA,178.11,178.15,173.145,174.18,173.9524260006,243257873,tiingo
2025-09-02,NVDA,170.0,172.38,167.22,170.78,170.78,231164900,twelve_data
2025-09-03,NVDA,171.06,172.41,168.875,170.62,170.3970773007,161466040,tiingo
2025-09-04,NVDA,170.57001,171.86,169.41,171.66,171.66,141670100,twelve_data
2025-09-05,NVDA,168.03,169.03,164.07,167.02,166.8017808625,224441435,tiingo
2025-09-08,NVDA,167.55,170.96001,167.35001,168.31,168.31,163769100,twelve_data
2025-09-09,NVDA,169.09,170.98,166.7401,170.76,170.5368943844,157548392,tiingo
2025-09-10,NVDA,176.64,179.29,175.47,177.33,177.0983103841,226852020,tiingo
2025-09-11,NVDA,179.68,180.28,176.48,177.17,176.9485063658,151159274,tiingo
2025-09-12,NVDA,177.77,178.60001,176.45,177.82001,177.82001,124911000,twelve_data
2025-09-15,NVDA,175.67,178.85001,174.50999,177.75,177.75,147061600,twelve_data
2025-09-16,NVDA,177.0,177.5,174.38,174.88,174.6613692682,140737775,tiingo
2025-09-17,NVDA,172.64,173.2,168.41,170.29,170.0771075748,211843817,tiingo
2025-09-18,NVDA,173.98,177.10001,172.96001,176.24001,176.24001,191763300,twelve_data
2025-09-19,NVDA,175.77,178.080002,175.17999,176.67,176.67,237182100,twelve_data
2025-09-22,NVDA,175.3,184.55,174.7053,183.61,183.3804552341,269637001,tiingo
2025-09-23,NVDA,181.97,182.42,176.21001,178.42999,178.42999,192559600,twelve_data
2025-09-24,NVDA,179.77,179.78,175.39999,176.97,176.97,143564100,twelve_data
2025-09-25,NVDA,174.48,180.25999,173.13,177.69,177.69,191586700,twelve_data
2025-09-26,NVDA,178.17,179.77,174.93,178.19,177.9672311865,148573732,tiingo
2025-09-29,NVDA,180.425,184.0,180.32,181.85,181.6226555434,193063455,tiingo
2025-09-30,NVDA,182.08,187.35,181.48,186.58,186.3467422122,236981032,tiingo
2025-10-01,NVDA,185.24,188.14,183.9,187.24,187.0059170962,173844901,tiingo
2025-10-02,NVDA,189.6,191.05,188.06,188.89,188.6538543062,136805821,tiingo
2025-10-03,NVDA,189.19,190.36,185.38,187.62,187.62,137596900,twelve_data
2025-10-06,NVDA,185.5,187.23,183.33,185.53999,185.53999,157678100,twelve_data
2025-10-07,NVDA,186.23,189.059998,184.0,185.039993,185.039993,140088000,twelve_data
2025-10-08,NVDA,186.57001,189.60001,186.53999,189.11,189.11,130168900,twelve_data
2025-10-09,NVDA,192.225,195.3,191.06,192.57,192.3292536595,182997234,tiingo
2025-10-10,NVDA,193.50999,195.62,182.050003,183.16,183.16,268774400,twelve_data
2025-10-13,NVDA,187.965,190.1099,185.96,188.32,188.0845669064,153482755,tiingo
2025-10-14,NVDA,184.77,184.8,179.7,180.029999,180.029999,205641400,twelve_data
2025-10-15,NVDA,184.8,184.87,177.28999,179.83,179.83,214450500,twelve_data
2025-10-16,NVDA,182.23,183.28,179.77,181.81,181.5827055504,179723309,tiingo
2025-10-17,NVDA,180.18,184.1,179.75,183.22,182.9909428026,173135217,tiingo
2025-10-20,NVDA,183.13,185.2,181.73,182.64,182.64,128544700,twelve_data
2025-10-21,NVDA,182.78999,182.78999,179.8,181.16,181.16,124240200,twelve_data
2025-10-22,NVDA,181.14,183.44,176.75999,180.28,180.28,162249600,twelve_data
2025-10-23,NVDA,180.42,183.029999,179.78999,182.16,182.16,111363700,twelve_data
2025-10-24,NVDA,183.84,187.47,183.5,186.25999,186.25999,131296700,twelve_data
2025-10-27,NVDA,189.99,192.0,188.4318,191.49,191.2506038493,153452704,tiingo
2025-10-28,NVDA,193.050003,203.14999,191.91,201.029999,201.029999,297986200,twelve_data
2025-10-29,NVDA,207.98,212.1899,204.775,207.04,206.7811636167,308829564,tiingo
2025-10-30,NVDA,205.15,206.16,201.41,202.89,202.636351846,178864443,tiingo
2025-10-31,NVDA,206.45,207.97,202.070007,202.49001,202.49001,179802200,twelve_data
2025-11-03,NVDA,208.080002,211.34,205.56,206.88,206.88,180267300,twelve_data
2025-11-04,NVDA,203.0,203.9699,197.93,198.69,198.4416025841,188919320,tiingo
2025-11-05,NVDA,198.77,202.92,194.64999,195.21001,195.21001,171350300,twelve_data
2025-11-06,NVDA,196.42,197.62,186.38,188.08,187.8448669486,223029778,tiingo
2025-11-07,NVDA,184.9,188.32,178.91,188.15,187.9147794363,264942255,tiingo
2025-11-10,NVDA,195.11,199.94,193.78999,199.050003,199.050003,198897100,twelve_data
2025-11-11,NVDA,195.155,195.42,191.3,193.16,192.9185160559,176483327,tiingo
2025-11-12,NVDA,195.72,195.89,191.13,193.8,193.5577159434,154935263,tiingo
2025-11-13,NVDA,191.050003,191.44,183.85001,186.86,186.86,207423100,twelve_data
2025-11-14,NVDA,182.86,191.01,180.58,190.17,189.9322540813,186591856,tiingo
2025-11-17,NVDA,185.965,189.0,184.32,186.6,186.3667172087,173628858,tiingo
2025-11-18,NVDA,183.375,184.8,179.65,181.36,181.1332681295,213598877,tiingo
2025-11-19,NVDA,184.78999,187.86,182.83,186.52,186.52,247246400,twelve_data
2025-11-20,NVDA,195.95,196.0,179.85,180.64,180.414168256,343504849,tiingo
2025-11-21,NVDA,181.235,184.56,172.93,178.88,178.6563685653,346926153,tiingo
2025-11-24,NVDA,179.49,183.5,176.48,182.55,182.3217804204,256618335,tiingo
2025-11-25,NVDA,174.91,178.16,169.55,177.82001,177.82001,320600300,twelve_data
2025-11-26,NVDA,181.63,182.91,178.24001,180.25999,180.25999,183852000,twelve_data
2025-11-28,NVDA,179.0099945,179.28999,176.5,177.0,177.0,121332800,twelve_data
2025-12-01,NVDA,174.76,180.3,173.68,179.92,179.6950683825,188130955,tiingo
2025-12-02,NVDA,181.75999,185.66,180.0,181.46001,181.46001,182632200,twelve_data
2025-12-03,NVDA,181.080002,182.45,179.11,179.59,179.59,165138000,twelve_data
2025-12-04,NVDA,181.62,184.52,179.96001,183.38,183.38,167364900,twelve_data
2025-12-05,NVDA,183.89,184.66,180.91,182.41,182.41,143971100,twelve_data
2025-12-08,NVDA,182.64,188.0,182.39999,185.55,185.55,204378100,twelve_data
2025-12-09,NVDA,185.56,185.72,183.32001,184.97,184.97,144719700,twelve_data
2025-12-10,NVDA,184.97,185.48,182.039993,183.78,183.78,162785400,twelve_data
2025-12-11,NVDA,180.28,181.32001,176.62,180.92999,180.92999,182136600,twelve_data
2025-12-12,NVDA,181.11,182.82,174.62,175.02,174.8107264278,204274918,tiingo
2025-12-15,NVDA,177.936,178.415,175.03,176.29,176.0792078732,164775636,tiingo
2025-12-16,NVDA,176.25999,178.49001,174.89999,177.72,177.72,148588100,twelve_data
2025-12-17,NVDA,176.10001,176.13,170.31,170.94,170.94,222775500,twelve_data
2025-12-18,NVDA,174.53,176.14999,171.82001,174.14,174.14,176096000,twelve_data
2025-12-19,NVDA,176.665,181.45,176.34,180.99,180.7735880252,324925927,tiingo
2025-12-22,NVDA,183.92,184.16,182.35001,183.69,183.69,129064400,twelve_data
2025-12-23,NVDA,182.97,189.33,182.9,189.21,188.9837592699,174873621,tiingo
2025-12-24,NVDA,187.94,188.91,186.59,188.61,188.61,65528500,twelve_data
2025-12-26,NVDA,189.92,192.69,188.0,190.53,190.3021809296,139740292,tiingo
2025-12-29,NVDA,187.71,188.755,185.91,188.22,187.9949430251,120006103,tiingo
2025-12-30,NVDA,188.24001,188.99001,186.92999,187.53999,187.53999,97687300,twelve_data
2025-12-31,NVDA,189.57,190.56,186.49,186.5,186.2769996503,120100484,tiingo
2026-01-02,NVDA,189.84,192.92999,188.25999,188.85001,188.85001,148240500,twelve_data
2026-01-05,NVDA,191.75999,193.63,186.14999,188.12,188.12,183529700,twelve_data
2026-01-06,NVDA,190.52,192.17,186.82001,187.24001,187.24001,176862600,twelve_data
2026-01-07,NVDA,188.57001,191.37,186.56,189.11,189.11,153543200,twelve_data
2026-01-08,NVDA,189.11,189.55,183.71001,185.039993,185.039993,172457000,twelve_data
2026-01-09,NVDA,185.080002,186.34,183.67,184.86,184.86,131327500,twelve_data
2026-01-12,NVDA,183.22,187.12,183.020004,184.94,184.94,137968500,twelve_data
2026-01-13,NVDA,184.995,188.1099,183.4,185.81,185.5878246918,160128939,tiingo
2026-01-14,NVDA,184.32,184.46,180.8,183.14,182.9210172437,159586135,tiingo
2026-01-15,NVDA,186.5,189.7,186.33,187.05,186.8263420085,206188642,tiingo
2026-01-16,NVDA,189.080002,190.44,186.080002,186.23,186.23,187967200,twelve_data
2026-01-20,NVDA,181.9,182.3786,177.61,178.07,177.8570795052,218355781,tiingo
2026-01-21,NVDA,179.05,185.379,178.4,183.32,183.1008020155,200380959,tiingo
2026-01-22,NVDA,184.75,186.17,183.93,184.84,184.6189845327,139636626,tiingo
2026-01-23,NVDA,187.5,189.6,186.8233,187.67,187.4456006669,142748076,tiingo
2026-01-26,NVDA,187.16,189.12,185.99001,186.47,186.47,124799600,twelve_data
2026-01-27,NVDA,187.24,190.0,185.7,188.52,188.2945843114,138432307,tiingo
2026-01-28,NVDA,191.27,192.35,189.84,191.52,191.2909971744,148552677,tiingo
