date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,CTSH,71.15,71.92,70.07,70.81,69.1415402308,2623174,tiingo
2025-04-15,CTSH,70.99,71.57,70.76,71.26,69.5809371112,5622890,tiingo
2025-04-16,CTSH,70.34,71.73,69.585,70.01,68.3603902211,3164255,tiingo
2025-04-17,CTSH,70.25,70.25,69.174,69.44,67.8038208392,3091360,tiingo
2025-04-21,CTSH,69.32,69.32,67.18,68.06,66.4563370726,2214663,tiingo
2025-04-22,CTSH,68.95,69.82,68.695,69.73,68.0869877177,2880991,tiingo
2025-04-23,CTSH,71.33,72.855,70.72,71.03,69.3563564835,4969964,tiingo
2025-04-24,CTSH,70.72,72.33,70.69,72.12,70.4206733716,4130320,tiingo
2025-04-25,CTSH,71.83,72.47,71.5,72.17,70.4694952472,2906588,tiingo
2025-04-28,CTSH,72.06,73.34,71.715,72.58,70.8698346272,3363998,tiingo
2025-04-29,CTSH,72.11,73.83,71.8601,73.29,71.5631052608,3471076,tiingo
2025-04-30,CTSH,72.56,73.75,71.8,73.57,71.8365077642,4769108,tiingo
2025-05-01,CTSH,76.71,77.47,75.15,75.23,73.4573940342,7356545,tiingo
2025-05-02,CTSH,76.29,77.84,76.09,77.7,75.8691946891,5330494,tiingo
2025-05-05,CTSH,77.37,78.75,77.345,77.91,76.0742465666,3028673,tiingo
2025-05-06,CTSH,77.12,78.24,76.7465,77.64,75.8106084383,2491921,tiingo
2025-05-07,CTSH,77.75,78.37,77.23,77.93,76.0937753168,3682989,tiingo
2025-05-08,CTSH,78.55,80.03,78.32,79.21,77.3436153323,2870544,tiingo
2025-05-09,CTSH,79.29,79.75,78.98,79.17,77.3045578318,3665803,tiingo
2025-05-12,CTSH,81.44,81.89,80.6,81.81,79.8823528637,3264292,tiingo
2025-05-13,CTSH,81.82,82.04,81.075,81.27,79.3550766072,2732310,tiingo
2025-05-14,CTSH,80.87,81.06,80.15,80.36,78.4665184712,2504368,tiingo
2025-05-15,CTSH,80.32,81.78,80.005,81.36,79.4429559833,2911782,tiingo
