date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,ADI,183.26,185.0,175.58,178.6,175.4357945885,3912108,tiingo
2025-04-15,ADI,178.6,182.47,178.07,179.54,176.3591408758,3035881,tiingo
2025-04-16,ADI,173.67,177.36,170.39,175.93,172.8130982192,4392829,tiingo
2025-04-17,ADI,177.89,178.34,173.58,176.27,173.1470745359,3341240,tiingo
2025-04-21,ADI,172.65,175.47,171.0,174.99,171.8897519319,3650119,tiingo
2025-04-22,ADI,176.78,179.19,175.205,178.5,175.33756626,3735027,tiingo
2025-04-23,ADI,185.99,187.84,182.475,183.11,179.865892201,4323335,tiingo
2025-04-24,ADI,192.725,197.515,191.05,195.23,191.7711656075,5606678,tiingo
2025-04-25,ADI,192.95,196.37,191.69,194.59,191.1425043056,3206797,tiingo
2025-04-28,ADI,193.36,196.37,189.95,193.72,190.2879178481,3401605,tiingo
2025-04-29,ADI,191.5,194.815,190.36,192.67,189.2565203996,3939847,tiingo
2025-04-30,ADI,187.55,195.34,186.7265,194.92,191.4666577894,4415391,tiingo
2025-05-01,ADI,196.84,197.165,193.44,193.74,190.3075635138,3439454,tiingo
2025-05-02,ADI,197.86,199.7125,197.15,198.59,195.071637443,3795868,tiingo
2025-05-05,ADI,196.16,199.715,195.59,197.72,194.2170509856,2022742,tiingo
2025-05-06,ADI,194.89,197.4,194.26,195.6,192.1346104228,2535541,tiingo
2025-05-07,ADI,196.63,200.72,195.69,199.86,196.3191372142,2966391,tiingo
2025-05-08,ADI,202.26,206.04,200.96,202.78,199.1874044045,3422453,tiingo
2025-05-09,ADI,207.24,210.14,206.29,207.51,203.8336043396,3537650,tiingo
2025-05-12,ADI,222.87,225.49,219.1,223.15,219.1965149072,6358273,tiingo
2025-05-13,ADI,221.965,227.07,220.2489,226.68,222.663974901,4373921,tiingo
2025-05-14,ADI,227.64,228.34,224.01,226.82,222.8014945608,4648600,tiingo
2025-05-15,ADI,224.425,228.7975,224.01,227.12,223.0961795461,3045249,tiingo
2025-05-16,ADI,227.16,227.8,225.525,227.11,223.0863567133,3618204,tiingo
2025-05-19,ADI,223.635,226.805,223.07,224.54,220.5618886724,3974323,tiingo
2025-05-20,ADI,222.32,224.6,221.93,224.49,220.5127745082,2619352,tiingo
2025-05-21,ADI,222.6,227.39,221.325,222.22,218.2829914527,5091059,tiingo
2025-05-22,ADI,221.46,224.395,211.37,211.93,208.1752964565,8968264,tiingo
2025-05-23,ADI,208.98,211.04,206.0,210.47,206.7411628613,4848159,tiingo
2025-05-27,ADI,215.15,217.87,212.73,216.89,213.047421547,5542334,tiingo
2025-05-28,ADI,217.61,218.19,215.46,215.62,211.7999217759,3853917,tiingo
2025-05-29,ADI,218.055,218.5,214.0,215.75,211.9276186028,3800393,tiingo
2025-05-30,ADI,215.28,215.84,210.8,213.98,210.1889771895,10923408,tiingo
2025-06-02,ADI,212.4,216.2,212.215,215.45,211.6329336175,2233860,tiingo
2025-06-03,ADI,214.03,218.89,213.05,218.43,214.5601378049,3515816,tiingo
2025-06-04,ADI,219.83,221.19,217.33,218.5,215.6013580864,4199395,tiingo
2025-06-05,ADI,219.8,222.585,217.02,218.04,215.1474604904,3496524,tiingo
2025-06-06,ADI,220.68,225.35,220.625,222.26,219.3114775665,3246129,tiingo
2025-06-09,ADI,223.815,229.175,223.405,227.66,224.6398406496,4110605,tiingo
2025-06-10,ADI,228.27,234.76,228.01,233.34,230.244489226,4164753,tiingo
2025-06-11,ADI,234.09,236.115,230.27,232.54,229.4551021025,3311792,tiingo
2025-06-12,ADI,231.53,233.74,230.85,232.12,229.0406738627,2144281,tiingo
2025-06-13,ADI,227.56,228.9352,224.38,225.03,222.0447304813,3349605,tiingo
2025-06-16,ADI,228.13,231.915,227.5,231.8,228.7249190134,3344891,tiingo
