date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,AAPL,211.44,212.94,201.1621,202.52,201.4677272032,101352911,tiingo
2025-04-15,AAPL,201.855,203.51,199.8,202.14,201.0897016436,51343872,tiingo
2025-04-16,AAPL,198.36,200.7,192.37,194.27,193.2605933427,59732423,tiingo
2025-04-17,AAPL,197.2,198.8335,194.42,196.98,195.9565124654,52164675,tiingo
2025-04-21,AAPL,193.265,193.8,189.8112,193.16,192.1563607869,46742537,tiingo
2025-04-22,AAPL,196.12,201.59,195.97,199.74,198.7021717932,52976371,tiingo
2025-04-23,AAPL,206.0,208.0,202.799,204.6,203.5369197402,52929165,tiingo
2025-04-24,AAPL,204.89,208.8299,202.94,208.37,207.2873312134,47310989,tiingo
2025-04-25,AAPL,206.365,209.75,206.2,209.28,208.1926029483,38222258,tiingo
2025-04-28,AAPL,210.0,211.5,207.46,210.14,209.048134478,38743074,tiingo
2025-04-29,AAPL,208.693,212.24,208.37,211.21,210.1125748696,36827633,tiingo
2025-04-30,AAPL,209.3,213.58,206.6705,212.5,211.3958721641,52286454,tiingo
2025-05-01,AAPL,209.08,214.56,208.9,213.32,212.2116115297,57365675,tiingo
2025-05-02,AAPL,206.09,206.99,202.16,205.35,204.2830228184,101010621,tiingo
2025-05-05,AAPL,203.1,204.1,198.21,198.89,197.8565883046,69018452,tiingo
2025-05-06,AAPL,198.21,200.65,197.02,198.51,197.478562745,51216482,tiingo
2025-05-07,AAPL,199.17,199.44,193.25,196.25,195.2303054692,68616943,tiingo
2025-05-08,AAPL,197.72,200.05,194.6796,197.49,196.4638625586,50478872,tiingo
2025-05-09,AAPL,199.0,200.5399,197.535,198.53,197.498458827,36453923,tiingo
2025-05-12,AAPL,210.97,211.2679,206.75,210.79,209.9534062129,63775814,tiingo
2025-05-13,AAPL,210.43,213.4,209.0,212.93,212.084912875,51909332,tiingo
2025-05-14,AAPL,212.43,213.94,210.5801,212.33,211.4872941847,49325825,tiingo
2025-05-15,AAPL,210.95,212.96,209.54,211.45,210.6107867722,45029473,tiingo
2025-05-16,AAPL,212.36,212.57,209.77,211.26,210.4215408536,54737850,tiingo
2025-05-19,AAPL,207.91,209.48,204.26,208.78,207.9513836004,46140527,tiingo
2025-05-20,AAPL,207.67,208.47,205.03,206.86,206.0390037915,42496635,tiingo
2025-05-21,AAPL,205.17,207.04,200.71,202.09,201.2879352036,59211774,tiingo
2025-05-22,AAPL,200.71,202.75,199.7,201.36,200.5608324637,46742407,tiingo
2025-05-23,AAPL,193.665,197.7,193.46,195.27,194.4950027572,78432918,tiingo
2025-05-27,AAPL,198.3,200.74,197.43,200.21,199.4153966407,56288475,tiingo
2025-05-28,AAPL,200.59,202.73,199.9,200.42,199.6245631823,45339678,tiingo
2025-05-29,AAPL,203.575,203.81,198.51,199.95,199.1564285415,51477938,tiingo
2025-05-30,AAPL,199.37,201.96001,196.78,200.85001,200.85001,70819900,twelve_data
2025-06-02,AAPL,200.28,202.13,200.12,201.7,200.8994830549,35423294,tiingo
2025-06-03,AAPL,201.35,203.77,200.955,203.27,202.4632519612,46381567,tiingo
2025-06-04,AAPL,202.91,206.24,202.1,202.82,202.0150379435,43603985,tiingo
2025-06-05,AAPL,203.5,204.75,200.15,200.63,199.8337297239,55221235,tiingo
2025-06-06,AAPL,203.0,205.7,202.05,203.92,203.110672209,46607693,tiingo
2025-06-09,AAPL,204.39,206.0,200.02,201.45,200.6504752673,72862557,tiingo
2025-06-10,AAPL,200.6,204.35,200.57,202.67,201.8656332709,54672608,tiingo
2025-06-11,AAPL,203.5,204.5,198.41,198.78,197.9910720955,60989857,tiingo
2025-06-12,AAPL,199.08,199.68,197.3601,199.2,198.4094051787,43904635,tiingo
2025-06-13,AAPL,199.73,200.37,195.7,196.45,195.6703195148,51447349,tiingo
2025-06-16,AAPL,197.3,198.69,196.56,198.42,198.42,43020700,twelve_data
2025-06-17,AAPL,197.2,198.39,195.21001,195.64,195.64,38856200,twelve_data
2025-06-18,AAPL,195.94,197.57,195.07,196.58,195.7998035644,45394689,tiingo
2025-06-20,AAPL,198.235,201.7,196.855,201.0,200.2022612495,96813542,tiingo
2025-06-23,AAPL,201.625,202.3,198.96,201.5,200.7002768248,55814272,tiingo
2025-06-24,AAPL,202.59,203.44,200.2,200.3,199.5050394442,54064033,tiingo
2025-06-25,AAPL,201.45,203.67,200.62,201.56,201.56,39525700,twelve_data
2025-06-26,AAPL,201.43,202.64,199.46,201.0,200.2022612495,50799121,tiingo
2025-06-27,AAPL,201.89,203.22,200.0,201.080002,201.080002,73188600,twelve_data
2025-06-30,AAPL,202.0099945,207.39,199.25999,205.17,205.17,91912800,twelve_data
2025-07-01,AAPL,206.665,210.1865,206.1401,207.82,206.9951936959,78788867,tiingo
2025-07-02,AAPL,208.91,213.34,208.14,212.44,212.44,67941800,twelve_data
2025-07-03,AAPL,212.14999,214.64999,211.81,213.55,213.55,34955800,twelve_data
2025-07-07,AAPL,212.68,216.23,208.8,209.95,209.1167400465,50228984,tiingo
2025-07-08,AAPL,210.1,211.43,208.45,210.01,209.1765019155,42848928,tiingo
2025-07-09,AAPL,209.53,211.33,207.22,211.14,210.3020171156,48749367,tiingo
2025-07-10,AAPL,210.505,213.48,210.03,212.41,211.5669766767,44443635,tiingo
2025-07-11,AAPL,210.565,212.13,209.86,211.16,210.3219377386,39765812,tiingo
2025-07-14,AAPL,209.92999,210.91,207.53999,208.62,208.62,38840100,twelve_data
2025-07-15,AAPL,209.22,211.89,208.92,209.11,209.11,42296300,twelve_data
2025-07-16,AAPL,210.3,212.39999,208.64,210.16,210.16,47490500,twelve_data
2025-07-17,AAPL,210.57001,211.8,209.59,210.020004,210.020004,48068100,twelve_data
2025-07-18,AAPL,210.87,211.78999,209.7,211.17999,211.17999,48974600,twelve_data
2025-07-21,AAPL,212.1,215.78,211.63,212.48,211.6366988572,51377434,tiingo
2025-07-22,AAPL,213.14,214.95,212.23,214.39999,214.39999,46404100,twelve_data
2025-07-23,AAPL,215.0,215.14999,212.41,214.14999,214.14999,46989300,twelve_data
