date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,MPWR,489.69,538.44,476.0,533.13,529.2147555328,2218659,tiingo
2025-04-14,MPWR,560.75,560.75,532.115,538.8,534.8431157149,1291440,tiingo
2025-04-15,MPWR,545.21,554.7746,537.35,544.25,540.2530915513,634429,tiingo
2025-04-16,MPWR,518.07,531.075,499.69,524.86,521.0054894471,1275063,tiingo
2025-04-17,MPWR,538.0,539.82,514.29,523.58,519.7348896177,864607,tiingo
2025-04-21,MPWR,512.72,514.825,496.4,508.19,504.4579119806,798846,tiingo
2025-04-22,MPWR,512.36,526.57,506.305,511.82,508.0612536845,859404,tiingo
2025-04-23,MPWR,545.91,553.98,532.71,536.97,533.0265550212,828694,tiingo
2025-04-24,MPWR,548.41,582.57,546.755,580.75,576.4850398133,1046667,tiingo
2025-04-25,MPWR,577.21,588.25,568.96,583.72,579.4332284801,508773,tiingo
2025-04-28,MPWR,580.07,591.39,564.22,585.21,580.9122860941,552455,tiingo
2025-04-29,MPWR,584.14,593.76,574.865,586.74,582.4310499528,783891,tiingo
2025-04-30,MPWR,565.21,595.915,562.3807,593.1,588.7443428554,785143,tiingo
2025-05-01,MPWR,600.0,614.0,594.84,601.63,597.2116995314,990064,tiingo
2025-05-02,MPWR,614.685,649.4,608.9601,636.89,632.2127542087,1651753,tiingo
2025-05-05,MPWR,634.66,642.6,626.0,627.4,622.7924476606,628993,tiingo
2025-05-06,MPWR,620.295,631.416,612.947,622.99,618.4148341856,567373,tiingo
2025-05-07,MPWR,621.67,640.52,613.0,636.71,632.0340761077,569460,tiingo
2025-05-08,MPWR,648.79,656.41,630.0,639.93,635.2304288037,638321,tiingo
2025-05-09,MPWR,647.48,656.0,630.62,637.77,633.0862915915,639266,tiingo
2025-05-12,MPWR,693.98,720.995,680.0,709.23,704.0214976957,1506913,tiingo
2025-05-13,MPWR,705.75,742.2,705.75,737.73,732.3121970236,909264,tiingo
2025-05-14,MPWR,737.0,754.9999,725.85,734.28,728.8875334208,589590,tiingo
2025-05-15,MPWR,725.62,730.36,703.345,710.32,705.103492863,981490,tiingo
2025-05-16,MPWR,712.75,716.79,696.4548,715.4,710.1461859362,362167,tiingo
2025-05-19,MPWR,692.78,706.704,688.1,702.39,697.231729857,512542,tiingo
2025-05-20,MPWR,695.5,702.23,692.765,700.17,695.0280332778,421122,tiingo
2025-05-21,MPWR,691.0,703.97,674.465,678.62,673.6362939614,487472,tiingo
2025-05-22,MPWR,680.02,694.8191,671.07,672.2,667.2634416918,461341,tiingo
2025-05-23,MPWR,649.99,668.105,648.68,662.18,657.3170274018,508537,tiingo
2025-05-27,MPWR,683.33002,689.52002,671.65997,685.52002,685.52002,787300,twelve_data
2025-05-28,MPWR,686.059998,689.40002,675.46997,677.47998,677.47998,517800,twelve_data
2025-05-29,MPWR,699.51001,699.51001,677.10999,680.71997,680.71997,419800,twelve_data
2025-05-30,MPWR,671.53003,679.96997,643.35999,661.90002,661.90002,950300,twelve_data
2025-06-02,MPWR,661.31,671.15,655.5,668.66,663.7494390384,422818,tiingo
2025-06-03,MPWR,669.78998,688.79999,662.78998,685.76001,685.76001,521300,twelve_data
2025-06-04,MPWR,693.385,721.27,689.19,694.75,689.6478371249,534656,tiingo
2025-06-05,MPWR,701.76001,705.90002,674.82001,681.059998,681.059998,568800,twelve_data
2025-06-06,MPWR,698.27,698.76,685.52,687.08,682.0341647093,293532,tiingo
2025-06-09,MPWR,693.53998,711.0,689.90002,706.28003,706.28003,550300,twelve_data
2025-06-10,MPWR,712.71997,738.81,708.79999,731.84003,731.84003,901100,twelve_data
2025-06-11,MPWR,736.60999,740.90002,709.21002,720.83002,720.83002,564900,twelve_data
2025-06-12,MPWR,713.44,730.0,713.40997,718.57001,718.57001,322600,twelve_data
2025-06-13,MPWR,699.84998,702.94,670.0,673.01001,673.01001,1027900,twelve_data
2025-06-16,MPWR,684.46002,712.72998,681.21997,706.59003,706.59003,613800,twelve_data
2025-06-17,MPWR,700.0,710.72998,689.82001,690.87,690.87,430100,twelve_data
2025-06-18,MPWR,693.84998,706.40002,686.059998,693.23999,693.23999,455200,twelve_data
