date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,INTU,573.29,588.46,569.465,587.04,582.1213029268,1479891,tiingo
2025-04-14,INTU,600.0,600.0,585.8163,593.55,588.5767568687,1227398,tiingo
2025-04-15,INTU,598.97,600.56,591.35,594.08,589.102316099,1178156,tiingo
2025-04-16,INTU,587.65,598.065,581.08,588.08,583.1525889636,1985470,tiingo
2025-04-17,INTU,592.0,593.91,584.83,585.38,580.4752117527,1642864,tiingo
2025-04-21,INTU,578.43,581.37,559.1,568.84,564.0737972828,1502690,tiingo
2025-04-22,INTU,574.185,584.84,571.47,583.56,578.6704611883,1467459,tiingo
2025-04-23,INTU,597.0,608.725,593.81,596.05,591.0558098418,1744846,tiingo
2025-04-24,INTU,598.83,617.1,596.67,614.83,609.6784557756,1600997,tiingo
2025-04-25,INTU,616.06,625.205,612.975,624.12,618.8906166235,1540649,tiingo
2025-04-28,INTU,623.32,628.595,614.57,618.23,613.049967819,1357283,tiingo
2025-04-29,INTU,618.68,624.19,616.08,623.15,617.92874407,843516,tiingo
2025-04-30,INTU,614.09,629.305,610.22,627.47,622.2125476075,1315433,tiingo
2025-05-01,INTU,624.495,635.18,622.42,623.19,617.9684089175,1449899,tiingo
2025-05-02,INTU,633.455,636.81,627.55,631.68,626.3872728141,1367396,tiingo
2025-05-05,INTU,630.67,641.51,629.39,632.18,626.8830834087,1434251,tiingo
2025-05-06,INTU,625.5,633.91,622.94,626.55,621.3002561134,905847,tiingo
2025-05-07,INTU,626.6,642.47,626.6,641.14,635.7680092643,1650609,tiingo
2025-05-08,INTU,643.53,662.4909,641.31,656.08,650.5828298314,2059822,tiingo
2025-05-09,INTU,655.26,658.185,650.065,653.88,648.4012632151,1158833,tiingo
2025-05-12,INTU,665.0,670.6,654.92,662.3,656.7507136284,1842163,tiingo
2025-05-13,INTU,660.44,661.39,651.73,656.8,651.2967970876,1560660,tiingo
2025-05-14,INTU,656.0,660.465,652.11,652.83,647.3600609664,1948097,tiingo
2025-05-15,INTU,654.32,665.37,652.16,661.31,655.7690086511,1548947,tiingo
2025-05-16,INTU,672.81,672.81,662.1908,670.28,664.6638507185,1555209,tiingo
2025-05-19,INTU,666.46,675.0,663.1996,670.86,665.2389910082,1327858,tiingo
2025-05-20,INTU,665.375,671.5,663.23,671.16,665.536477365,1047746,tiingo
2025-05-21,INTU,668.735,671.065,659.605,659.98,654.4501524694,1478998,tiingo
2025-05-22,INTU,662.51,670.56,659.0,666.07,660.4891255118,2301181,tiingo
2025-05-23,INTU,720.0,734.18,714.0,720.13,714.0961670017,5327730,tiingo
2025-05-27,INTU,724.51001,751.96002,722.45001,751.96002,751.96002,4079800,twelve_data
2025-05-28,INTU,752.0,758.77002,751.0,754.45001,754.45001,2504600,twelve_data
2025-05-29,INTU,759.5,759.5,746.81,757.21997,757.21997,1589700,twelve_data
2025-05-30,INTU,760.0,761.02002,747.27002,753.46997,753.46997,2887100,twelve_data
2025-06-02,INTU,750.55,765.08,748.34,764.99,758.5802935507,1870212,tiingo
2025-06-03,INTU,762.83002,768.090027,758.15997,764.65997,764.65997,1526800,twelve_data
2025-06-04,INTU,762.33,768.06,762.0,766.81,760.3850441151,1280998,tiingo
2025-06-05,INTU,766.070007,773.45001,763.81,766.64001,766.64001,1242200,twelve_data
2025-06-06,INTU,770.14,771.86,764.265,771.58,765.1150771877,1475468,tiingo
2025-06-09,INTU,770.21997,772.0,762.64001,764.38,764.38,1342400,twelve_data
2025-06-10,INTU,762.35999,766.19,754.10999,762.099976,762.099976,1422900,twelve_data
2025-06-11,INTU,758.81,765.46002,754.53003,764.75,764.75,1276500,twelve_data
2025-06-12,INTU,763.34998,770.77002,763.34998,766.21002,766.21002,1300200,twelve_data
2025-06-13,INTU,758.72998,763.01001,752.34003,753.97998,753.97998,1148000,twelve_data
2025-06-16,INTU,761.82001,769.91998,757.57001,768.080017,768.080017,1428900,twelve_data
2025-06-17,INTU,768.46002,769.64001,761.65002,764.90002,764.90002,1344500,twelve_data
2025-06-18,INTU,762.37,765.59003,750.38,754.83002,754.83002,2223400,twelve_data
2025-06-20,INTU,760.65997,762.39001,755.049988,761.14001,761.14001,2709400,twelve_data
2025-06-23,INTU,759.66998,765.0,754.40002,762.54999,762.54999,1223300,twelve_data
2025-06-24,INTU,769.14,771.14,758.14,759.03,752.6702312628,1900553,tiingo
2025-06-25,INTU,758.059998,759.62,751.059998,757.85999,757.85999,1531100,twelve_data
2025-06-26,INTU,759.38,773.38,758.53003,772.85999,772.85999,1420100,twelve_data
2025-06-27,INTU,771.15997,787.21997,771.15997,776.57001,776.57001,2051800,twelve_data
