date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,CRWD,366.98,378.79,360.6537,377.9,377.9,3383304,tiingo
2025-04-14,CRWD,386.955,389.2526,372.82,378.66,378.66,3047990,tiingo
2025-04-15,CRWD,383.4,400.02,379.67,392.8,392.8,5204767,tiingo
2025-04-16,CRWD,386.11,395.35,373.48,379.84,379.84,4186650,tiingo
2025-04-17,CRWD,383.8,384.94,373.101,375.62,375.62,2098275,tiingo
2025-04-21,CRWD,363.8,372.09,355.66,362.69,362.69,2904870,tiingo
2025-04-22,CRWD,368.84,374.71,362.9,368.45,368.45,2577135,tiingo
2025-04-23,CRWD,382.5,396.305,382.5,385.75,385.75,3580631,tiingo
2025-04-24,CRWD,386.0,414.8486,386.0,414.05,414.05,4624922,tiingo
2025-04-25,CRWD,414.69,425.735,412.6,424.88,424.88,3335543,tiingo
2025-04-28,CRWD,424.84,428.0,415.33,423.08,423.08,2798708,tiingo
2025-04-29,CRWD,424.49,432.37,423.08,430.99,430.99,2407095,tiingo
2025-04-30,CRWD,419.01,429.55,414.41,428.87,428.87,3187202,tiingo
2025-05-01,CRWD,431.51,439.63,427.75,431.88,431.88,3080096,tiingo
2025-05-02,CRWD,438.18,443.7,434.4,440.58,440.58,2708706,tiingo
2025-05-05,CRWD,436.0,451.1499,435.4044,443.47,443.47,3281015,tiingo
2025-05-06,CRWD,432.202,447.5,430.57,443.21,443.21,3431154,tiingo
2025-05-07,CRWD,425.42,429.84,417.0621,422.52,422.52,6679452,tiingo
2025-05-08,CRWD,427.485,432.9064,424.72,428.63,428.63,3618987,tiingo
2025-05-09,CRWD,418.945,420.0,404.63,410.57,410.57,4693342,tiingo
2025-05-12,CRWD,419.69,429.47,415.1,429.44,429.44,3278518,tiingo
2025-05-13,CRWD,428.21,448.0,427.0001,440.2,440.2,3734581,tiingo
2025-05-14,CRWD,442.5,445.47,431.2601,435.94,435.94,2847277,tiingo
2025-05-15,CRWD,423.59,433.86,422.09,431.84,431.84,2531937,tiingo
2025-05-16,CRWD,435.87,440.89,431.82,439.26,439.26,2133434,tiingo
2025-05-19,CRWD,432.43,445.5,431.69,444.35,444.35,2015557,tiingo
2025-05-20,CRWD,441.89,443.01,436.695,442.25,442.25,2132634,tiingo
2025-05-21,CRWD,436.8,450.67,432.06,434.74,434.74,4321056,tiingo
2025-05-22,CRWD,430.715,448.88,430.0,444.07,444.07,2590894,tiingo
2025-05-23,CRWD,438.5,459.93,437.4,455.59,455.59,4487764,tiingo
2025-05-27,CRWD,464.0,474.23,459.6001,472.22,472.22,3997165,tiingo
2025-05-28,CRWD,472.985,473.4099,465.98,468.83,468.83,2893441,tiingo
2025-05-29,CRWD,472.0,472.49,453.425,458.81,458.81,3328479,tiingo
2025-05-30,CRWD,462.029999,473.12,456.76501,471.37,471.37,4488700,twelve_data
2025-06-02,CRWD,471.0,479.97,465.525,479.17,479.17,3483436,tiingo
2025-06-03,CRWD,480.765,491.2,477.45,488.76,488.76,7632152,tiingo
2025-06-04,CRWD,454.75,470.9499,445.26,460.56,460.56,15453584,tiingo
2025-06-05,CRWD,462.325,468.6,452.71,462.94,462.94,6188822,tiingo
2025-06-06,CRWD,463.12,478.466,463.12,468.41,468.41,4342957,tiingo
2025-06-09,CRWD,470.31,471.7699,458.1278,464.39,464.39,2724637,tiingo
2025-06-10,CRWD,465.49,470.01,457.23,467.65,467.65,2472452,tiingo
2025-06-11,CRWD,466.02,479.94,465.5517,476.98,476.98,2756541,tiingo
2025-06-12,CRWD,474.02,488.736,473.0,481.73,481.73,3520157,tiingo
2025-06-13,CRWD,475.0,485.4949,473.06,480.62,480.62,2610680,tiingo
2025-06-16,CRWD,481.84,487.45999,477.28,479.39001,479.39001,2710300,twelve_data
2025-06-17,CRWD,479.45001,493.20001,474.0,492.029999,492.029999,3398700,twelve_data
2025-06-18,CRWD,490.71,490.71,478.8201,485.16,485.16,2830285,tiingo
2025-06-20,CRWD,484.54,490.0,474.29,476.3,476.3,5183068,tiingo
2025-06-23,CRWD,470.755,494.3,461.51,491.81,491.81,4431729,tiingo
2025-06-24,CRWD,490.9,493.5,481.12,485.38,485.38,3633478,tiingo
2025-06-25,CRWD,488.079987,500.41,487.54501,494.089996,494.089996,2957600,twelve_data
2025-06-26,CRWD,497.08,506.35,494.09,505.22,505.22,3017035,tiingo
2025-06-27,CRWD,504.59,505.37,495.57001,499.32999,499.32999,3466300,twelve_data
2025-06-30,CRWD,502.625,510.019989,499.72,509.31,509.31,2702800,twelve_data
2025-07-01,CRWD,509.37,516.6199,481.5,492.07,492.07,4089054,tiingo
2025-07-02,CRWD,491.0,496.5,489.14401,496.10001,496.10001,2113200,twelve_data
2025-07-03,CRWD,499.98999,517.97998,499.98999,514.099976,514.099976,2654000,twelve_data
2025-07-07,CRWD,507.7,508.155,498.91,505.46,505.46,3269395,tiingo
2025-07-08,CRWD,507.64,509.3845,497.74,507.71,507.71,2143326,tiingo
2025-07-09,CRWD,512.0,513.92,507.04,513.51,513.51,1869298,tiingo
2025-07-10,CRWD,512.99,514.5,486.57,487.11,487.11,4188515,tiingo
2025-07-11,CRWD,488.0,489.3262,477.47,478.45,478.45,3384366,tiingo
2025-07-14,CRWD,466.82,480.7169,463.5,476.18,476.18,3340484,tiingo
2025-07-15,CRWD,479.089996,480.72,470.51999,473.28,473.28,2529100,twelve_data
2025-07-16,CRWD,475.82001,476.64999,464.83499,470.45001,470.45001,1980400,twelve_data
2025-07-17,CRWD,470.35001,474.31,466.94,469.82999,469.82999,2256600,twelve_data
2025-07-18,CRWD,472.31,477.26001,465.76001,475.95999,475.95999,2903400,twelve_data
2025-07-21,CRWD,478.715,490.040009,474.10999,481.57999,481.57999,3416200,twelve_data
2025-07-22,CRWD,481.5,485.4558,470.0,471.23,471.23,1975565,tiingo
2025-07-23,CRWD,471.23,471.9999,454.04,461.52,461.52,3024019,tiingo
2025-07-24,CRWD,463.98,468.5,460.12,462.03,462.03,2486054,tiingo
2025-07-25,CRWD,462.0,470.81,460.29999,467.92001,467.92001,1794700,twelve_data
2025-07-28,CRWD,471.0,476.57,468.0,472.18,472.18,1825776,tiingo
2025-07-29,CRWD,473.87,480.72,458.0,465.51001,465.51001,2749900,twelve_data
2025-07-30,CRWD,463.51999,466.67999,453.42001,463.14999,463.14999,2117500,twelve_data
2025-07-31,CRWD,465.76001,467.89999,453.76001,454.57001,454.57001,2832800,twelve_data
2025-08-01,CRWD,448.95001,454.0,438.089996,446.66,446.66,3014400,twelve_data
2025-08-04,CRWD,452.89999,457.48999,448.0,454.85999,454.85999,1882800,twelve_data
2025-08-05,CRWD,454.63,457.79999,438.5,441.75,441.75,3104600,twelve_data
2025-08-06,CRWD,445.0,451.89999,442.01001,451.69,451.69,2035700,twelve_data
2025-08-07,CRWD,451.69,451.985,422.0,425.0,425.0,5710129,tiingo
2025-08-08,CRWD,431.0,434.5,420.42,424.49,424.49,3632121,tiingo
2025-08-11,CRWD,423.82001,434.0,419.73999,426.42999,426.42999,2525400,twelve_data
2025-08-12,CRWD,428.01001,438.29999,427.48999,435.79999,435.79999,2311000,twelve_data
2025-08-13,CRWD,440.0,442.425,427.8601,432.12,432.12,2461103,tiingo
2025-08-14,CRWD,432.34,435.0,419.81,424.85999,424.85999,2911600,twelve_data
2025-08-15,CRWD,425.28,428.932,423.0001,427.9,427.9,2264392,tiingo
2025-08-18,CRWD,426.0,428.97,421.69901,426.34,426.34,2252700,twelve_data
2025-08-19,CRWD,431.0,436.0,415.9,418.6,418.6,2786833,tiingo
2025-08-20,CRWD,417.425,420.94,409.31,419.17,419.17,2212608,tiingo
2025-08-21,CRWD,417.79,417.9299,413.66,414.06,414.06,1800410,tiingo
2025-08-22,CRWD,415.0,423.9926,412.5508,420.55,420.55,2202292,tiingo
2025-08-25,CRWD,422.60999,426.0,418.52499,418.82999,418.82999,2413300,twelve_data
2025-08-26,CRWD,419.32,425.0,416.7,417.6,417.6,3146731,tiingo
2025-08-27,CRWD,421.6,427.415,419.98,422.61,422.61,8119591,tiingo
2025-08-28,CRWD,410.0,442.17,409.2501,442.0,442.0,9981803,tiingo
2025-08-29,CRWD,444.865,448.0,420.39,423.7,423.7,5485070,tiingo
2025-09-02,CRWD,417.10901,418.019989,407.69501,413.5,413.5,3762800,twelve_data
2025-09-03,CRWD,412.985,414.4799,404.28,413.2,413.2,3030691,tiingo
2025-09-04,CRWD,413.20001,415.48999,402.66,412.45999,412.45999,2763400,twelve_data
2025-09-05,CRWD,414.07,418.1117,407.06,417.63,417.63,2169328,tiingo
2025-09-08,CRWD,419.0,428.845,416.42001,428.059998,428.059998,2545800,twelve_data
2025-09-09,CRWD,428.17,431.007,420.63,423.51,423.51,2126813,tiingo
2025-09-10,CRWD,427.565,433.8069,422.17,424.87,424.87,2278833,tiingo
2025-09-11,CRWD,428.25,438.2599,427.1,433.38,433.38,2411944,tiingo
2025-09-12,CRWD,435.39001,443.0,435.0,436.10001,436.10001,2764700,twelve_data
2025-09-15,CRWD,441.57501,448.87,436.75,444.76999,444.76999,2879400,twelve_data
2025-09-16,CRWD,444.8,448.32,434.8,444.98,444.98,2908043,tiingo
2025-09-17,CRWD,445.0,453.9999,434.34,445.5,445.5,3872820,tiingo
2025-09-18,CRWD,468.92499,504.22,462.12,502.63,502.63,10120500,twelve_data
2025-09-19,CRWD,499.0,507.19601,495.81,502.54999,502.54999,7092800,twelve_data
2025-09-22,CRWD,496.0,500.3,486.33,493.14,493.14,3875367,tiingo
2025-09-23,CRWD,493.14001,495.059998,481.10001,484.10001,484.10001,2734500,twelve_data
2025-09-24,CRWD,482.39001,486.95999,474.48001,476.32999,476.32999,2218200,twelve_data
2025-09-25,CRWD,476.89999,481.54999,469.0,473.089996,473.089996,2714800,twelve_data
2025-09-26,CRWD,472.1,483.7,470.29,481.42,481.42,2359725,tiingo
2025-09-29,CRWD,486.42,490.5,482.65,488.45,488.45,2197885,tiingo
2025-09-30,CRWD,486.42,490.881,479.2538,490.38,490.38,2288164,tiingo
2025-10-01,CRWD,487.75,500.8369,485.36,499.96,499.96,2512377,tiingo
2025-10-02,CRWD,501.225,502.27,492.345,496.8,496.8,2588818,tiingo
2025-10-03,CRWD,499.84,501.87,486.29999,489.88,489.88,1983500,twelve_data
2025-10-06,CRWD,495.51001,503.5,494.38,495.95001,495.95001,1949400,twelve_data
2025-10-07,CRWD,497.0,497.85599,476.51999,484.62,484.62,2857500,twelve_data
2025-10-08,CRWD,491.76999,510.0,490.32999,509.95001,509.95001,3617500,twelve_data
2025-10-09,CRWD,509.95,511.46,501.9,509.13,509.13,2203791,tiingo
2025-10-10,CRWD,509.0,517.40997,493.28699,493.66,493.66,3142600,twelve_data
2025-10-13,CRWD,501.15,511.18,497.5,508.61,508.61,2340568,tiingo
2025-10-14,CRWD,500.095001,500.54001,487.59,488.94,488.94,2768500,twelve_data
2025-10-15,CRWD,494.0,495.5,484.78,489.019989,489.019989,1730800,twelve_data
2025-10-16,CRWD,489.73,498.31,475.388,482.23,482.23,2174003,tiingo
2025-10-17,CRWD,478.015,486.0,475.42,484.65,484.65,1926820,tiingo
2025-10-20,CRWD,486.53,504.44501,486.45001,503.60999,503.60999,2820100,twelve_data
2025-10-21,CRWD,501.23999,507.60001,498.35001,503.95001,503.95001,1440900,twelve_data
2025-10-22,CRWD,502.67999,505.35999,491.67001,500.10999,500.10999,1682000,twelve_data
2025-10-23,CRWD,499.98001,522.42999,499.98001,521.97998,521.97998,3147300,twelve_data
2025-10-24,CRWD,528.79999,535.52002,521.87,527.32001,527.32001,2550500,twelve_data
2025-10-27,CRWD,532.54,534.34,525.24,529.7,529.7,1932155,tiingo
2025-10-28,CRWD,536.81,553.64001,535.97998,546.94,546.94,3367400,twelve_data
2025-10-29,CRWD,541.0,549.0,533.3,545.5,545.5,1780648,tiingo
2025-10-30,CRWD,543.11,549.9799,534.105,538.68,538.68,1954873,tiingo
2025-10-31,CRWD,542.40997,549.5,537.29999,543.01001,543.01001,1873100,twelve_data
2025-11-03,CRWD,549.32001,555.81,545.099976,551.91998,551.91998,1910500,twelve_data
2025-11-04,CRWD,539.79,549.48,531.1,533.92,533.92,2505060,tiingo
2025-11-05,CRWD,531.88,535.19,526.0,534.14001,534.14001,1646200,twelve_data
2025-11-06,CRWD,526.68,540.0,517.1,532.52,532.52,3099904,tiingo
2025-11-07,CRWD,526.66,542.26,519.1,539.81,539.81,2427139,tiingo
2025-11-10,CRWD,547.82001,558.97998,544.25,557.53003,557.53003,2164500,twelve_data
2025-11-11,CRWD,555.22,558.5,551.21,556.73,556.73,1355764,tiingo
2025-11-12,CRWD,561.1,566.9,545.0,545.86,545.86,1991475,tiingo
2025-11-13,CRWD,540.98999,543.84998,526.14001,529.78003,529.78003,2406000,twelve_data
2025-11-14,CRWD,522.47,544.04,509.05,537.55,537.55,1942297,tiingo
2025-11-17,CRWD,537.0,540.67,526.58,529.78,529.78,1395272,tiingo
2025-11-18,CRWD,524.82,531.33,513.0,513.67,513.67,2572967,tiingo
2025-11-19,CRWD,513.37,525.97998,509.29099,520.59003,520.59003,1521900,twelve_data
2025-11-20,CRWD,532.56,539.32,500.13,501.31,501.31,2483052,tiingo
2025-11-21,CRWD,497.91,501.0,477.55,490.67,490.67,3063709,tiingo
2025-11-24,CRWD,498.16,509.19,494.03,506.82,506.82,2649180,tiingo
2025-11-25,CRWD,503.70001,513.71002,493.01001,512.34003,512.34003,1652200,twelve_data
2025-11-26,CRWD,513.0,515.0,497.0,501.54001,501.54001,2213800,twelve_data
2025-11-28,CRWD,505.37,510.69,501.94,509.16,509.16,1018900,twelve_data
2025-12-01,CRWD,503.215,506.74,495.01,504.13,504.13,2058590,tiingo
2025-12-02,CRWD,513.46997,521.0,507.0,516.54999,516.54999,5055300,twelve_data
2025-12-03,CRWD,497.98999,525.0,486.29999,524.16998,524.16998,5578800,twelve_data
2025-12-04,CRWD,523.90997,525.27002,510.26001,513.12,513.12,2477300,twelve_data
2025-12-05,CRWD,516.14001,526.89001,508.32001,512.030029,512.030029,2629400,twelve_data
2025-12-08,CRWD,513.0,520.29999,508.89999,515.19,515.19,1660500,twelve_data
2025-12-09,CRWD,512.22998,529.896,511.73001,517.97998,517.97998,2035800,twelve_data
2025-12-10,CRWD,516.0,521.60999,504.54001,519.53998,519.53998,2359300,twelve_data
2025-12-11,CRWD,516.66998,528.19,512.51001,517.65002,517.65002,2001500,twelve_data
2025-12-12,CRWD,516.41,517.4358,498.76,504.78,504.78,2677671,tiingo
