date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,ZS,202.0,202.475,196.29,199.44,199.44,1746002,tiingo
2025-04-15,ZS,199.68,205.0,199.275,204.64,204.64,1771216,tiingo
2025-04-16,ZS,203.12,206.795,199.4,202.87,202.87,1665077,tiingo
2025-04-17,ZS,202.87,203.0,199.1,201.09,201.09,1785451,tiingo
2025-04-21,ZS,198.88,199.29,191.46,193.7,193.7,1581660,tiingo
2025-04-22,ZS,196.95,198.6926,194.35,196.52,196.52,1445727,tiingo
2025-04-23,ZS,202.0,207.23,199.53,200.59,200.59,2186033,tiingo
2025-04-24,ZS,202.24,212.355,201.6968,210.14,210.14,2642867,tiingo
2025-04-25,ZS,209.9,217.15,209.375,215.58,215.58,2885268,tiingo
2025-04-28,ZS,219.34,221.5,216.43,219.86,219.86,2910838,tiingo
2025-04-29,ZS,220.74,224.7,219.88,223.85,223.85,2386579,tiingo
2025-04-30,ZS,218.92,226.6,217.76,226.17,226.17,2246978,tiingo
2025-05-01,ZS,228.5,230.79,226.5447,227.06,227.06,3165041,tiingo
2025-05-02,ZS,230.92,231.93,228.83,230.47,230.47,1748070,tiingo
2025-05-05,ZS,228.66,235.67,227.94,232.98,232.98,2214450,tiingo
2025-05-06,ZS,229.6,235.0,228.68,233.1,233.1,1992747,tiingo
2025-05-07,ZS,232.5,235.0,230.05,233.54,233.54,1659197,tiingo
2025-05-08,ZS,233.94,234.54,230.645,233.15,233.15,2185302,tiingo
2025-05-09,ZS,233.34,235.0,227.69,233.06,233.06,2579671,tiingo
2025-05-12,ZS,237.26,241.74,236.62,241.48,241.48,2553811,tiingo
2025-05-13,ZS,240.02,247.28,240.02,245.0,245.0,2870709,tiingo
2025-05-14,ZS,244.22,247.0,243.47,244.45,244.45,2693061,tiingo
2025-05-15,ZS,243.43,246.5,241.58,245.92,245.92,3097959,tiingo
2025-05-16,ZS,247.77,253.5899,246.68,251.5,251.5,3083747,tiingo
2025-05-19,ZS,248.48,253.72,247.3,252.57,252.57,2047294,tiingo
2025-05-20,ZS,250.79,252.28,248.95,251.95,251.95,1985116,tiingo
2025-05-21,ZS,249.605,253.94,247.71,248.72,248.72,2566665,tiingo
2025-05-22,ZS,249.1,254.59,247.7,252.82,252.82,2173322,tiingo
2025-05-23,ZS,249.9,255.8673,248.61,254.1,254.1,2003966,tiingo
2025-05-27,ZS,257.70001,259.39999,256.14001,257.29999,257.29999,1758700,twelve_data
2025-05-28,ZS,256.0,256.0,252.5,253.64999,253.64999,2223400,twelve_data
2025-05-29,ZS,255.0,255.16,248.74001,251.11,251.11,4228500,twelve_data
2025-05-30,ZS,262.83,276.49,262.61,275.7,275.7,9946333,tiingo
2025-06-02,ZS,276.62,293.53,276.35,293.18,293.18,5827314,tiingo
2025-06-03,ZS,292.72,298.0,290.22,295.029999,295.029999,4123600,twelve_data
2025-06-04,ZS,295.48,303.42,294.125,296.85,296.85,3231464,tiingo
2025-06-05,ZS,299.31,303.72699,298.32999,300.88,300.88,2503900,twelve_data
2025-06-06,ZS,302.63,306.775,302.1017,303.03,303.03,3016227,tiingo
2025-06-09,ZS,303.60501,305.5,299.59,299.89999,299.89999,2294100,twelve_data
2025-06-10,ZS,300.0,303.95999,296.20499,297.97,297.97,1637000,twelve_data
2025-06-11,ZS,297.39999,302.98001,296.22,299.85999,299.85999,2007400,twelve_data
2025-06-12,ZS,300.10001,306.48999,300.10001,301.42999,301.42999,1827400,twelve_data
2025-06-13,ZS,301.95001,305.60999,300.5,301.95001,301.95001,2066600,twelve_data
2025-06-16,ZS,304.059998,309.185,303.54999,305.019989,305.019989,2567400,twelve_data
2025-06-17,ZS,303.13501,307.98999,299.51999,307.31,307.31,2885300,twelve_data
2025-06-18,ZS,306.32501,308.66,302.38501,305.41,305.41,2019900,twelve_data
2025-06-20,ZS,305.48999,308.39999,300.26001,302.94,302.94,3365500,twelve_data
2025-06-23,ZS,302.45999,311.711,298.42999,310.45999,310.45999,3054900,twelve_data
2025-06-24,ZS,311.88,314.64,306.35,308.46,308.46,2257434,tiingo
2025-06-25,ZS,310.92999,316.44,310.91299,311.98001,311.98001,2047200,twelve_data
2025-06-26,ZS,314.32999,317.17999,311.66199,313.85001,313.85001,1878600,twelve_data
2025-06-27,ZS,314.70499,317.26001,312.54999,315.32001,315.32001,2548900,twelve_data
