date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,AVGO,185.075,186.0,175.82,178.36,176.9365934294,25748301,tiingo
2025-04-15,AVGO,179.725,182.2644,178.08,178.95,177.5218849192,17242350,tiingo
2025-04-16,AVGO,170.43,176.08,166.92,174.61,173.2165204009,34638639,tiingo
2025-04-17,AVGO,176.25,176.25,169.9156,170.99,169.6254099041,22501785,tiingo
2025-04-21,AVGO,166.99,168.0,161.61,166.21,164.8835568171,23469794,tiingo
2025-04-22,AVGO,167.43,170.52,165.2229,169.58,168.2266624454,18504860,tiingo
2025-04-23,AVGO,177.78,180.45,175.82,176.91,175.4981651918,24380470,tiingo
2025-04-24,AVGO,179.69,188.57,178.295,188.15,186.6484640825,27576900,tiingo
2025-04-25,AVGO,186.92,193.37,186.89,192.31,190.7752650954,21242342,tiingo
2025-04-28,AVGO,190.53,193.1,187.68,192.47,190.9339882113,16385846,tiingo
2025-04-29,AVGO,191.72,193.25,190.1,191.17,189.6443628947,14630015,tiingo
2025-04-30,AVGO,185.895,193.2,184.02,192.47,190.9339882113,22768862,tiingo
2025-05-01,AVGO,198.14,201.4,196.235,197.33,195.7552028562,24939695,tiingo
2025-05-02,AVGO,203.9,205.68,201.08,203.64,202.0148457388,17766751,tiingo
2025-05-05,AVGO,200.25,203.2347,200.0,200.72,199.1181488739,14025425,tiingo
2025-05-06,AVGO,196.44,201.91,195.94,200.09,198.4931766052,16348806,tiingo
2025-05-07,AVGO,199.285,206.23,198.43,204.81,203.1755085237,20277825,tiingo
2025-05-08,AVGO,208.0,211.1625,203.69,207.77,206.1118861675,18460929,tiingo
2025-05-09,AVGO,209.33,209.96,206.52,208.2,206.5384545414,13289174,tiingo
2025-05-12,AVGO,219.49,221.8,215.88,221.58,219.8116751071,25437672,tiingo
2025-05-13,AVGO,222.0,235.28,222.0,232.42,230.5651662081,28790536,tiingo
2025-05-14,AVGO,230.23,233.5,228.35,232.12,230.2675603658,19751445,tiingo
2025-05-15,AVGO,230.16,234.455,228.07,232.64,230.7834104924,18803678,tiingo
2025-05-16,AVGO,232.32,232.64,226.39,228.61,226.7855720111,23094606,tiingo
2025-05-19,AVGO,221.85,231.2499,221.6,230.63,228.7894513491,15355450,tiingo
2025-05-20,AVGO,226.49,231.77,226.34,231.68,229.8310717971,11787156,tiingo
2025-05-21,AVGO,228.39,236.5,227.8301,229.73,227.8966338223,17642941,tiingo
2025-05-22,AVGO,228.34,233.6899,227.43,230.53,228.6902494017,14340230,tiingo
2025-05-23,AVGO,226.94,230.65,226.18,228.72,226.8946941533,15385632,tiingo
2025-05-27,AVGO,232.865,236.48,231.1308,235.65,233.7693891099,17941668,tiingo
2025-05-28,AVGO,237.15,240.99,234.425,239.43,237.5192227226,20443004,tiingo
2025-05-29,AVGO,245.905,246.07,237.4,241.97,240.0389521873,20768031,tiingo
2025-05-30,AVGO,241.22,243.17,234.89999,242.070007,242.070007,27088600,twelve_data
2025-06-02,AVGO,243.25,250.0,243.19,248.71,246.7251634438,19197009,tiingo
2025-06-03,AVGO,250.075,257.88,249.4,256.85,254.8002019643,30380248,tiingo
2025-06-04,AVGO,258.06,265.43,257.59,261.08,258.9964443404,31536047,tiingo
