date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,MAR,222.95,227.75,219.01,225.22,222.6664697848,2013997,tiingo
2025-04-14,MAR,224.93,225.47,220.0,223.49,220.9560844161,1875711,tiingo
2025-04-15,MAR,224.63,225.4875,221.43,222.58,220.056401939,1205378,tiingo
2025-04-16,MAR,219.94,223.9799,216.68,218.79,216.3093727209,1671307,tiingo
2025-04-17,MAR,221.27,222.42,218.46,220.41,217.9110052627,1523469,tiingo
2025-04-21,MAR,218.3,218.99,212.5335,215.69,213.2445203263,1543023,tiingo
2025-04-22,MAR,217.53,221.37,216.975,220.59,218.088964434,1476546,tiingo
2025-04-23,MAR,228.88,236.44,228.36,229.79,227.1846554118,3492933,tiingo
2025-04-24,MAR,228.48,237.35,227.55,236.26,233.5812989581,2329901,tiingo
2025-04-25,MAR,236.515,238.015,232.82,236.2,233.5219792344,1989937,tiingo
2025-04-28,MAR,238.29,240.825,234.07,236.93,234.2437025402,2418262,tiingo
2025-04-29,MAR,235.33,240.85,235.13,239.67,236.9526365923,2255183,tiingo
2025-04-30,MAR,234.53,239.05,231.21,238.58,235.8749949438,2246386,tiingo
2025-05-01,MAR,241.26,246.24,240.36,243.95,241.1841102211,1818154,tiingo
2025-05-02,MAR,247.57,250.54,247.13,249.47,246.6415248078,1302164,tiingo
2025-05-05,MAR,248.0,250.84,246.5,247.27,244.4664682696,1894389,tiingo
2025-05-06,MAR,256.14,258.59,250.0123,251.96,249.1032933442,2527732,tiingo
2025-05-07,MAR,251.78,258.1,250.79,255.99,253.0876014573,1866604,tiingo
2025-05-08,MAR,256.87,263.12,255.99,259.3,256.3600728851,1787666,tiingo
2025-05-09,MAR,259.11,259.99,255.69,257.97,255.0451523416,1489136,tiingo
2025-05-12,MAR,269.4,273.42,268.6312,271.96,268.8765346002,2551069,tiingo
2025-05-13,MAR,272.0,276.02,271.205,274.14,271.0318178972,1690372,tiingo
2025-05-14,MAR,272.4,275.62,272.09,272.59,269.4993916998,1520773,tiingo
2025-05-15,MAR,271.99,272.95,270.73,271.47,268.3920901895,1483535,tiingo
2025-05-16,MAR,271.54,273.32,269.33,273.23,270.13213542,1235055,tiingo
2025-05-19,MAR,269.61,273.76,269.45,273.19,270.0925889375,1099182,tiingo
2025-05-20,MAR,271.64,271.64,266.92,267.34,264.3089158701,1500733,tiingo
2025-05-21,MAR,263.89,264.59,260.14,260.69,257.7343131524,1271790,tiingo
2025-05-22,MAR,261.17,262.105,259.21,260.69,257.7343131524,1083009,tiingo
