date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,GOOG,162.31,164.03,159.92,161.47,160.916852121,18255931,tiingo
2025-04-15,GOOG,161.57,162.05,157.645,158.68,158.1364098257,15690783,tiingo
2025-04-16,GOOG,155.47,158.18,153.91,155.5,154.9673035537,16921497,tiingo
2025-04-17,GOOG,156.61,157.07,150.9,153.36,152.834634553,19513408,tiingo
2025-04-21,GOOG,150.965,151.06,148.4,149.86,149.3466245052,16147780,tiingo
2025-04-22,GOOG,151.07,154.61,150.87,153.9,153.3727846747,15910327,tiingo
2025-04-23,GOOG,157.91,160.02,156.35,157.72,157.1796984983,18575735,tiingo
2025-04-24,GOOG,158.525,161.71,158.09,161.47,160.916852121,30787481,tiingo
2025-04-25,GOOG,167.1,168.24,163.0,163.85,163.2886989535,35148053,tiingo
2025-04-28,GOOG,164.26,164.95,160.3801,162.42,161.8635977054,20871153,tiingo
2025-04-29,GOOG,162.045,162.68,159.39,162.06,161.5048309576,15955215,tiingo
2025-04-30,GOOG,159.86,161.374,157.155,160.89,160.3388390273,20639520,tiingo
2025-05-01,GOOG,162.52,163.94,160.93,162.79,162.2323301962,21904291,tiingo
2025-05-02,GOOG,164.955,166.7,163.66,165.81,165.2419845803,16844937,tiingo
2025-05-05,GOOG,164.515,167.1,164.47,166.05,165.4811624121,15309343,tiingo
2025-05-06,GOOG,163.96,166.74,163.13,165.2,164.6340742577,10691949,tiingo
2025-05-07,GOOG,166.07,166.99,149.4901,152.8,152.2765529453,78900429,tiingo
2025-05-08,GOOG,155.92,157.41,154.1,155.75,155.2164471285,38387507,tiingo
2025-05-09,GOOG,155.55,156.43,153.83,154.38,153.8511403384,22871035,tiingo
2025-05-12,GOOG,159.1,160.44,157.8898,159.58,159.0333266951,31884901,tiingo
2025-05-13,GOOG,159.92,162.06,157.58,160.89,160.3388390273,24944270,tiingo
2025-05-14,GOOG,161.31,168.34,160.93,166.81,166.2385588797,31769209,tiingo
2025-05-15,GOOG,167.14,167.51,163.84,165.4,164.8333891175,22717554,tiingo
2025-05-16,GOOG,168.93,170.65,166.95,167.43,166.8564349453,36271378,tiingo
2025-05-19,GOOG,165.715,167.95,165.415,167.87,167.294927637,21374688,tiingo
2025-05-20,GOOG,167.76,169.68,164.26,165.32,164.7536631736,33563274,tiingo
2025-05-21,GOOG,164.95,174.53,164.89,170.06,169.4774253527,45567580,tiingo
2025-05-22,GOOG,173.35,178.13,171.88,171.98,171.3908480075,45024081,tiingo
2025-05-23,GOOG,170.28,171.205,169.26,169.59,169.0090354319,24963648,tiingo
2025-05-27,GOOG,171.3,174.29,171.21,173.98,173.3839966062,24341333,tiingo
2025-05-28,GOOG,173.98,176.48,173.0146,173.38,172.7860520266,25999228,tiingo
2025-05-29,GOOG,175.0,175.4,171.78,172.96,172.3674908209,21233590,tiingo
2025-05-30,GOOG,172.41,173.44,168.52499,172.85001,172.85001,36258300,twelve_data
2025-06-02,GOOG,169.01,171.0624,168.65,170.37,169.7863633855,24742877,tiingo
2025-06-03,GOOG,168.865,169.8,166.68,167.71,167.1354757491,25386713,tiingo
2025-06-04,GOOG,168.28,169.58,167.795,169.39,168.8097205721,18508735,tiingo
2025-06-05,GOOG,171.62,172.36,169.35,169.81,169.2282817778,25422883,tiingo
2025-06-06,GOOG,172.3,175.83,172.3,174.92,174.3207764476,22258115,tiingo
2025-06-09,GOOG,175.87,177.915,175.66,177.63,177.2307734018,18817587,tiingo
2025-06-10,GOOG,177.76,182.445,176.475,180.01,179.6054243093,32908000,tiingo
