date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,PEP,145.15,145.29,142.12,144.43,138.8786126723,8563304,tiingo
2025-04-14,PEP,144.16,147.175,143.5,146.75,141.1094399339,5393999,tiingo
2025-04-15,PEP,145.84,145.98,142.627387,142.84,137.3497267473,5459551,tiingo
2025-04-16,PEP,144.11,144.4,139.7698,140.09,134.7054271914,7878593,tiingo
2025-04-17,PEP,140.34,143.5664,140.075,142.84,137.3497267473,6131364,tiingo
2025-04-21,PEP,142.5,142.83,140.57,141.73,136.2823912902,7412800,tiingo
2025-04-22,PEP,142.28,144.275,141.95,143.46,137.9458961017,7144709,tiingo
2025-04-23,PEP,143.27,144.015,140.85,142.26,136.7920199318,7760035,tiingo
2025-04-24,PEP,141.45,141.85,134.53,135.31,130.1091537816,15577256,tiingo
2025-04-25,PEP,135.465,135.61,131.8,133.38,128.2533362752,11544686,tiingo
2025-04-28,PEP,133.9,135.41,133.1,133.76,128.6187303956,8498608,tiingo
2025-04-29,PEP,132.48,134.46,131.52,134.31,129.1475903068,7010733,tiingo
2025-04-30,PEP,135.63,136.1789,133.095,135.58,130.3687759199,7923472,tiingo
2025-05-01,PEP,134.465,134.81,133.24,133.55,128.4168020659,6807019,tiingo
2025-05-02,PEP,134.15,134.4,133.1499,133.75,128.6091147609,7169731,tiingo
2025-05-05,PEP,134.045,134.045,131.7,131.99,126.9167630452,8972159,tiingo
2025-05-06,PEP,131.9,131.9,130.16,130.74,125.7148087016,6889893,tiingo
2025-05-07,PEP,130.945,132.67,130.2701,131.915,126.8446457845,6313815,tiingo
2025-05-08,PEP,131.885,132.98,131.26,131.43,126.3782874992,6392355,tiingo
2025-05-09,PEP,131.15,131.65,130.18,130.44,125.4263396591,4770504,tiingo
2025-05-12,PEP,130.835,132.33,130.06,131.68,126.618678368,8392720,tiingo
2025-05-13,PEP,131.17,131.64,129.75,130.31,125.3013364074,8650220,tiingo
2025-05-14,PEP,130.07,130.17,127.87,128.45,123.5128283442,10463015,tiingo
2025-05-15,PEP,129.19,131.55,128.81,131.5,126.4455969425,9165089,tiingo
2025-05-16,PEP,132.09,132.26,130.65,131.98,126.9071474104,8896370,tiingo
2025-05-19,PEP,132.13,132.26,131.11,131.79,126.7244503502,9406194,tiingo
2025-05-20,PEP,131.745,132.165,131.35,131.8,126.7340659849,7624244,tiingo
2025-05-21,PEP,131.8,131.9,130.06,130.15,125.1474862514,9243724,tiingo
2025-05-22,PEP,130.02,130.7,128.8244,130.12,125.1186393472,7140231,tiingo
2025-05-23,PEP,129.56,129.755,127.75,129.34,124.3686198368,8122494,tiingo
2025-05-27,PEP,130.08,131.46,129.128,131.37,126.3205936907,13974764,tiingo
2025-05-28,PEP,131.29,132.19,130.47,130.67,125.6474992584,9431450,tiingo
2025-05-29,PEP,130.86,132.07,130.25,131.92,126.8494536019,6659069,tiingo
2025-05-30,PEP,132.14999,132.72,131.28999,131.45,131.45,12992100,twelve_data
2025-06-02,PEP,130.9,131.03,129.07,130.91,125.8782744923,6723720,tiingo
2025-06-03,PEP,130.63,132.21,129.81,131.85,126.7821441587,7339524,tiingo
2025-06-04,PEP,132.235,132.74,131.095,131.74,126.6763721764,6519728,tiingo
2025-06-05,PEP,131.2,131.41,130.21,131.11,126.0705871873,9566619,tiingo
2025-06-06,PEP,130.245,130.665,129.34,130.03,126.3999226774,7628224,tiingo
2025-06-09,PEP,129.83,130.65,129.18,129.96,126.3318768835,8453146,tiingo
2025-06-10,PEP,130.2,132.12,129.46,131.83,128.1496716647,11852874,tiingo
