date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,COST,970.0,987.13,965.0,979.32,972.5750363145,2219943,tiingo
2025-04-15,COST,985.35,994.0,974.25,976.92,970.1915660625,1788151,tiingo
2025-04-16,COST,972.13,978.65,959.24,967.75,961.0847234748,2531715,tiingo
2025-04-17,COST,973.275,999.9183,971.99,994.5,987.6504856582,2711124,tiingo
2025-04-21,COST,993.0,996.99,942.97,957.77,951.173459677,2841310,tiingo
2025-04-22,COST,969.75,987.45,966.78,979.23,972.48565618,2230645,tiingo
2025-04-23,COST,994.52,995.75,969.0,975.84,969.1190044491,2109653,tiingo
2025-04-24,COST,973.6,978.0,960.71,975.48,968.7614839113,2468463,tiingo
2025-04-25,COST,973.97,978.32,962.88,977.16,970.4299130877,1780887,tiingo
2025-04-28,COST,978.5,985.3,968.7752,978.54,971.8004084826,1616155,tiingo
2025-04-29,COST,978.0,993.21,971.06,991.7,984.8697703642,1523146,tiingo
2025-04-30,COST,990.0,997.76,976.55,994.5,987.6504856582,2212362,tiingo
2025-05-01,COST,990.1,1006.3799,985.0,999.04,992.1592168848,1829874,tiingo
2025-05-02,COST,1007.83,1018.0,1004.605,1008.3,1002.6464859934,1547710,tiingo
2025-05-05,COST,1007.505,1017.78,1002.5,1014.89,1009.1995360209,1952580,tiingo
2025-05-06,COST,1008.45,1016.23,1003.51,1010.5,1004.834150646,1381248,tiingo
2025-05-07,COST,1011.18,1014.1,1001.4701,1007.15,1001.502934016,1316596,tiingo
2025-05-08,COST,1013.5,1017.0,991.4,1007.71,1002.0597941093,1882643,tiingo
2025-05-09,COST,1004.61,1010.71,998.05,1008.09,1002.4376634584,1176656,tiingo
2025-05-12,COST,1009.79,1016.91,992.24,1016.15,1010.452471231,2069049,tiingo
2025-05-13,COST,1013.715,1023.83,987.6,999.03,993.4284626619,2917044,tiingo
2025-05-14,COST,998.755,999.86,990.52,991.54,985.980458913,2214978,tiingo
2025-05-15,COST,992.65,1014.0,983.0,1010.47,1004.8043188553,2470690,tiingo
2025-05-16,COST,1012.49,1028.262,1009.0,1025.83,1020.0781957023,2033744,tiingo
2025-05-19,COST,1018.6,1034.99,1012.89,1034.34,1028.5404803357,1879788,tiingo
2025-05-20,COST,1030.01,1037.9999,1030.01,1036.82,1031.0065750349,2271232,tiingo
2025-05-21,COST,1030.94,1039.4699,1023.8,1025.3,1019.5511673997,1438885,tiingo
2025-05-22,COST,1027.725,1028.775,1014.12,1018.13,1012.4213694183,1660909,tiingo
2025-05-23,COST,1012.0,1015.11,1007.0,1008.5,1002.8453645982,1413916,tiingo
2025-05-27,COST,1015.0,1018.95,1010.93,1017.79,1012.0832757902,1868169,tiingo
2025-05-28,COST,1017.05,1024.62,1012.96,1013.14,1007.4593482291,1674743,tiingo
2025-05-29,COST,1016.01,1017.535,1003.6,1008.74,1003.0840189239,2023815,tiingo
2025-05-30,COST,1002.29999,1052.48999,1002.0,1040.18005,1040.18005,5403800,twelve_data
2025-06-02,COST,1034.27,1060.5,1034.27,1056.85,1050.9242673035,2148004,tiingo
2025-06-03,COST,1054.15,1067.08,1043.2552,1055.59,1049.6713320934,1992850,tiingo
2025-06-04,COST,1055.0,1057.8299,1049.37,1051.69,1045.7931993002,1422086,tiingo
2025-06-05,COST,1050.0,1051.0499,1006.01,1010.81,1005.1424124834,3297524,tiingo
2025-06-06,COST,1020.63,1020.63,1008.61,1014.94,1009.2492556721,1855428,tiingo
2025-06-09,COST,1012.42,1013.35,996.9663,1006.18,1000.5383727828,1696711,tiingo
2025-06-10,COST,1006.93,1011.51,997.7211,1007.27,1001.6222611788,2255019,tiingo
2025-06-11,COST,1002.44,1005.44,993.375,996.78,991.1910783582,2459835,tiingo
2025-06-12,COST,999.0,1003.25,995.3603,1002.71,997.0878289899,1720138,tiingo
2025-06-13,COST,999.08,1003.5929,988.6738,990.21,984.6579161912,1785964,tiingo
2025-06-16,COST,992.33002,1001.84998,981.44,984.35999,984.35999,2109300,twelve_data
2025-06-17,COST,983.0,986.099976,976.20001,977.71997,977.71997,1668200,twelve_data
2025-06-18,COST,980.0,982.65,974.07,974.9,969.4337589953,1509613,tiingo
2025-06-20,COST,983.99,988.66,973.9,980.29,974.7935373941,3255699,tiingo
2025-06-23,COST,983.15,1004.87,981.26,1004.48,998.8479046422,2082928,tiingo
2025-06-24,COST,1005.835,1005.835,992.065,1001.92,996.302258501,2385103,tiingo
2025-06-25,COST,1003.0,1004.97998,986.0,986.53998,986.53998,1827700,twelve_data
2025-06-26,COST,987.725,987.725,976.5,982.91,977.3988471167,2262786,tiingo
