date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,WMT,93.27,95.44,92.9,94.73,93.7162846196,27742915,tiingo
2025-04-15,WMT,94.82,96.03,93.87,93.97,92.964417457,21871213,tiingo
2025-04-16,WMT,94.0,94.3,90.61,91.19,90.2141665202,22229105,tiingo
2025-04-17,WMT,91.83,93.87,91.62,93.22,92.2224432834,21393917,tiingo
2025-04-21,WMT,93.02,94.08,91.34,92.41,91.421111176,18361208,tiingo
2025-04-22,WMT,92.88,95.29,92.88,94.85,93.8350004874,15407774,tiingo
2025-04-23,WMT,95.0164,96.6,94.1619,94.96,93.9438233662,18046886,tiingo
2025-04-24,WMT,94.71,96.215,93.6601,95.84,94.8144063965,13444528,tiingo
2025-04-25,WMT,95.8,96.47,94.36,95.09,94.0724322229,15317220,tiingo
2025-04-28,WMT,95.1,96.0,94.34,95.22,94.2010410797,12950000,tiingo
2025-04-29,WMT,94.84,96.18,94.42,96.04,95.0122661762,12679025,tiingo
2025-04-30,WMT,95.94,97.78,94.93,97.25,96.2093178429,21639860,tiingo
2025-05-01,WMT,97.015,97.9,96.59,97.41,96.3676056666,13171784,tiingo
2025-05-02,WMT,97.95,99.22,97.85,98.75,97.6932661901,16031373,tiingo
2025-05-05,WMT,98.94,99.74,98.53,99.33,98.267059551,12439132,tiingo
2025-05-06,WMT,98.74,99.47,98.41,98.55,97.4954064105,10625999,tiingo
2025-05-07,WMT,98.55,99.2308,98.31,98.83,97.7724101019,11310191,tiingo
2025-05-08,WMT,98.75,99.33,97.355,97.43,96.3873916446,14461119,tiingo
2025-05-09,WMT,96.75,97.2,96.29,96.72,95.9174746679,13697822,tiingo
2025-05-12,WMT,97.67,97.97,95.62,96.75,95.9472257457,26783925,tiingo
2025-05-13,WMT,96.5,97.32,95.225,95.88,95.0844444909,19746658,tiingo
2025-05-14,WMT,96.025,97.33,95.83,96.83,96.026561953,25620110,tiingo
2025-05-15,WMT,94.3,96.72,91.89,96.35,95.550544709,44026125,tiingo
2025-05-16,WMT,96.14,99.1946,95.995,98.24,97.4248626073,33746187,tiingo
