date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,INSM,69.96,71.235,68.66,71.03,71.03,2386043,tiingo
2025-04-15,INSM,70.68,71.98,68.99,71.07,71.07,1562944,tiingo
2025-04-16,INSM,70.7,70.97,69.0,70.2,70.2,1529481,tiingo
2025-04-17,INSM,69.86,72.67,69.86,72.65,72.65,1501091,tiingo
2025-04-21,INSM,71.95,71.95,67.66,69.51,69.51,2026532,tiingo
2025-04-22,INSM,70.46,71.95,70.0,71.24,71.24,1554257,tiingo
2025-04-23,INSM,72.53,72.71,70.63,70.8,70.8,1486350,tiingo
2025-04-24,INSM,69.5,71.0,66.43,68.96,68.96,3574458,tiingo
2025-04-25,INSM,67.9,70.02,67.69,69.69,69.69,13610828,tiingo
2025-04-28,INSM,69.59,70.785,69.18,69.86,69.86,2580914,tiingo
2025-04-29,INSM,69.66,72.15,69.2,71.4,71.4,1846576,tiingo
2025-04-30,INSM,71.4,72.37,70.36,72.0,72.0,1493000,tiingo
2025-05-01,INSM,72.09,73.31,70.84,72.64,72.64,1792978,tiingo
2025-05-02,INSM,73.03,73.39,71.95,72.3,72.3,1600638,tiingo
2025-05-05,INSM,72.1,72.83,71.34,72.58,72.58,1358562,tiingo
2025-05-06,INSM,71.26,71.765,67.21,67.87,67.87,2705556,tiingo
2025-05-07,INSM,67.87,69.18,67.51,68.28,68.28,1875367,tiingo
2025-05-08,INSM,67.9,68.08,63.81,65.63,65.63,3556351,tiingo
2025-05-09,INSM,65.63,66.91,64.95,65.08,65.08,2388373,tiingo
2025-05-12,INSM,65.18,68.51,65.1,67.75,67.75,3001026,tiingo
2025-05-13,INSM,67.81,68.35,65.54,65.71,65.71,2154839,tiingo
2025-05-14,INSM,65.61,66.66,65.07,65.61,65.61,2095184,tiingo
2025-05-15,INSM,65.32,67.22,65.32,67.22,67.22,1283720,tiingo
2025-05-16,INSM,67.53,68.35,66.63,68.12,68.12,1789605,tiingo
2025-05-19,INSM,67.97,68.99,66.57,67.88,67.88,1334593,tiingo
2025-05-20,INSM,67.73,68.62,66.28,68.51,68.51,2505885,tiingo
